GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
1,2022-10-12,,Seattle Kraken,5,4,W,OT,,48,11,3,5,0,36,56,39.1,25,47,34.7,22,20,52.4,36.0,111.6,Anaheim Ducks,Anaheim Ducks,Seattle Kraken,5,4
2,2022-10-15,@,New York Islanders,1,7,L,,,38,10,0,4,0,50,52,49.0,33,43,43.4,20,30,40.0,54.4,81.4,Anaheim Ducks,New York Islanders,Anaheim Ducks,7,1
3,2022-10-17,@,New York Rangers,4,6,L,,,43,2,3,4,0,34,57,37.4,22,46,32.4,22,26,45.8,40.0,112.0,Anaheim Ducks,New York Rangers,Anaheim Ducks,6,4
4,2022-10-18,@,New Jersey Devils,2,4,L,,,41,15,0,3,0,26,63,29.2,20,50,28.6,19,21,47.5,59.0,103.8,Anaheim Ducks,New Jersey Devils,Anaheim Ducks,4,2
5,2022-10-20,@,Boston Bruins,1,2,L,SO,,36,8,0,5,0,40,49,44.9,30,38,44.1,15,33,31.3,50.9,100.7,Anaheim Ducks,Boston Bruins,Anaheim Ducks,2,1
6,2022-10-23,@,Detroit Red Wings,1,5,L,,,41,12,3,5,0,53,36,59.6,40,30,57.1,24,18,57.1,52.0,95.9,Anaheim Ducks,Detroit Red Wings,Anaheim Ducks,5,1
7,2022-10-26,,Tampa Bay Lightning,2,4,L,,,30,4,1,3,0,38,54,41.3,23,36,39.0,29,25,53.7,39.7,99.6,Anaheim Ducks,Anaheim Ducks,Tampa Bay Lightning,2,4
8,2022-10-28,@,Vegas Golden Knights,0,4,L,,,22,9,1,2,1,46,44,51.1,31,34,47.7,23,29,44.2,53.3,90.0,Anaheim Ducks,Vegas Golden Knights,Anaheim Ducks,4,0
9,2022-10-30,,Toronto Maple Leafs,4,3,W,OT,,36,6,1,2,1,58,51,53.2,48,42,53.3,26,23,53.1,49.3,107.9,Anaheim Ducks,Anaheim Ducks,Toronto Maple Leafs,4,3
10,2022-11-01,@,San Jose Sharks,6,5,W,SO,,44,15,1,3,0,54,51,51.4,42,44,48.8,30,24,55.6,38.2,103.3,Anaheim Ducks,San Jose Sharks,Anaheim Ducks,5,6
