GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
1,2022-10-12,@,Washington Capitals,5,2,W,,,35,6,0,4,0,42,52,44.7,29,37,43.9,31,16,66.0,40.7,110.8,Boston Bruins,Washington Capitals,Boston Bruins,2,5
2,2022-10-15,,Arizona Coyotes,6,3,W,,,24,11,1,3,1,61,35,63.5,46,25,64.8,31,25,55.4,73.7,107.6,Boston Bruins,Boston Bruins,Arizona Coyotes,6,3
3,2022-10-17,,Florida Panthers,5,3,W,,,41,10,0,4,0,53,54,49.5,37,41,47.4,24,15,61.5,53.8,107.9,Boston Bruins,Boston Bruins,Florida Panthers,5,3
4,2022-10-18,@,Ottawa Senators,5,7,L,,,31,15,0,2,0,47,54,46.5,37,43,46.3,25,33,43.1,52.6,94.1,Boston Bruins,Ottawa Senators,Boston Bruins,7,5
5,2022-10-20,,Anaheim Ducks,2,1,W,SO,,31,10,0,4,0,49,40,55.1,38,30,55.9,33,15,68.8,49.1,99.3,Boston Bruins,Boston Bruins,Anaheim Ducks,2,1
6,2022-10-22,,Minnesota Wild,4,3,W,OT,,27,10,1,5,1,50,32,61.0,35,25,58.3,23,17,57.5,46.8,105.5,Boston Bruins,Boston Bruins,Minnesota Wild,4,3
7,2022-10-25,,Dallas Stars,3,1,W,,,31,13,0,3,0,33,44,42.9,29,33,46.8,24,20,54.5,45.4,105.0,Boston Bruins,Boston Bruins,Dallas Stars,3,1
8,2022-10-27,,Detroit Red Wings,5,1,W,,,29,14,0,5,0,37,40,48.1,32,31,50.8,20,23,46.5,54.7,104.3,Boston Bruins,Boston Bruins,Detroit Red Wings,5,1
9,2022-10-28,@,Columbus Blue Jackets,4,0,W,,,30,4,0,3,0,49,45,52.1,37,26,58.7,25,16,61.0,63.3,111.1,Boston Bruins,Columbus Blue Jackets,Boston Bruins,0,4
10,2022-11-01,@,Pittsburgh Penguins,6,5,W,OT,,38,6,0,4,0,52,64,44.8,41,46,47.1,33,25,56.9,51.5,100.0,Boston Bruins,Pittsburgh Penguins,Boston Bruins,5,6
11,2022-11-03,@,New York Rangers,5,2,W,,,20,16,0,2,0,54,39,58.1,39,29,57.4,17,15,53.1,46.7,106.7,Boston Bruins,New York Rangers,Boston Bruins,2,5
12,2022-11-05,@,Toronto Maple Leafs,1,2,L,,,28,6,1,3,0,42,41,50.6,29,32,47.5,17,17,50.0,46.4,95.8,Boston Bruins,Toronto Maple Leafs,Boston Bruins,2,1
13,2022-11-07,,St. Louis Blues,3,1,W,,,27,6,0,3,0,54,43,55.7,37,32,53.6,24,20,54.5,59.2,99.4,Boston Bruins,Boston Bruins,St. Louis Blues,3,1
14,2022-11-10,,Calgary Flames,3,1,W,,,32,15,0,6,0,24,45,34.8,21,35,37.5,25,11,69.4,30.3,119.1,Boston Bruins,Boston Bruins,Calgary Flames,3,1
15,2022-11-12,@,Buffalo Sabres,3,1,W,,,31,8,0,3,1,42,46,47.7,33,36,47.8,20,24,45.5,46.7,108.0,Boston Bruins,Buffalo Sabres,Boston Bruins,1,3
16,2022-11-13,,Vancouver Canucks,5,2,W,,,31,22,2,6,0,38,38,50.0,29,29,50.0,24,16,60.0,55.9,109.1,Boston Bruins,Boston Bruins,Vancouver Canucks,5,2
17,2022-11-17,,Philadelphia Flyers,4,1,W,,,23,8,1,4,0,48,40,54.5,33,32,50.8,20,25,44.4,54.6,109.1,Boston Bruins,Boston Bruins,Philadelphia Flyers,4,1
18,2022-11-19,,Chicago Blackhawks,6,1,W,,,18,6,1,3,0,61,28,68.5,52,20,72.2,17,19,47.2,54.2,111.4,Boston Bruins,Boston Bruins,Chicago Blackhawks,6,1
19,2022-11-21,@,Tampa Bay Lightning,5,3,W,,,35,8,1,3,0,35,48,42.2,26,42,38.2,21,20,51.2,29.2,107.6,Boston Bruins,Tampa Bay Lightning,Boston Bruins,3,5
20,2022-11-23,@,Florida Panthers,2,5,L,,,31,12,3,7,0,52,39,57.1,38,31,55.1,26,17,60.5,56.4,90.9,Boston Bruins,Florida Panthers,Boston Bruins,5,2
21,2022-11-25,,Carolina Hurricanes,3,2,W,OT,,36,12,2,6,0,48,29,62.3,36,27,57.1,31,19,62.0,45.7,106.9,Boston Bruins,Boston Bruins,Carolina Hurricanes,3,2
22,2022-11-29,,Tampa Bay Lightning,3,1,W,,,28,2,1,2,0,42,46,47.7,32,29,52.5,21,23,47.7,56.0,108.3,Boston Bruins,Boston Bruins,Tampa Bay Lightning,3,1
23,2022-12-03,,Colorado Avalanche,5,1,W,,,25,15,0,3,0,51,39,56.7,41,28,59.4,29,22,56.9,43.1,107.4,Boston Bruins,Boston Bruins,Colorado Avalanche,5,1
