GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
1,2022-10-13,,Ottawa Senators,4,1,W,,,36,8,0,4,0,42,43,49.4,35,34,50.7,16,20,44.4,56.0,111.1,Buffalo Sabres,Buffalo Sabres,Ottawa Senators,4,1
2,2022-10-15,,Florida Panthers,3,4,L,,,37,12,2,6,0,33,41,44.6,25,34,42.4,25,22,53.2,51.6,107.5,Buffalo Sabres,Buffalo Sabres,Florida Panthers,3,4
3,2022-10-18,@,Edmonton Oilers,4,2,W,,,48,12,0,3,0,36,68,34.6,28,57,32.9,24,39,38.1,26.0,111.9,Buffalo Sabres,Edmonton Oilers,Buffalo Sabres,2,4
4,2022-10-20,@,Calgary Flames,6,3,W,,,43,10,0,1,0,55,58,48.7,45,46,49.5,25,22,53.2,40.6,106.0,Buffalo Sabres,Calgary Flames,Buffalo Sabres,3,6
5,2022-10-22,@,Vancouver Canucks,5,1,W,,,30,2,1,4,0,51,49,51.0,38,35,52.1,23,25,47.9,29.0,116.7,Buffalo Sabres,Vancouver Canucks,Buffalo Sabres,1,5
6,2022-10-25,@,Seattle Kraken,1,5,L,,,24,8,2,3,0,30,34,46.9,18,27,40.0,25,14,64.1,68.0,92.4,Buffalo Sabres,Seattle Kraken,Buffalo Sabres,5,1
7,2022-10-27,,Montreal Canadiens,2,3,L,,,34,8,0,3,0,51,49,51.0,41,37,52.6,17,22,43.6,41.4,92.9,Buffalo Sabres,Buffalo Sabres,Montreal Canadiens,2,3
8,2022-10-29,,Chicago Blackhawks,4,3,W,OT,,26,6,1,4,0,64,38,62.7,44,28,61.1,10,27,27.0,71.4,96.3,Buffalo Sabres,Buffalo Sabres,Chicago Blackhawks,4,3
9,2022-10-31,,Detroit Red Wings,8,3,W,,,18,12,0,1,1,62,29,68.1,51,25,67.1,27,28,49.1,68.3,102.5,Buffalo Sabres,Buffalo Sabres,Detroit Red Wings,8,3
10,2022-11-02,,Pittsburgh Penguins,6,3,W,,,21,10,1,3,0,44,37,54.3,35,26,57.4,21,29,42.0,50.3,107.3,Buffalo Sabres,Buffalo Sabres,Pittsburgh Penguins,6,3
11,2022-11-04,@,Carolina Hurricanes,3,5,L,,,33,12,1,4,0,37,38,49.3,29,32,47.5,20,29,40.8,51.5,91.5,Buffalo Sabres,Carolina Hurricanes,Buffalo Sabres,5,3
12,2022-11-05,@,Tampa Bay Lightning,3,5,L,,,30,6,1,2,0,44,45,49.4,30,35,46.2,31,27,53.4,42.0,95.1,Buffalo Sabres,Tampa Bay Lightning,Buffalo Sabres,5,3
13,2022-11-08,,Arizona Coyotes,1,4,L,,,24,12,1,3,0,48,28,63.2,39,22,63.9,28,19,59.6,60.6,84.2,Buffalo Sabres,Buffalo Sabres,Arizona Coyotes,1,4
14,2022-11-10,,Vegas Golden Knights,4,7,L,,,36,6,1,2,0,58,50,53.7,37,38,49.3,24,36,40.0,59.6,85.8,Buffalo Sabres,Buffalo Sabres,Vegas Golden Knights,4,7
15,2022-11-12,,Boston Bruins,1,3,L,,,30,8,1,3,0,46,42,52.3,36,33,52.2,24,20,54.5,53.3,92.0,Buffalo Sabres,Buffalo Sabres,Boston Bruins,1,3
16,2022-11-15,,Vancouver Canucks,4,5,L,,,32,6,2,3,0,55,45,55.0,37,36,50.7,21,31,40.4,58.3,103.3,Buffalo Sabres,Buffalo Sabres,Vancouver Canucks,4,5
17,2022-11-16,@,Ottawa Senators,1,4,L,,,40,18,1,5,0,44,42,51.2,27,35,43.5,18,26,40.9,54.9,89.7,Buffalo Sabres,Ottawa Senators,Buffalo Sabres,4,1
18,2022-11-19,@,Toronto Maple Leafs,2,5,L,,,23,12,2,3,1,41,34,54.7,25,24,51.0,12,23,34.3,58.8,89.5,Buffalo Sabres,Toronto Maple Leafs,Buffalo Sabres,5,2
19,2022-11-22,@,Montreal Canadiens,7,2,W,,,31,17,0,6,0,52,31,62.7,35,23,60.3,19,20,48.7,56.9,106.7,Buffalo Sabres,Montreal Canadiens,Buffalo Sabres,2,7
20,2022-11-23,,St. Louis Blues,6,2,W,,,36,8,1,3,0,47,53,47.0,36,43,45.6,22,22,50.0,19.3,112.9,Buffalo Sabres,Buffalo Sabres,St. Louis Blues,6,2
21,2022-11-25,,New Jersey Devils,1,3,L,,,44,2,0,1,0,54,69,43.9,40,51,44.0,28,38,42.4,43.1,95.7,Buffalo Sabres,Buffalo Sabres,New Jersey Devils,1,3
22,2022-11-28,,Tampa Bay Lightning,5,6,L,OT,,25,4,3,4,0,56,46,54.9,46,38,54.8,19,34,35.8,50.8,99.7,Buffalo Sabres,Buffalo Sabres,Tampa Bay Lightning,5,6
23,2022-11-30,@,Detroit Red Wings,5,4,W,SO,,45,6,0,7,0,45,46,49.5,35,41,46.1,17,35,32.7,52.8,95.4,Buffalo Sabres,Detroit Red Wings,Buffalo Sabres,4,5
24,2022-12-01,,Colorado Avalanche,4,6,L,,,34,16,3,6,0,41,25,62.1,29,22,56.9,19,23,45.2,65.2,92.9,Buffalo Sabres,Buffalo Sabres,Colorado Avalanche,4,6
25,2022-12-04,,San Jose Sharks,6,3,W,,,29,8,1,1,0,49,41,54.4,39,31,55.7,21,27,43.8,50.0,104.8,Buffalo Sabres,Buffalo Sabres,San Jose Sharks,6,3
26,2022-12-07,@,Columbus Blue Jackets,9,4,W,,,24,22,0,2,0,41,39,51.3,27,32,45.8,20,23,46.5,42.3,107.0,Buffalo Sabres,Columbus Blue Jackets,Buffalo Sabres,4,9
27,2022-12-09,,Pittsburgh Penguins,3,4,L,OT,,33,10,2,5,0,39,33,54.2,32,26,55.2,17,23,42.5,58.0,97.6,Buffalo Sabres,Buffalo Sabres,Pittsburgh Penguins,3,4
28,2022-12-10,@,Pittsburgh Penguins,1,3,L,,,31,6,1,3,0,61,43,58.7,45,37,54.9,19,24,44.2,74.1,95.0,Buffalo Sabres,Pittsburgh Penguins,Buffalo Sabres,3,1
29,2022-12-13,,Los Angeles Kings,6,0,W,,,40,12,0,3,0,46,42,52.3,30,36,45.5,25,24,51.0,44.9,114.3,Buffalo Sabres,Buffalo Sabres,Los Angeles Kings,6,0
30,2022-12-15,@,Colorado Avalanche,4,2,W,,,41,4,0,2,0,29,75,27.9,25,52,32.5,20,44,31.3,22.2,111.0,Buffalo Sabres,Colorado Avalanche,Buffalo Sabres,2,4
31,2022-12-17,@,Arizona Coyotes,5,2,W,,,31,10,1,6,0,40,37,51.9,32,27,54.2,17,23,42.5,66.2,105.7,Buffalo Sabres,Arizona Coyotes,Buffalo Sabres,2,5
32,2022-12-19,@,Vegas Golden Knights,3,2,W,,,43,2,0,3,0,45,56,44.6,36,44,45.0,28,35,44.4,45.8,110.4,Buffalo Sabres,Vegas Golden Knights,Buffalo Sabres,2,3
33,2022-12-29,,Detroit Red Wings,6,3,W,,,31,10,1,3,0,52,41,55.9,39,34,53.4,28,23,54.9,41.4,109.0,Buffalo Sabres,Buffalo Sabres,Detroit Red Wings,6,3
34,2022-12-31,@,Boston Bruins,4,3,W,OT,,40,13,1,5,0,32,47,40.5,23,33,41.1,23,24,48.9,60.9,113.6,Buffalo Sabres,Boston Bruins,Buffalo Sabres,3,4
35,2023-01-01,@,Ottawa Senators,1,3,L,,,33,6,1,1,0,63,48,56.8,49,41,54.4,26,26,50.0,65.9,96.9,Buffalo Sabres,Ottawa Senators,Buffalo Sabres,3,1
36,2023-01-03,@,Washington Capitals,5,4,W,OT,,32,6,0,1,0,46,53,46.5,33,43,43.4,14,39,26.4,40.2,103.8,Buffalo Sabres,Washington Capitals,Buffalo Sabres,4,5
37,2023-01-07,,Minnesota Wild,6,5,W,OT,,44,6,2,4,0,57,45,55.9,41,41,50.0,24,25,49.0,55.3,103.4,Buffalo Sabres,Buffalo Sabres,Minnesota Wild,6,5
38,2023-01-09,,Philadelphia Flyers,0,4,L,,,38,4,0,3,0,45,51,46.9,38,39,49.4,21,24,46.7,55.2,87.1,Buffalo Sabres,Buffalo Sabres,Philadelphia Flyers,0,4
39,2023-01-10,,Seattle Kraken,3,4,L,,,22,10,1,1,0,53,35,60.2,41,31,56.9,24,35,40.7,52.6,92.9,Buffalo Sabres,Buffalo Sabres,Seattle Kraken,3,4
40,2023-01-12,,Winnipeg Jets,2,4,L,,,27,10,0,2,0,56,38,59.6,44,30,59.5,20,27,42.6,48.9,90.3,Buffalo Sabres,Buffalo Sabres,Winnipeg Jets,2,4
41,2023-01-14,@,Nashville Predators,5,3,W,,,41,8,1,3,0,49,60,45.0,41,44,48.2,25,24,51.0,43.8,105.8,Buffalo Sabres,Nashville Predators,Buffalo Sabres,3,5
42,2023-01-16,,Florida Panthers,1,4,L,,,34,8,0,3,0,46,45,50.5,34,34,50.0,26,29,47.3,54.5,91.1,Buffalo Sabres,Buffalo Sabres,Florida Panthers,1,4
43,2023-01-17,@,Chicago Blackhawks,3,4,L,OT,,26,4,0,1,0,59,52,53.2,47,38,55.3,17,21,44.7,80.3,90.7,Buffalo Sabres,Chicago Blackhawks,Buffalo Sabres,4,3
44,2023-01-19,,New York Islanders,3,2,W,OT,,26,6,0,1,0,79,44,64.2,55,35,61.1,24,27,47.1,65.7,98.8,Buffalo Sabres,Buffalo Sabres,New York Islanders,3,2
45,2023-01-21,,Anaheim Ducks,6,3,W,,,37,9,0,1,0,52,56,48.1,44,45,49.4,23,25,47.9,46.4,106.6,Buffalo Sabres,Buffalo Sabres,Anaheim Ducks,6,3
46,2023-01-23,@,Dallas Stars,3,2,W,OT,,31,6,1,1,0,49,43,53.3,36,31,53.7,17,25,40.5,78.6,108.5,Buffalo Sabres,Dallas Stars,Buffalo Sabres,2,3
47,2023-01-24,@,St. Louis Blues,5,3,W,,,28,6,0,2,0,36,38,48.6,31,34,47.7,18,23,43.9,63.2,105.6,Buffalo Sabres,St. Louis Blues,Buffalo Sabres,3,5
48,2023-01-26,@,Winnipeg Jets,3,2,W,,,21,4,1,3,0,49,47,51.0,38,32,54.3,21,16,56.8,60.0,100.9,Buffalo Sabres,Winnipeg Jets,Buffalo Sabres,2,3
49,2023-01-28,@,Minnesota Wild,2,3,L,SO,,35,2,1,4,0,53,45,54.1,39,36,52.0,25,26,49.0,46.8,102.6,Buffalo Sabres,Minnesota Wild,Buffalo Sabres,3,2
50,2023-02-01,,Carolina Hurricanes,1,5,L,,,34,8,1,2,1,43,48,47.3,34,33,50.7,16,27,37.2,60.7,93.5,Buffalo Sabres,Buffalo Sabres,Carolina Hurricanes,1,5
51,2023-02-11,,Calgary Flames,2,7,L,,,40,10,1,3,0,34,58,37.0,17,47,26.6,23,23,50.0,37.5,90.7,Buffalo Sabres,Buffalo Sabres,Calgary Flames,2,7
52,2023-02-13,@,Los Angeles Kings,2,5,L,,,28,12,2,3,1,48,41,53.9,34,32,51.5,17,27,38.6,82.1,94.0,Buffalo Sabres,Los Angeles Kings,Buffalo Sabres,5,2
53,2023-02-15,@,Anaheim Ducks,7,3,W,,,22,24,0,2,0,48,36,57.1,39,27,59.1,20,23,46.5,61.9,104.4,Buffalo Sabres,Anaheim Ducks,Buffalo Sabres,3,7
54,2023-02-18,@,San Jose Sharks,4,2,W,,,35,4,0,1,0,59,51,53.6,41,42,49.4,35,34,50.7,35.2,106.2,Buffalo Sabres,San Jose Sharks,Buffalo Sabres,2,4
55,2023-02-21,,Toronto Maple Leafs,3,6,L,,,29,4,1,2,0,55,35,61.1,38,28,57.6,23,29,44.2,61.5,89.4,Buffalo Sabres,Buffalo Sabres,Toronto Maple Leafs,3,6
56,2023-02-23,@,Tampa Bay Lightning,6,5,W,OT,,41,4,1,3,0,42,55,43.3,32,47,40.5,26,17,60.5,52.2,108.9,Buffalo Sabres,Tampa Bay Lightning,Buffalo Sabres,5,6
57,2023-02-24,@,Florida Panthers,3,1,W,,,50,10,0,3,0,45,76,37.2,38,65,36.9,33,23,58.9,30.8,105.1,Buffalo Sabres,Florida Panthers,Buffalo Sabres,1,3
58,2023-02-26,,Washington Capitals,7,4,W,,,30,13,1,2,0,49,48,50.5,42,39,51.9,28,22,56.0,54.2,109.7,Buffalo Sabres,Buffalo Sabres,Washington Capitals,7,4
59,2023-02-28,,Columbus Blue Jackets,3,5,L,,,36,6,1,1,0,56,54,50.9,45,45,50.0,29,25,53.7,71.0,93.6,Buffalo Sabres,Buffalo Sabres,Columbus Blue Jackets,3,5
60,2023-03-02,@,Boston Bruins,1,7,L,,,42,8,1,3,2,46,42,52.3,33,37,47.1,27,18,60.0,60.6,91.2,Buffalo Sabres,Boston Bruins,Buffalo Sabres,7,1
61,2023-03-04,,Tampa Bay Lightning,5,3,W,,,36,17,1,5,1,47,44,51.6,37,34,52.1,15,29,34.1,57.1,106.5,Buffalo Sabres,Buffalo Sabres,Tampa Bay Lightning,5,3
62,2023-03-06,,Edmonton Oilers,2,3,L,,,37,4,0,1,0,52,55,48.6,45,46,49.5,17,29,37.0,53.6,93.7,Buffalo Sabres,Buffalo Sabres,Edmonton Oilers,2,3
63,2023-03-07,@,New York Islanders,2,3,L,,,39,4,0,2,0,58,53,52.3,27,45,37.5,16,29,35.6,49.8,99.8,Buffalo Sabres,New York Islanders,Buffalo Sabres,3,2
64,2023-03-09,,Dallas Stars,4,10,L,,,49,4,1,3,0,43,57,43.0,36,51,41.4,24,33,42.1,44.4,93.4,Buffalo Sabres,Buffalo Sabres,Dallas Stars,4,10
