GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
1,2022-10-13,,Colorado Avalanche,5,3,W,,,25,14,1,4,0,38,39,49.4,27,30,47.4,26,20,56.5,40.7,100.4,Calgary Flames,Calgary Flames,Colorado Avalanche,5,3
2,2022-10-15,@,Edmonton Oilers,4,3,W,,,29,10,1,4,0,55,40,57.9,46,28,62.2,23,28,45.1,49.4,100.0,Calgary Flames,Edmonton Oilers,Calgary Flames,3,4
3,2022-10-18,,Vegas Golden Knights,3,2,W,,,21,12,0,4,0,51,27,65.4,37,21,63.8,21,23,47.7,62.1,89.7,Calgary Flames,Calgary Flames,Vegas Golden Knights,3,2
4,2022-10-20,,Buffalo Sabres,3,6,L,,,32,2,1,5,1,58,55,51.3,46,45,50.5,22,25,46.8,59.4,94.0,Calgary Flames,Calgary Flames,Buffalo Sabres,3,6
5,2022-10-22,,Carolina Hurricanes,3,2,W,OT,,27,8,0,4,0,31,47,39.7,25,33,43.1,15,22,40.5,36.8,101.3,Calgary Flames,Calgary Flames,Carolina Hurricanes,3,2
6,2022-10-25,,Pittsburgh Penguins,4,1,W,,,33,6,1,5,0,53,52,50.5,35,39,47.3,31,19,62.0,65.7,112.5,Calgary Flames,Calgary Flames,Pittsburgh Penguins,4,1
7,2022-10-29,,Edmonton Oilers,2,3,L,,,26,6,1,4,0,66,42,61.1,52,31,62.7,29,27,51.8,67.5,92.7,Calgary Flames,Calgary Flames,Edmonton Oilers,2,3
8,2022-11-01,,Seattle Kraken,4,5,L,,,26,13,1,4,1,56,37,60.2,42,23,64.6,32,21,60.4,73.3,95.5,Calgary Flames,Calgary Flames,Seattle Kraken,4,5
9,2022-11-03,,Nashville Predators,1,4,L,,,32,6,1,4,0,54,48,52.9,33,37,47.1,22,34,39.3,63.6,92.0,Calgary Flames,Calgary Flames,Nashville Predators,1,4
10,2022-11-05,,New Jersey Devils,3,4,L,OT,,35,8,1,5,0,47,46,50.5,32,37,46.4,27,28,49.1,51.5,103.2,Calgary Flames,Calgary Flames,New Jersey Devils,3,4
