GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
1,2022-10-12,,Columbus Blue Jackets,4,1,W,,,32,4,0,2,0,84,50,62.7,64,41,61.0,37,27,57.8,53.1,107.6,Carolina Hurricanes,Carolina Hurricanes,Columbus Blue Jackets,4,1
2,2022-10-14,@,San Jose Sharks,2,1,W,,,19,11,0,5,0,55,23,70.5,35,16,68.6,28,21,57.1,65.8,98.8,Carolina Hurricanes,San Jose Sharks,Carolina Hurricanes,1,2
3,2022-10-17,@,Seattle Kraken,5,1,W,,,23,10,1,5,0,52,30,63.4,38,22,63.3,24,21,53.3,62.5,111.5,Carolina Hurricanes,Seattle Kraken,Carolina Hurricanes,1,5
4,2022-10-20,@,Edmonton Oilers,4,6,L,,,33,10,2,5,1,56,43,56.6,40,32,55.6,29,32,47.5,58.6,95.1,Carolina Hurricanes,Edmonton Oilers,Carolina Hurricanes,6,4
5,2022-10-22,@,Calgary Flames,2,3,L,OT,,32,8,1,4,0,47,31,60.3,33,25,56.9,22,15,59.5,63.2,98.7,Carolina Hurricanes,Calgary Flames,Carolina Hurricanes,3,2
6,2022-10-24,@,Vancouver Canucks,3,2,W,,,16,6,1,2,0,62,34,64.6,50,20,71.4,38,22,63.3,56.4,97.4,Carolina Hurricanes,Vancouver Canucks,Carolina Hurricanes,2,3
7,2022-10-28,,New York Islanders,2,6,L,,,32,6,0,1,1,73,45,61.9,49,36,57.6,32,25,56.1,70.6,91.0,Carolina Hurricanes,Carolina Hurricanes,New York Islanders,2,6
8,2022-10-29,@,Philadelphia Flyers,4,3,W,OT,,29,10,1,6,0,52,28,65.0,40,22,64.5,20,24,45.5,58.2,103.8,Carolina Hurricanes,Philadelphia Flyers,Carolina Hurricanes,3,4
9,2022-10-31,,Washington Capitals,3,2,W,SO,,20,16,1,4,0,43,27,61.4,30,22,57.7,21,20,51.2,65.2,98.8,Carolina Hurricanes,Carolina Hurricanes,Washington Capitals,3,2
10,2022-11-03,@,Tampa Bay Lightning,4,3,W,SO,,26,12,2,5,0,61,37,62.2,45,27,62.5,31,17,64.6,74.8,97.8,Carolina Hurricanes,Tampa Bay Lightning,Carolina Hurricanes,3,4
