GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
1,2022-10-12,@,Colorado Avalanche,2,5,L,,,35,11,4,6,0,30,47,39.0,19,33,36.5,19,16,54.3,40.0,96.0,Chicago Blackhawks,Colorado Avalanche,Chicago Blackhawks,5,2
2,2022-10-13,@,Vegas Golden Knights,0,1,L,,,37,4,0,3,0,46,60,43.4,28,42,40.0,23,22,51.1,40.0,96.6,Chicago Blackhawks,Vegas Golden Knights,Chicago Blackhawks,1,0
3,2022-10-15,@,San Jose Sharks,5,2,W,,,26,6,0,3,0,31,43,41.9,28,29,49.1,20,21,48.8,51.6,104.3,Chicago Blackhawks,San Jose Sharks,Chicago Blackhawks,2,5
4,2022-10-21,,Detroit Red Wings,4,3,W,OT,,28,10,1,5,0,48,46,51.1,35,32,52.2,26,17,60.5,65.4,104.2,Chicago Blackhawks,Chicago Blackhawks,Detroit Red Wings,4,3
5,2022-10-23,,Seattle Kraken,5,4,W,,,34,6,0,4,0,40,52,43.5,30,38,44.1,32,17,65.3,38.7,95.1,Chicago Blackhawks,Chicago Blackhawks,Seattle Kraken,5,4
6,2022-10-25,,Florida Panthers,4,2,W,,,31,6,0,6,0,27,56,32.5,22,41,34.9,29,16,64.4,26.3,111.1,Chicago Blackhawks,Chicago Blackhawks,Florida Panthers,4,2
7,2022-10-27,,Edmonton Oilers,5,6,L,,,38,22,3,7,0,29,36,44.6,25,31,44.6,24,16,60.0,55.0,99.4,Chicago Blackhawks,Chicago Blackhawks,Edmonton Oilers,5,6
8,2022-10-29,@,Buffalo Sabres,3,4,L,OT,,45,8,2,3,0,38,64,37.3,28,44,38.9,27,10,73.0,28.6,103.7,Chicago Blackhawks,Buffalo Sabres,Chicago Blackhawks,4,3
9,2022-10-30,,Minnesota Wild,3,4,L,SO,,35,11,0,2,0,44,61,41.9,33,47,41.3,40,21,65.6,50.0,102.9,Chicago Blackhawks,Chicago Blackhawks,Minnesota Wild,3,4
10,2022-11-01,,New York Islanders,1,3,L,,,33,21,1,4,0,35,39,47.3,25,27,48.1,18,16,52.9,54.5,92.0,Chicago Blackhawks,Chicago Blackhawks,New York Islanders,1,3
11,2022-11-03,,Los Angeles Kings,2,1,W,OT,,33,7,0,2,0,37,67,35.6,28,47,37.3,17,31,35.4,42.9,108.7,Chicago Blackhawks,Chicago Blackhawks,Los Angeles Kings,2,1
12,2022-11-05,@,Winnipeg Jets,0,4,L,,,37,6,3,4,1,42,61,40.8,36,49,42.4,22,24,47.8,30.5,100.0,Chicago Blackhawks,Winnipeg Jets,Chicago Blackhawks,4,0
13,2022-11-10,@,Los Angeles Kings,1,2,L,OT,,35,8,0,4,0,37,60,38.1,27,42,39.1,31,14,68.9,38.7,93.1,Chicago Blackhawks,Los Angeles Kings,Chicago Blackhawks,2,1
14,2022-11-12,@,Anaheim Ducks,3,2,W,,,41,6,0,2,0,38,61,38.4,32,49,39.5,34,21,61.8,21.6,109.6,Chicago Blackhawks,Anaheim Ducks,Chicago Blackhawks,2,3
15,2022-11-14,,Carolina Hurricanes,0,3,L,,,32,8,0,3,0,27,43,38.6,21,32,39.6,24,19,55.8,51.5,85.7,Chicago Blackhawks,Chicago Blackhawks,Carolina Hurricanes,0,3
16,2022-11-16,,St. Louis Blues,2,5,L,,,35,6,0,2,1,40,45,47.1,28,38,42.4,21,19,52.5,57.7,92.4,Chicago Blackhawks,Chicago Blackhawks,St. Louis Blues,2,5
17,2022-11-19,@,Boston Bruins,1,6,L,,,43,6,2,3,0,28,61,31.5,20,52,27.8,19,17,52.8,45.8,88.6,Chicago Blackhawks,Boston Bruins,Chicago Blackhawks,6,1
18,2022-11-20,,Pittsburgh Penguins,3,5,L,,,25,18,0,2,0,48,46,51.1,36,31,53.7,24,30,44.4,55.5,88.0,Chicago Blackhawks,Chicago Blackhawks,Pittsburgh Penguins,3,5
19,2022-11-23,@,Dallas Stars,4,6,L,,,39,9,1,2,0,44,76,36.7,35,49,41.7,27,29,48.2,41.2,101.9,Chicago Blackhawks,Dallas Stars,Chicago Blackhawks,6,4
20,2022-11-25,,Montreal Canadiens,2,3,L,SO,,23,8,1,2,0,40,42,48.8,29,32,47.5,21,19,52.5,28.0,100.3,Chicago Blackhawks,Chicago Blackhawks,Montreal Canadiens,2,3
21,2022-11-27,,Winnipeg Jets,2,7,L,,,44,8,2,4,0,40,50,44.4,33,36,47.8,17,22,43.6,42.0,89.8,Chicago Blackhawks,Chicago Blackhawks,Winnipeg Jets,2,7
22,2022-11-30,,Edmonton Oilers,4,5,L,,,41,12,0,4,0,34,42,44.7,21,34,38.2,30,13,69.8,42.5,93.2,Chicago Blackhawks,Chicago Blackhawks,Edmonton Oilers,4,5
23,2022-12-03,@,New York Rangers,5,2,W,,,28,25,1,4,0,34,59,36.6,19,43,30.6,20,22,47.6,39.3,109.0,Chicago Blackhawks,New York Rangers,Chicago Blackhawks,2,5
24,2022-12-04,@,New York Islanders,0,3,L,,,40,7,0,2,0,48,63,43.2,33,44,42.9,33,18,64.7,41.2,91.2,Chicago Blackhawks,New York Islanders,Chicago Blackhawks,3,0
25,2022-12-06,@,New Jersey Devils,0,3,L,,,29,6,1,2,0,29,61,32.2,22,42,34.4,21,16,56.8,52.0,92.6,Chicago Blackhawks,New Jersey Devils,Chicago Blackhawks,3,0
26,2022-12-09,,Winnipeg Jets,1,3,L,,,32,10,1,4,0,37,56,39.8,25,45,35.7,33,23,58.9,48.9,98.5,Chicago Blackhawks,Chicago Blackhawks,Winnipeg Jets,1,3
27,2022-12-13,,Washington Capitals,3,7,L,,,30,6,1,1,0,37,61,37.8,25,41,37.9,17,15,53.1,25.0,89.7,Chicago Blackhawks,Chicago Blackhawks,Washington Capitals,3,7
28,2022-12-15,,Vegas Golden Knights,1,4,L,,,25,4,1,1,1,41,42,49.4,27,32,45.8,21,20,51.2,54.5,95.3,Chicago Blackhawks,Chicago Blackhawks,Vegas Golden Knights,1,4
29,2022-12-16,@,Minnesota Wild,1,4,L,,,22,12,1,2,0,39,43,47.6,28,26,51.9,22,22,50.0,45.7,83.3,Chicago Blackhawks,Minnesota Wild,Chicago Blackhawks,4,1
30,2022-12-18,,New York Rangers,1,7,L,,,26,2,1,1,0,55,44,55.6,40,37,51.9,26,17,60.5,45.8,79.6,Chicago Blackhawks,Chicago Blackhawks,New York Rangers,1,7
31,2022-12-21,,Nashville Predators,2,4,L,,,37,8,1,2,0,52,62,45.6,43,45,48.9,19,21,47.5,63.0,96.7,Chicago Blackhawks,Chicago Blackhawks,Nashville Predators,2,4
32,2022-12-23,,Columbus Blue Jackets,5,2,W,,,29,21,1,4,0,42,40,51.2,34,29,54.0,25,16,61.0,60.1,109.0,Chicago Blackhawks,Chicago Blackhawks,Columbus Blue Jackets,5,2
33,2022-12-27,@,Carolina Hurricanes,0,3,L,,,49,6,0,3,0,43,65,39.8,28,54,34.1,21,19,52.5,51.7,92.9,Chicago Blackhawks,Carolina Hurricanes,Chicago Blackhawks,3,0
34,2022-12-29,@,St. Louis Blues,1,3,L,,,29,4,0,3,0,37,37,50.0,24,29,45.3,19,16,54.3,35.0,87.0,Chicago Blackhawks,St. Louis Blues,Chicago Blackhawks,3,1
35,2022-12-31,@,Columbus Blue Jackets,1,4,L,,,38,10,1,3,2,32,53,37.6,28,39,41.8,25,18,58.1,47.8,102.1,Chicago Blackhawks,Columbus Blue Jackets,Chicago Blackhawks,4,1
36,2023-01-01,,San Jose Sharks,2,5,L,,,28,6,0,3,0,41,45,47.7,29,35,45.3,22,18,55.0,61.5,91.9,Chicago Blackhawks,Chicago Blackhawks,San Jose Sharks,2,5
37,2023-01-03,,Tampa Bay Lightning,1,4,L,,,29,12,1,4,1,39,49,44.3,23,37,38.3,21,24,46.7,55.9,91.3,Chicago Blackhawks,Chicago Blackhawks,Tampa Bay Lightning,1,4
38,2023-01-06,,Arizona Coyotes,2,0,W,,,22,4,0,1,0,52,40,56.5,42,28,60.0,33,13,71.7,48.6,106.9,Chicago Blackhawks,Chicago Blackhawks,Arizona Coyotes,2,0
39,2023-01-08,,Calgary Flames,4,3,W,OT,,47,9,2,3,0,47,70,40.2,33,51,39.3,29,32,47.5,30.2,113.4,Chicago Blackhawks,Chicago Blackhawks,Calgary Flames,4,3
40,2023-01-12,,Colorado Avalanche,3,2,W,,,33,6,0,5,0,30,57,34.5,23,42,35.4,21,19,52.5,31.8,108.6,Chicago Blackhawks,Chicago Blackhawks,Colorado Avalanche,3,2
41,2023-01-14,,Seattle Kraken,5,8,L,,,30,4,0,2,0,39,44,47.0,35,35,50.0,27,27,50.0,45.5,82.3,Chicago Blackhawks,Chicago Blackhawks,Seattle Kraken,5,8
42,2023-01-17,,Buffalo Sabres,4,3,W,OT,,33,12,0,2,1,52,59,46.8,38,47,44.7,21,17,55.3,19.7,109.3,Chicago Blackhawks,Chicago Blackhawks,Buffalo Sabres,4,3
43,2023-01-19,@,Philadelphia Flyers,4,1,W,,,38,0,0,2,0,55,71,43.7,39,51,43.3,26,25,51.0,55.3,110.9,Chicago Blackhawks,Philadelphia Flyers,Chicago Blackhawks,1,4
44,2023-01-21,@,St. Louis Blues,5,3,W,,,32,11,1,4,0,27,51,34.6,19,37,33.9,19,20,48.7,22.7,121.7,Chicago Blackhawks,St. Louis Blues,Chicago Blackhawks,3,5
45,2023-01-22,,Los Angeles Kings,1,2,L,,,27,6,0,0,0,40,48,45.5,29,41,41.4,25,16,61.0,54.2,98.1,Chicago Blackhawks,Chicago Blackhawks,Los Angeles Kings,1,2
46,2023-01-24,@,Vancouver Canucks,2,5,L,,,48,16,0,5,1,21,61,25.6,15,47,24.2,17,17,50.0,41.2,129.5,Chicago Blackhawks,Vancouver Canucks,Chicago Blackhawks,5,2
47,2023-01-26,@,Calgary Flames,5,1,W,,,35,2,0,3,0,45,64,41.3,39,48,44.8,27,23,54.0,60.0,115.4,Chicago Blackhawks,Calgary Flames,Chicago Blackhawks,1,5
48,2023-01-28,@,Edmonton Oilers,3,7,L,,,43,11,2,3,0,46,62,42.6,31,46,40.3,24,32,42.9,44.7,94.8,Chicago Blackhawks,Edmonton Oilers,Chicago Blackhawks,7,3
49,2023-02-07,,Anaheim Ducks,2,3,L,OT,,26,6,0,2,0,54,36,60.0,39,27,59.1,27,18,60.0,68.6,95.3,Chicago Blackhawks,Chicago Blackhawks,Anaheim Ducks,2,3
50,2023-02-10,,Arizona Coyotes,4,3,W,OT,,26,4,0,2,0,56,49,53.3,48,38,55.8,25,21,54.3,57.8,98.3,Chicago Blackhawks,Chicago Blackhawks,Arizona Coyotes,4,3
51,2023-02-11,@,Winnipeg Jets,1,4,L,,,28,11,1,3,0,54,51,51.4,37,35,51.4,24,25,49.0,52.0,90.4,Chicago Blackhawks,Winnipeg Jets,Chicago Blackhawks,4,1
52,2023-02-14,@,Montreal Canadiens,0,4,L,,,31,28,1,3,0,38,48,44.2,26,35,42.6,22,19,53.7,38.5,88.9,Chicago Blackhawks,Montreal Canadiens,Chicago Blackhawks,4,0
