GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
1,2022-10-12,,Chicago Blackhawks,5,2,W,,,17,17,2,3,0,47,30,61.0,33,19,63.5,16,19,45.7,60.0,104.0,Colorado Avalanche,Colorado Avalanche,Chicago Blackhawks,5,2
2,2022-10-13,@,Calgary Flames,3,5,L,,,27,12,2,5,1,39,38,50.6,30,27,52.6,20,26,43.5,59.3,99.6,Colorado Avalanche,Calgary Flames,Colorado Avalanche,5,3
3,2022-10-17,@,Minnesota Wild,6,3,W,,,39,10,2,4,0,56,51,52.3,45,38,54.2,24,25,49.0,47.1,107.7,Colorado Avalanche,Minnesota Wild,Colorado Avalanche,3,6
4,2022-10-19,,Winnipeg Jets,3,4,L,OT,,28,6,1,2,0,65,45,59.1,40,35,53.3,25,24,51.0,57.9,93.8,Colorado Avalanche,Colorado Avalanche,Winnipeg Jets,3,4
5,2022-10-21,,Seattle Kraken,2,3,L,,,38,9,1,5,0,39,45,46.4,28,38,42.4,29,17,63.0,26.8,99.4,Colorado Avalanche,Colorado Avalanche,Seattle Kraken,2,3
6,2022-10-22,@,Vegas Golden Knights,3,2,W,,,35,4,1,4,0,59,50,54.1,35,39,47.3,16,27,37.2,48.0,101.3,Colorado Avalanche,Vegas Golden Knights,Colorado Avalanche,2,3
7,2022-10-25,@,New York Rangers,3,2,W,SO,,46,6,0,4,0,54,56,49.1,40,46,46.5,22,24,47.8,40.4,94.1,Colorado Avalanche,New York Rangers,Colorado Avalanche,2,3
8,2022-10-28,@,New Jersey Devils,0,1,L,,,23,12,1,3,0,32,44,42.1,23,30,43.4,10,22,31.3,47.8,100.0,Colorado Avalanche,New Jersey Devils,Colorado Avalanche,1,0
9,2022-10-29,@,New York Islanders,4,5,L,,,44,4,0,3,0,54,61,47.0,40,51,44.0,27,22,55.1,50.0,97.2,Colorado Avalanche,New York Islanders,Colorado Avalanche,5,4
10,2022-11-04,,Columbus Blue Jackets,6,3,W,,,39,10,1,7,0,44,42,51.2,33,30,52.4,26,38,40.6,55.8,108.3,Colorado Avalanche,Colorado Avalanche,Columbus Blue Jackets,6,3
11,2022-11-05,@,Columbus Blue Jackets,5,1,W,,,32,7,1,1,0,74,50,59.7,54,37,59.3,35,27,56.5,59.1,111.4,Colorado Avalanche,Columbus Blue Jackets,Colorado Avalanche,1,5
12,2022-11-10,,Nashville Predators,5,3,W,,,35,6,1,2,0,49,59,45.4,38,39,49.4,26,31,45.6,35.1,106.3,Colorado Avalanche,Colorado Avalanche,Nashville Predators,5,3
13,2022-11-12,,Carolina Hurricanes,4,1,W,,,25,8,0,5,0,20,50,28.6,16,36,30.8,15,21,41.7,37.8,115.8,Colorado Avalanche,Colorado Avalanche,Carolina Hurricanes,4,1
14,2022-11-14,,St. Louis Blues,2,3,L,,,39,10,1,2,0,68,52,56.7,53,45,54.1,27,23,54.0,46.2,96.8,Colorado Avalanche,Colorado Avalanche,St. Louis Blues,2,3
15,2022-11-17,@,Carolina Hurricanes,3,2,W,OT,,48,8,0,4,0,25,62,28.7,19,49,27.9,15,35,30.0,28.2,111.4,Colorado Avalanche,Carolina Hurricanes,Colorado Avalanche,2,3
16,2022-11-19,@,Washington Capitals,4,0,W,,,32,6,0,2,0,49,55,47.1,39,40,49.4,19,27,41.3,38.7,113.0,Colorado Avalanche,Washington Capitals,Colorado Avalanche,0,4
17,2022-11-21,@,Dallas Stars,3,2,W,SO,,24,27,0,1,0,45,42,51.7,30,22,57.7,17,25,40.5,50.7,91.8,Colorado Avalanche,Dallas Stars,Colorado Avalanche,2,3
18,2022-11-23,,Vancouver Canucks,3,4,L,,,25,12,0,5,0,45,27,62.5,29,21,58.0,24,25,49.0,67.0,82.5,Colorado Avalanche,Colorado Avalanche,Vancouver Canucks,3,4
19,2022-11-26,,Dallas Stars,4,1,W,,,42,33,1,5,0,37,38,49.3,30,30,50.0,21,34,38.2,45.9,111.1,Colorado Avalanche,Colorado Avalanche,Dallas Stars,4,1
20,2022-11-29,@,Winnipeg Jets,0,5,L,,,23,8,1,2,0,51,36,58.6,40,27,59.7,13,24,35.1,53.1,77.8,Colorado Avalanche,Winnipeg Jets,Colorado Avalanche,5,0
21,2022-12-01,@,Buffalo Sabres,6,4,W,,,28,14,2,7,0,25,41,37.9,22,29,43.1,23,19,54.8,34.8,107.1,Colorado Avalanche,Buffalo Sabres,Colorado Avalanche,4,6
22,2022-12-03,@,Boston Bruins,1,5,L,,,40,13,1,5,0,39,51,43.3,28,41,40.6,22,29,43.1,56.9,92.6,Colorado Avalanche,Boston Bruins,Colorado Avalanche,5,1
23,2022-12-05,@,Philadelphia Flyers,3,5,L,,,34,10,2,3,0,59,39,60.2,39,31,55.7,17,16,51.5,57.9,95.6,Colorado Avalanche,Philadelphia Flyers,Colorado Avalanche,5,3
24,2022-12-07,,Boston Bruins,0,4,L,,,37,13,0,3,0,36,54,40.0,28,41,40.6,28,23,54.9,45.4,87.5,Colorado Avalanche,Colorado Avalanche,Boston Bruins,0,4
25,2022-12-09,,New York Rangers,1,2,L,SO,,29,2,0,1,0,64,49,56.6,49,37,57.0,23,23,50.0,56.9,99.1,Colorado Avalanche,Colorado Avalanche,New York Rangers,1,2
26,2022-12-11,@,St. Louis Blues,3,2,W,OT,,32,6,1,4,1,41,44,48.2,32,36,47.1,18,28,39.1,54.3,112.0,Colorado Avalanche,St. Louis Blues,Colorado Avalanche,2,3
27,2022-12-13,,Philadelphia Flyers,3,2,W,,,28,6,0,2,0,45,42,51.7,27,32,45.8,24,25,49.0,47.3,101.4,Colorado Avalanche,Colorado Avalanche,Philadelphia Flyers,3,2
28,2022-12-15,,Buffalo Sabres,2,4,L,,,21,4,1,2,0,75,29,72.1,52,25,67.5,44,20,68.8,77.8,89.0,Colorado Avalanche,Colorado Avalanche,Buffalo Sabres,2,4
29,2022-12-17,,Nashville Predators,3,1,W,,,26,6,0,2,0,46,46,50.0,30,30,50.0,20,21,48.8,44.0,105.8,Colorado Avalanche,Colorado Avalanche,Nashville Predators,3,1
30,2022-12-19,,New York Islanders,1,0,W,SO,,26,4,0,1,0,79,49,61.7,56,35,61.5,26,35,42.6,54.2,100.0,Colorado Avalanche,Colorado Avalanche,New York Islanders,1,0
