GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
1,2022-10-12,@,Carolina Hurricanes,1,4,L,,,43,4,0,2,0,50,84,37.3,41,64,39.0,27,37,42.2,46.9,92.4,Columbus Blue Jackets,Carolina Hurricanes,Columbus Blue Jackets,4,1
2,2022-10-14,,Tampa Bay Lightning,2,5,L,,,39,8,1,2,0,26,64,28.9,23,51,31.1,28,14,66.7,21.4,101.7,Columbus Blue Jackets,Columbus Blue Jackets,Tampa Bay Lightning,2,5
3,2022-10-15,@,St. Louis Blues,2,5,L,,,25,4,1,3,0,42,44,48.8,30,31,49.2,26,21,55.3,50.0,89.3,Columbus Blue Jackets,St. Louis Blues,Columbus Blue Jackets,5,2
4,2022-10-18,,Vancouver Canucks,4,3,W,OT,,35,9,0,3,1,56,45,55.4,43,30,58.9,33,20,62.3,41.0,105.1,Columbus Blue Jackets,Columbus Blue Jackets,Vancouver Canucks,4,3
5,2022-10-20,,Nashville Predators,5,3,W,,,26,6,0,5,0,64,48,57.1,48,32,60.0,25,30,45.5,62.3,101.8,Columbus Blue Jackets,Columbus Blue Jackets,Nashville Predators,5,3
6,2022-10-22,,Pittsburgh Penguins,3,6,L,,,39,2,0,3,0,48,55,46.6,31,44,41.3,31,31,50.0,46.5,90.5,Columbus Blue Jackets,Columbus Blue Jackets,Pittsburgh Penguins,3,6
7,2022-10-23,@,New York Rangers,5,1,W,,,31,2,1,3,0,38,56,40.4,27,37,42.2,16,28,36.4,43.3,125.0,Columbus Blue Jackets,New York Rangers,Columbus Blue Jackets,1,5
8,2022-10-25,,Arizona Coyotes,3,6,L,,,19,14,2,6,0,52,26,66.7,40,21,65.6,27,22,55.1,71.9,80.8,Columbus Blue Jackets,Columbus Blue Jackets,Arizona Coyotes,3,6
9,2022-10-28,,Boston Bruins,0,4,L,,,35,6,0,2,1,45,49,47.9,26,37,41.3,16,25,39.0,36.7,88.9,Columbus Blue Jackets,Columbus Blue Jackets,Boston Bruins,0,4
10,2022-10-30,@,New Jersey Devils,1,7,L,,,53,6,1,3,0,36,68,34.6,24,52,31.6,24,31,43.6,48.9,89.0,Columbus Blue Jackets,New Jersey Devils,Columbus Blue Jackets,7,1
11,2022-11-04,@,Colorado Avalanche,3,6,L,,,36,14,2,5,0,42,44,48.8,30,33,47.6,38,26,59.4,44.2,91.7,Columbus Blue Jackets,Colorado Avalanche,Columbus Blue Jackets,6,3
12,2022-11-05,,Colorado Avalanche,1,5,L,,,45,7,0,1,0,50,74,40.3,37,54,40.7,27,35,43.5,40.9,88.6,Columbus Blue Jackets,Columbus Blue Jackets,Colorado Avalanche,1,5
13,2022-11-10,,Philadelphia Flyers,5,2,W,,,34,11,0,0,0,43,64,40.2,34,46,42.5,30,28,51.7,35.3,113.9,Columbus Blue Jackets,Columbus Blue Jackets,Philadelphia Flyers,5,2
14,2022-11-12,@,New York Islanders,3,4,L,OT,,46,4,0,2,0,51,62,45.1,38,46,45.2,25,28,47.2,47.1,96.3,Columbus Blue Jackets,New York Islanders,Columbus Blue Jackets,4,3
15,2022-11-15,,Philadelphia Flyers,5,4,W,OT,,37,4,1,2,0,55,69,44.4,38,47,44.7,32,27,54.2,52.3,103.1,Columbus Blue Jackets,Columbus Blue Jackets,Philadelphia Flyers,5,4
16,2022-11-17,,Montreal Canadiens,6,4,W,,,42,9,1,3,0,50,67,42.7,40,51,44.0,31,30,50.8,44.4,114.9,Columbus Blue Jackets,Columbus Blue Jackets,Montreal Canadiens,6,4
17,2022-11-19,,Detroit Red Wings,1,6,L,,,37,6,2,3,0,49,48,50.5,36,35,50.7,35,20,63.6,48.2,89.9,Columbus Blue Jackets,Columbus Blue Jackets,Detroit Red Wings,1,6
18,2022-11-20,,Florida Panthers,5,3,W,,,50,4,0,3,0,33,80,29.2,30,57,34.5,35,31,53.0,32.0,103.9,Columbus Blue Jackets,Columbus Blue Jackets,Florida Panthers,5,3
19,2022-11-23,,Montreal Canadiens,1,3,L,,,29,11,0,3,0,51,45,53.1,34,32,51.5,32,27,54.2,41.8,92.9,Columbus Blue Jackets,Columbus Blue Jackets,Montreal Canadiens,1,3
20,2022-11-25,,New York Islanders,2,3,L,,,24,15,1,4,0,44,45,49.4,32,26,55.2,18,23,43.9,71.6,87.5,Columbus Blue Jackets,Columbus Blue Jackets,New York Islanders,2,3
21,2022-11-28,,Vegas Golden Knights,2,3,L,SO,,36,4,0,4,0,53,55,49.1,39,43,47.6,23,29,44.2,48.6,100.5,Columbus Blue Jackets,Columbus Blue Jackets,Vegas Golden Knights,2,3
22,2022-12-02,@,Winnipeg Jets,4,1,W,,,38,6,1,5,0,46,70,39.7,31,45,40.8,25,25,50.0,50.2,119.0,Columbus Blue Jackets,Winnipeg Jets,Columbus Blue Jackets,1,4
23,2022-12-04,,Detroit Red Wings,2,4,L,,,35,6,2,5,0,37,41,47.4,28,29,49.1,19,21,47.5,63.0,96.1,Columbus Blue Jackets,Columbus Blue Jackets,Detroit Red Wings,2,4
24,2022-12-06,@,Pittsburgh Penguins,1,4,L,,,34,10,1,5,0,59,47,55.7,40,41,49.4,20,22,47.6,43.0,91.8,Columbus Blue Jackets,Pittsburgh Penguins,Columbus Blue Jackets,4,1
