GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
1,2022-10-13,@,Nashville Predators,4,1,W,,,32,13,0,5,0,33,39,45.8,26,27,49.1,18,19,48.6,47.4,105.5,Dallas Stars,Nashville Predators,Dallas Stars,1,4
2,2022-10-15,,Nashville Predators,5,1,W,,,30,16,1,4,0,43,61,41.3,28,50,35.9,24,19,55.8,49.4,125.0,Dallas Stars,Dallas Stars,Nashville Predators,5,1
3,2022-10-17,,Winnipeg Jets,4,1,W,,,25,8,0,5,0,37,47,44.0,28,32,46.7,21,16,56.8,41.7,111.1,Dallas Stars,Dallas Stars,Winnipeg Jets,4,1
4,2022-10-20,@,Toronto Maple Leafs,2,3,L,OT,,43,8,1,8,0,53,40,57.0,35,28,55.6,23,26,46.9,45.9,95.8,Dallas Stars,Toronto Maple Leafs,Dallas Stars,3,2
5,2022-10-22,@,Montreal Canadiens,5,2,W,,,34,6,0,4,0,48,49,49.5,36,36,50.0,29,23,55.8,42.4,106.8,Dallas Stars,Montreal Canadiens,Dallas Stars,2,5
6,2022-10-24,@,Ottawa Senators,2,4,L,,,32,6,1,4,0,49,52,48.5,37,35,51.4,21,25,45.7,58.1,93.9,Dallas Stars,Ottawa Senators,Dallas Stars,4,2
7,2022-10-25,@,Boston Bruins,1,3,L,,,29,11,1,4,0,44,33,57.1,33,29,53.2,20,24,45.5,54.9,95.0,Dallas Stars,Boston Bruins,Dallas Stars,3,1
8,2022-10-27,,Washington Capitals,2,0,W,,,27,8,0,3,0,50,49,50.5,36,35,50.7,33,15,68.8,51.8,104.0,Dallas Stars,Dallas Stars,Washington Capitals,2,0
9,2022-10-29,,New York Rangers,3,6,L,,,27,12,2,5,0,46,51,47.4,35,38,47.9,23,19,54.8,32.4,93.3,Dallas Stars,Dallas Stars,New York Rangers,3,6
10,2022-11-01,,Los Angeles Kings,5,2,W,,,32,8,1,3,0,64,52,55.2,45,38,54.2,30,27,52.6,53.7,102.4,Dallas Stars,Dallas Stars,Los Angeles Kings,5,2
11,2022-11-03,@,Arizona Coyotes,7,2,W,,,30,8,0,1,0,44,54,44.9,32,42,43.2,24,23,51.1,52.2,115.9,Dallas Stars,Arizona Coyotes,Dallas Stars,2,7
12,2022-11-05,@,Edmonton Oilers,6,2,W,,,30,6,1,6,0,48,40,54.5,39,31,55.7,20,19,51.3,36.4,111.7,Dallas Stars,Edmonton Oilers,Dallas Stars,2,6
13,2022-11-08,@,Winnipeg Jets,1,5,L,,,33,9,0,1,0,46,48,48.9,31,39,44.3,25,22,53.2,42.7,88.9,Dallas Stars,Winnipeg Jets,Dallas Stars,5,1
14,2022-11-11,,San Jose Sharks,4,5,L,,,18,9,1,2,0,70,25,73.7,46,19,70.8,30,26,53.6,73.2,83.5,Dallas Stars,Dallas Stars,San Jose Sharks,4,5
15,2022-11-13,@,Philadelphia Flyers,5,1,W,,,38,6,0,6,0,42,50,45.7,33,36,47.8,33,11,75.0,57.1,105.5,Dallas Stars,Philadelphia Flyers,Dallas Stars,1,5
16,2022-11-15,@,Tampa Bay Lightning,4,5,L,OT,,38,6,1,5,0,45,50,47.4,35,41,46.1,30,30,50.0,58.8,90.7,Dallas Stars,Tampa Bay Lightning,Dallas Stars,5,4
17,2022-11-17,@,Florida Panthers,6,4,W,,,44,13,2,4,0,42,55,43.3,30,43,41.1,28,22,56.0,37.5,123.0,Dallas Stars,Florida Panthers,Dallas Stars,4,6
18,2022-11-19,,New York Islanders,5,2,W,,,29,14,1,5,0,47,42,52.8,36,30,54.5,29,14,67.4,45.8,114.5,Dallas Stars,Dallas Stars,New York Islanders,5,2
19,2022-11-21,,Colorado Avalanche,2,3,L,SO,,35,7,1,6,0,42,45,48.3,22,30,42.3,25,17,59.5,49.3,108.2,Dallas Stars,Dallas Stars,Colorado Avalanche,2,3
20,2022-11-23,,Chicago Blackhawks,6,4,W,,,31,9,0,2,0,76,44,63.3,49,35,58.3,29,27,51.8,58.8,98.1,Dallas Stars,Dallas Stars,Chicago Blackhawks,6,4
21,2022-11-25,,Winnipeg Jets,4,5,L,OT,,28,20,0,2,0,55,42,56.7,42,31,57.5,33,17,66.0,64.3,88.3,Dallas Stars,Dallas Stars,Winnipeg Jets,4,5
22,2022-11-26,@,Colorado Avalanche,1,4,L,,,36,15,1,4,0,38,37,50.7,30,30,50.0,34,21,61.8,54.1,88.9,Dallas Stars,Colorado Avalanche,Dallas Stars,4,1
23,2022-11-28,@,St. Louis Blues,4,1,W,,,24,7,0,1,0,54,42,56.3,33,34,49.3,29,16,64.4,46.4,113.0,Dallas Stars,St. Louis Blues,Dallas Stars,1,4
24,2022-12-01,,Anaheim Ducks,5,0,W,,,31,13,0,3,0,64,36,64.0,44,26,62.9,25,17,59.5,67.7,108.8,Dallas Stars,Dallas Stars,Anaheim Ducks,5,0
25,2022-12-04,,Minnesota Wild,5,6,L,SO,,31,13,1,4,1,50,41,54.9,34,35,49.3,20,20,50.0,68.0,107.2,Dallas Stars,Dallas Stars,Minnesota Wild,5,6
26,2022-12-06,,Toronto Maple Leafs,0,4,L,,,29,14,0,2,0,58,39,59.8,40,30,57.1,14,21,40.0,70.0,80.0,Dallas Stars,Dallas Stars,Toronto Maple Leafs,0,4
27,2022-12-08,,Ottawa Senators,4,3,W,OT,,31,4,0,3,0,51,58,46.8,35,36,49.3,33,31,51.6,46.9,104.0,Dallas Stars,Dallas Stars,Ottawa Senators,4,3
28,2022-12-10,,Detroit Red Wings,3,2,W,OT,,26,8,0,2,0,57,45,55.9,46,35,56.8,20,22,47.6,55.4,98.1,Dallas Stars,Dallas Stars,Detroit Red Wings,3,2
29,2022-12-12,@,Pittsburgh Penguins,1,2,L,,,25,4,1,3,0,48,46,51.1,28,29,49.1,26,21,55.3,51.4,100.2,Dallas Stars,Pittsburgh Penguins,Dallas Stars,2,1
30,2022-12-13,@,New Jersey Devils,4,1,W,,,36,2,0,2,0,55,63,46.6,41,44,48.2,34,24,58.6,38.5,110.3,Dallas Stars,New Jersey Devils,Dallas Stars,1,4
31,2022-12-15,@,Washington Capitals,2,1,W,,,46,4,0,2,0,42,66,38.9,32,53,37.6,21,31,40.4,30.8,102.6,Dallas Stars,Washington Capitals,Dallas Stars,1,2
32,2022-12-17,@,Carolina Hurricanes,4,5,L,OT,,38,14,2,4,0,44,57,43.6,30,43,41.1,32,30,51.6,47.0,99.3,Dallas Stars,Carolina Hurricanes,Dallas Stars,5,4
33,2022-12-19,@,Columbus Blue Jackets,2,1,W,,,28,0,0,1,0,73,57,56.2,47,45,51.1,30,17,63.8,51.2,102.2,Dallas Stars,Columbus Blue Jackets,Dallas Stars,1,2
34,2022-12-21,,Edmonton Oilers,3,6,L,,,34,10,1,2,0,42,58,42.0,31,44,41.3,28,20,58.3,45.5,93.9,Dallas Stars,Dallas Stars,Edmonton Oilers,3,6
35,2022-12-23,,Montreal Canadiens,4,2,W,,,24,20,1,2,0,52,33,61.2,36,24,60.0,33,23,58.9,52.5,98.6,Dallas Stars,Dallas Stars,Montreal Canadiens,4,2
36,2022-12-27,@,Nashville Predators,3,2,W,,,28,12,0,3,1,55,44,55.6,38,32,54.3,15,22,40.5,51.7,102.6,Dallas Stars,Nashville Predators,Dallas Stars,2,3
37,2022-12-29,@,Minnesota Wild,4,1,W,,,24,18,0,2,0,52,51,50.5,39,36,52.0,41,13,75.9,52.8,101.5,Dallas Stars,Minnesota Wild,Dallas Stars,1,4
38,2022-12-31,,San Jose Sharks,5,2,W,,,31,6,0,4,0,41,55,42.7,29,40,42.0,22,18,55.0,44.4,102.0,Dallas Stars,Dallas Stars,San Jose Sharks,5,2
39,2023-01-03,@,Los Angeles Kings,2,3,L,,,35,6,1,3,0,46,54,46.0,35,40,46.7,18,23,43.9,57.6,101.2,Dallas Stars,Los Angeles Kings,Dallas Stars,3,2
40,2023-01-04,@,Anaheim Ducks,0,2,L,,,27,8,1,1,0,60,47,56.1,40,33,54.8,33,21,61.1,40.5,95.7,Dallas Stars,Anaheim Ducks,Dallas Stars,2,0
41,2023-01-08,,Florida Panthers,5,1,W,,,28,4,0,4,0,47,54,46.5,40,39,50.6,30,27,52.6,61.9,109.5,Dallas Stars,Dallas Stars,Florida Panthers,5,1
42,2023-01-10,@,New York Islanders,2,1,W,SO,,28,2,1,3,0,50,63,44.2,33,43,43.4,23,26,46.9,44.9,104.2,Dallas Stars,New York Islanders,Dallas Stars,1,2
43,2023-01-12,@,New York Rangers,1,2,L,OT,,31,2,0,4,0,44,52,45.8,27,33,45.0,16,23,41.0,34.6,91.7,Dallas Stars,New York Rangers,Dallas Stars,2,1
44,2023-01-14,,Calgary Flames,5,6,L,,,36,4,2,5,0,52,48,52.0,44,37,54.3,28,22,56.0,53.1,97.3,Dallas Stars,Dallas Stars,Calgary Flames,5,6
45,2023-01-16,@,Vegas Golden Knights,4,0,W,,,27,4,0,2,0,64,46,58.2,46,34,57.5,25,22,53.2,47.1,112.5,Dallas Stars,Vegas Golden Knights,Dallas Stars,0,4
46,2023-01-18,@,San Jose Sharks,3,5,L,,,28,6,1,3,0,48,47,50.5,40,38,51.3,24,23,51.1,55.9,92.4,Dallas Stars,San Jose Sharks,Dallas Stars,5,3
