GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
1,2022-10-14,,Montreal Canadiens,3,0,W,,,29,6,0,3,0,50,37,57.5,37,24,60.7,20,28,41.7,54.1,110.0,Detroit Red Wings,Detroit Red Wings,Montreal Canadiens,3,0
2,2022-10-15,@,New Jersey Devils,5,2,W,,,39,12,0,3,0,34,63,35.1,24,45,34.8,19,25,43.2,30.1,123.4,Detroit Red Wings,New Jersey Devils,Detroit Red Wings,2,5
3,2022-10-17,,Los Angeles Kings,4,5,L,OT,,36,8,0,4,0,40,53,43.0,30,40,42.9,16,32,33.3,51.0,94.8,Detroit Red Wings,Detroit Red Wings,Los Angeles Kings,4,5
4,2022-10-21,@,Chicago Blackhawks,3,4,L,OT,,29,14,0,3,1,46,48,48.9,32,35,47.8,17,26,39.5,32.5,95.8,Detroit Red Wings,Chicago Blackhawks,Detroit Red Wings,4,3
5,2022-10-23,,Anaheim Ducks,5,1,W,,,33,14,0,4,0,36,53,40.4,30,40,42.9,18,24,42.9,48.0,104.1,Detroit Red Wings,Detroit Red Wings,Anaheim Ducks,5,1
6,2022-10-25,,New Jersey Devils,2,6,L,,,41,6,1,1,1,38,61,38.4,26,49,34.7,20,30,40.0,44.4,101.5,Detroit Red Wings,Detroit Red Wings,New Jersey Devils,2,6
7,2022-10-27,@,Boston Bruins,1,5,L,,,33,10,3,6,0,40,37,51.9,31,32,49.2,23,20,53.5,45.3,95.7,Detroit Red Wings,Boston Bruins,Detroit Red Wings,5,1
8,2022-10-29,,Minnesota Wild,2,1,W,,,31,6,0,1,0,45,57,44.1,32,40,44.4,16,19,45.7,45.5,100.8,Detroit Red Wings,Detroit Red Wings,Minnesota Wild,2,1
9,2022-10-31,@,Buffalo Sabres,3,8,L,,,46,4,2,5,0,29,62,31.9,25,51,32.9,28,27,50.9,31.7,97.5,Detroit Red Wings,Buffalo Sabres,Detroit Red Wings,8,3
10,2022-11-03,,Washington Capitals,3,1,W,,,34,8,0,4,0,35,46,43.2,29,34,46.0,15,25,37.5,37.0,105.6,Detroit Red Wings,Detroit Red Wings,Washington Capitals,3,1
