GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
1,2022-10-12,,Vancouver Canucks,5,3,W,,,36,8,1,8,0,41,44,48.2,25,34,42.4,22,26,45.8,40.2,97.3,Edmonton Oilers,Edmonton Oilers,Vancouver Canucks,5,3
2,2022-10-15,,Calgary Flames,3,4,L,,,42,10,1,4,0,40,55,42.1,28,46,37.8,28,23,54.9,50.6,100.0,Edmonton Oilers,Edmonton Oilers,Calgary Flames,3,4
3,2022-10-18,,Buffalo Sabres,2,4,L,,,24,10,1,4,0,68,36,65.4,57,28,67.1,39,24,61.9,74.1,88.1,Edmonton Oilers,Edmonton Oilers,Buffalo Sabres,2,4
4,2022-10-20,,Carolina Hurricanes,6,4,W,,,40,10,2,5,0,43,56,43.4,32,40,44.4,32,29,52.5,41.4,104.9,Edmonton Oilers,Edmonton Oilers,Carolina Hurricanes,6,4
5,2022-10-22,,St. Louis Blues,0,2,L,,,22,2,1,1,0,57,38,60.0,33,30,52.4,18,22,45.0,41.4,94.7,Edmonton Oilers,Edmonton Oilers,St. Louis Blues,0,2
6,2022-10-24,,Pittsburgh Penguins,6,3,W,,,35,6,1,5,0,67,44,60.4,59,35,62.8,31,24,56.4,55.0,104.5,Edmonton Oilers,Edmonton Oilers,Pittsburgh Penguins,6,3
7,2022-10-26,@,St. Louis Blues,3,1,W,,,38,4,1,3,0,51,46,52.6,33,40,45.2,31,22,58.5,47.2,113.0,Edmonton Oilers,St. Louis Blues,Edmonton Oilers,1,3
8,2022-10-27,@,Chicago Blackhawks,6,5,W,,,36,18,2,10,0,36,29,55.4,31,25,55.4,16,24,40.0,45.0,100.6,Edmonton Oilers,Chicago Blackhawks,Edmonton Oilers,5,6
9,2022-10-29,@,Calgary Flames,3,2,W,,,42,8,0,3,1,42,66,38.9,31,52,37.3,27,29,48.2,32.5,107.3,Edmonton Oilers,Calgary Flames,Edmonton Oilers,2,3
10,2022-11-01,,Nashville Predators,7,4,W,,,23,17,2,2,0,52,37,58.4,34,27,55.7,24,27,47.1,70.0,109.7,Edmonton Oilers,Edmonton Oilers,Nashville Predators,7,4
