GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
1,2022-10-13,@,New York Islanders,3,1,W,,,33,12,1,3,0,43,53,44.8,27,40,40.3,19,30,38.8,37.1,115.0,Florida Panthers,New York Islanders,Florida Panthers,1,3
2,2022-10-15,@,Buffalo Sabres,4,3,W,,,27,16,0,4,0,41,33,55.4,34,25,57.6,22,25,46.8,48.4,92.5,Florida Panthers,Buffalo Sabres,Florida Panthers,3,4
3,2022-10-17,@,Boston Bruins,3,5,L,,,34,12,0,3,0,54,53,50.5,41,37,52.6,15,24,38.5,46.2,92.1,Florida Panthers,Boston Bruins,Florida Panthers,5,3
4,2022-10-19,,Philadelphia Flyers,4,3,W,,,33,6,1,6,0,45,27,62.5,36,24,60.0,29,19,60.4,44.7,105.7,Florida Panthers,Florida Panthers,Philadelphia Flyers,4,3
5,2022-10-21,,Tampa Bay Lightning,2,3,L,OT,,32,14,2,7,0,44,34,56.4,32,29,52.5,21,29,42.0,40.8,102.6,Florida Panthers,Florida Panthers,Tampa Bay Lightning,2,3
6,2022-10-23,,New York Islanders,3,2,W,,,26,8,2,6,0,46,27,63.0,30,19,61.2,18,16,52.9,50.0,112.5,Florida Panthers,Florida Panthers,New York Islanders,3,2
7,2022-10-25,@,Chicago Blackhawks,2,4,L,,,22,14,1,2,0,56,27,67.5,41,22,65.1,16,29,35.6,73.8,88.9,Florida Panthers,Chicago Blackhawks,Florida Panthers,4,2
8,2022-10-27,@,Philadelphia Flyers,3,4,L,,,22,12,1,2,0,88,33,72.7,62,28,68.9,30,29,50.8,60.4,89.9,Florida Panthers,Philadelphia Flyers,Florida Panthers,4,3
9,2022-10-29,,Ottawa Senators,5,3,W,,,26,16,1,2,0,72,35,67.3,58,24,70.7,29,22,56.9,53.9,97.8,Florida Panthers,Florida Panthers,Ottawa Senators,5,3
10,2022-11-01,@,Arizona Coyotes,1,3,L,,,21,10,2,4,0,65,32,67.0,47,27,63.5,30,20,60.0,70.4,95.8,Florida Panthers,Arizona Coyotes,Florida Panthers,3,1
