GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
1,2022-10-11,,Vegas Golden Knights,3,4,L,,,51,6,1,5,0,50,72,41.0,41,52,44.1,24,24,50.0,50.0,103.9,Los Angeles Kings,Los Angeles Kings,Vegas Golden Knights,3,4
2,2022-10-13,,Seattle Kraken,1,4,L,,,22,19,1,6,1,42,29,59.2,30,22,57.7,25,11,69.4,56.1,87.5,Los Angeles Kings,Los Angeles Kings,Seattle Kraken,1,4
3,2022-10-15,@,Minnesota Wild,7,6,W,,,35,14,3,6,0,31,53,36.9,27,36,42.9,32,20,61.5,43.7,110.2,Los Angeles Kings,Minnesota Wild,Los Angeles Kings,6,7
4,2022-10-17,@,Detroit Red Wings,5,4,W,OT,,33,8,1,4,0,53,40,57.0,40,30,57.1,32,16,66.7,49.0,105.2,Los Angeles Kings,Detroit Red Wings,Los Angeles Kings,4,5
5,2022-10-18,@,Nashville Predators,4,3,W,SO,,32,18,0,5,0,39,41,48.8,32,34,48.5,13,21,38.2,52.4,95.7,Los Angeles Kings,Nashville Predators,Los Angeles Kings,3,4
6,2022-10-20,@,Pittsburgh Penguins,1,6,L,,,34,14,1,3,1,55,46,54.5,39,33,54.2,16,18,47.1,40.3,85.7,Los Angeles Kings,Pittsburgh Penguins,Los Angeles Kings,6,1
7,2022-10-22,@,Washington Capitals,3,4,L,,,32,2,0,3,0,51,58,46.8,35,40,46.7,35,16,68.6,50.0,97.7,Los Angeles Kings,Washington Capitals,Los Angeles Kings,4,3
8,2022-10-25,,Tampa Bay Lightning,4,2,W,,,25,10,0,4,0,54,42,56.3,38,25,60.3,17,19,47.2,52.3,99.2,Los Angeles Kings,Los Angeles Kings,Tampa Bay Lightning,4,2
9,2022-10-27,,Winnipeg Jets,4,6,L,,,19,8,2,5,1,64,25,71.9,46,20,69.7,22,13,62.9,57.9,80.6,Los Angeles Kings,Los Angeles Kings,Winnipeg Jets,4,6
10,2022-10-29,,Toronto Maple Leafs,4,2,W,,,28,12,1,4,0,40,39,50.6,29,33,46.8,22,18,55.0,42.2,105.5,Los Angeles Kings,Los Angeles Kings,Toronto Maple Leafs,4,2
11,2022-10-31,@,St. Louis Blues,5,1,W,,,28,6,0,4,0,48,36,57.1,41,27,60.3,23,18,56.1,58.6,110.4,Los Angeles Kings,St. Louis Blues,Los Angeles Kings,1,5
12,2022-11-01,@,Dallas Stars,2,5,L,,,40,6,3,4,0,52,64,44.8,38,45,45.8,27,30,47.4,46.3,97.6,Los Angeles Kings,Dallas Stars,Los Angeles Kings,5,2
13,2022-11-03,@,Chicago Blackhawks,1,2,L,OT,,19,9,0,1,0,67,37,64.4,47,28,62.7,31,17,64.6,57.1,91.3,Los Angeles Kings,Chicago Blackhawks,Los Angeles Kings,2,1
14,2022-11-05,,Florida Panthers,5,4,W,,,38,22,0,2,0,46,69,40.0,33,53,38.4,32,27,54.2,48.7,104.2,Los Angeles Kings,Los Angeles Kings,Florida Panthers,5,4
15,2022-11-08,,Minnesota Wild,1,0,W,,,21,11,0,1,0,52,38,57.8,38,27,58.5,21,12,63.6,,104.2,Los Angeles Kings,Los Angeles Kings,Minnesota Wild,1,0
16,2022-11-10,,Chicago Blackhawks,2,1,W,OT,,32,8,1,4,0,60,37,61.9,42,27,60.9,14,31,31.1,61.3,106.9,Los Angeles Kings,Los Angeles Kings,Chicago Blackhawks,2,1
17,2022-11-12,,Detroit Red Wings,4,3,W,,,21,6,2,4,0,47,44,51.6,30,25,54.5,24,18,57.1,42.9,104.9,Los Angeles Kings,Los Angeles Kings,Detroit Red Wings,4,3
18,2022-11-14,@,Calgary Flames,5,6,L,,,30,8,1,2,0,44,47,48.4,32,33,49.2,28,30,48.3,31.5,97.4,Los Angeles Kings,Calgary Flames,Los Angeles Kings,6,5
19,2022-11-16,@,Edmonton Oilers,3,1,W,,,23,10,0,1,0,40,60,40.0,33,32,50.8,29,22,56.9,44.5,106.0,Los Angeles Kings,Edmonton Oilers,Los Angeles Kings,1,3
20,2022-11-18,@,Vancouver Canucks,1,4,L,,,25,4,1,3,0,54,43,55.7,45,29,60.8,22,24,47.8,48.7,90.1,Los Angeles Kings,Vancouver Canucks,Los Angeles Kings,4,1
21,2022-11-19,@,Seattle Kraken,2,3,L,OT,,29,2,1,3,0,61,41,59.8,39,34,53.4,20,22,47.6,62.8,96.0,Los Angeles Kings,Seattle Kraken,Los Angeles Kings,3,2
22,2022-11-22,,New York Rangers,3,5,L,,,25,4,0,0,0,56,51,52.3,42,32,56.8,30,28,51.7,50.3,85.4,Los Angeles Kings,Los Angeles Kings,New York Rangers,3,5
23,2022-11-25,@,San Jose Sharks,5,2,W,,,31,4,0,3,0,48,59,44.9,35,40,46.7,29,25,53.7,48.4,108.6,Los Angeles Kings,San Jose Sharks,Los Angeles Kings,2,5
24,2022-11-27,,Ottawa Senators,2,3,L,OT,,39,4,1,2,0,54,65,45.4,37,45,45.1,29,31,48.3,47.6,94.3,Los Angeles Kings,Los Angeles Kings,Ottawa Senators,2,3
25,2022-11-29,,Seattle Kraken,8,9,L,OT,,30,8,3,4,0,48,47,50.5,40,39,50.6,33,19,63.5,42.6,98.4,Los Angeles Kings,Los Angeles Kings,Seattle Kraken,8,9
26,2022-12-01,,Arizona Coyotes,5,3,W,,,21,10,0,3,1,40,30,57.1,28,22,56.0,17,26,39.5,65.4,96.1,Los Angeles Kings,Los Angeles Kings,Arizona Coyotes,5,3
27,2022-12-03,,Carolina Hurricanes,2,4,L,,,31,8,1,3,0,55,50,52.4,40,45,47.1,29,22,56.9,60.7,93.0,Los Angeles Kings,Los Angeles Kings,Carolina Hurricanes,2,4
28,2022-12-06,@,Ottawa Senators,5,2,W,,,33,6,2,4,0,50,48,51.0,33,31,51.6,19,25,43.2,59.4,112.5,Los Angeles Kings,Ottawa Senators,Los Angeles Kings,2,5
29,2022-12-08,@,Toronto Maple Leafs,0,5,L,,,41,12,1,3,0,42,53,44.2,30,43,41.1,17,22,43.6,59.3,87.9,Los Angeles Kings,Toronto Maple Leafs,Los Angeles Kings,5,0
30,2022-12-10,@,Montreal Canadiens,4,2,W,,,22,8,0,3,0,44,43,50.6,38,27,58.5,27,15,64.3,66.7,98.9,Los Angeles Kings,Montreal Canadiens,Los Angeles Kings,2,4
31,2022-12-11,@,Columbus Blue Jackets,5,6,L,OT,,26,4,2,3,1,66,52,55.9,54,34,61.4,26,30,46.4,66.3,99.6,Los Angeles Kings,Columbus Blue Jackets,Los Angeles Kings,6,5
32,2022-12-13,@,Buffalo Sabres,0,6,L,,,31,6,3,6,0,42,46,47.7,36,30,54.5,24,25,49.0,55.1,85.7,Los Angeles Kings,Buffalo Sabres,Los Angeles Kings,6,0
33,2022-12-15,@,Boston Bruins,3,2,W,SO,,35,14,1,6,0,45,46,49.5,32,31,50.8,22,16,57.9,38.3,98.6,Los Angeles Kings,Boston Bruins,Los Angeles Kings,2,3
