GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
1,2022-10-07,,San Jose Sharks,4,1,W,,,31,13,0,4,0,50,44,53.2,31,34,47.7,24,28,46.2,48.9,113.0,Nashville Predators,Nashville Predators,San Jose Sharks,4,1
2,2022-10-08,@,San Jose Sharks,3,2,W,,,33,6,1,4,0,39,45,46.4,25,30,45.5,32,24,57.1,40.0,116.9,Nashville Predators,San Jose Sharks,Nashville Predators,2,3
3,2022-10-13,,Dallas Stars,1,4,L,,,29,15,2,4,0,39,33,54.2,27,26,50.9,19,18,51.4,52.6,94.5,Nashville Predators,Nashville Predators,Dallas Stars,1,4
4,2022-10-15,@,Dallas Stars,1,5,L,,,22,10,0,2,1,61,43,58.7,50,28,64.1,19,24,44.2,50.6,75.0,Nashville Predators,Dallas Stars,Nashville Predators,5,1
5,2022-10-18,,Los Angeles Kings,3,4,L,SO,,35,12,1,8,0,41,39,51.3,34,32,51.5,21,13,61.8,47.6,104.3,Nashville Predators,Nashville Predators,Los Angeles Kings,3,4
6,2022-10-20,@,Columbus Blue Jackets,3,5,L,,,42,10,0,3,0,48,64,42.9,32,48,40.0,30,25,54.5,37.7,98.2,Nashville Predators,Columbus Blue Jackets,Nashville Predators,5,3
7,2022-10-22,,Philadelphia Flyers,1,3,L,,,25,16,0,2,0,63,42,60.0,45,31,59.2,35,15,70.0,53.4,87.5,Nashville Predators,Nashville Predators,Philadelphia Flyers,1,3
8,2022-10-27,,St. Louis Blues,6,2,W,,,35,4,1,3,0,62,44,58.5,44,37,54.3,21,21,50.0,62.1,111.1,Nashville Predators,Nashville Predators,St. Louis Blues,6,2
9,2022-10-29,,Washington Capitals,0,3,L,,,35,10,0,3,0,43,55,43.9,35,42,45.5,24,19,55.8,54.8,89.3,Nashville Predators,Nashville Predators,Washington Capitals,0,3
10,2022-11-01,@,Edmonton Oilers,4,7,L,,,37,9,2,6,0,37,52,41.6,27,34,44.3,27,24,52.9,30.0,90.3,Nashville Predators,Edmonton Oilers,Nashville Predators,7,4
11,2022-11-03,@,Calgary Flames,4,1,W,,,30,8,0,3,0,48,54,47.1,37,33,52.9,34,22,60.7,36.4,108.0,Nashville Predators,Calgary Flames,Nashville Predators,1,4
12,2022-11-05,@,Vancouver Canucks,4,3,W,SO,,45,30,1,4,0,50,50,50.0,39,39,50.0,27,24,52.9,58.0,102.1,Nashville Predators,Vancouver Canucks,Nashville Predators,3,4
13,2022-11-08,@,Seattle Kraken,1,5,L,,,20,4,0,1,0,60,40,60.0,39,26,60.0,22,18,55.0,,76.8,Nashville Predators,Seattle Kraken,Nashville Predators,5,1
14,2022-11-10,@,Colorado Avalanche,3,5,L,,,35,4,2,3,0,59,49,54.6,39,38,50.6,31,26,54.4,64.9,93.8,Nashville Predators,Colorado Avalanche,Nashville Predators,5,3
15,2022-11-12,,New York Rangers,2,1,W,,,35,20,0,5,0,31,50,38.3,21,35,37.5,19,18,51.4,33.6,111.5,Nashville Predators,Nashville Predators,New York Rangers,2,1
16,2022-11-15,,Minnesota Wild,2,1,W,,,33,22,0,5,0,30,53,36.1,23,40,36.5,22,14,61.1,42.7,102.3,Nashville Predators,Nashville Predators,Minnesota Wild,2,1
17,2022-11-17,,New York Islanders,5,4,W,,,33,8,1,3,0,48,58,45.3,40,42,48.8,23,23,50.0,40.5,103.3,Nashville Predators,Nashville Predators,New York Islanders,5,4
18,2022-11-19,,Tampa Bay Lightning,2,3,L,OT,,39,12,2,5,0,37,58,38.9,30,39,43.5,21,15,58.3,39.1,100.8,Nashville Predators,Nashville Predators,Tampa Bay Lightning,2,3
19,2022-11-21,,Arizona Coyotes,4,3,W,SO,,27,21,0,2,1,53,41,56.4,44,33,57.1,25,22,53.2,40.3,95.2,Nashville Predators,Nashville Predators,Arizona Coyotes,4,3
20,2022-11-23,@,Detroit Red Wings,0,3,L,,,29,6,1,2,0,55,35,61.1,33,28,54.1,14,22,38.9,87.0,90.5,Nashville Predators,Detroit Red Wings,Nashville Predators,3,0
21,2022-11-29,,Anaheim Ducks,2,1,W,OT,,35,4,0,0,0,69,56,55.2,52,39,57.1,31,21,59.6,52.0,102.1,Nashville Predators,Nashville Predators,Anaheim Ducks,2,1
22,2022-12-01,@,New Jersey Devils,4,3,W,OT,,28,2,2,5,0,50,42,54.3,33,32,50.8,24,25,49.0,70.3,113.0,Nashville Predators,New Jersey Devils,Nashville Predators,3,4
23,2022-12-02,@,New York Islanders,4,1,W,,,49,11,1,4,0,35,65,35.0,27,50,35.1,27,18,60.0,36.5,111.8,Nashville Predators,New York Islanders,Nashville Predators,1,4
24,2022-12-08,@,Tampa Bay Lightning,2,5,L,,,33,9,1,2,1,56,50,52.8,40,34,54.1,34,27,55.7,58.5,92.1,Nashville Predators,Tampa Bay Lightning,Nashville Predators,5,2
