GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
1,2022-10-13,,Florida Panthers,1,3,L,,,29,8,0,5,0,53,43,55.2,40,27,59.7,30,19,61.2,62.9,85.0,New York Islanders,New York Islanders,Florida Panthers,1,3
2,2022-10-15,,Anaheim Ducks,7,1,W,,,23,10,0,4,0,52,50,51.0,43,33,56.6,30,20,60.0,45.4,118.6,New York Islanders,New York Islanders,Anaheim Ducks,7,1
3,2022-10-18,,San Jose Sharks,5,2,W,,,28,6,0,3,0,66,44,60.0,48,32,60.0,26,30,46.4,71.3,104.2,New York Islanders,New York Islanders,San Jose Sharks,5,2
4,2022-10-20,,New Jersey Devils,1,4,L,,,43,6,0,3,0,42,64,39.6,22,49,31.0,18,22,45.0,54.2,95.7,New York Islanders,New York Islanders,New Jersey Devils,1,4
5,2022-10-22,@,Tampa Bay Lightning,3,5,L,,,26,6,0,3,0,60,34,63.8,46,26,63.9,20,21,48.8,70.8,78.8,New York Islanders,Tampa Bay Lightning,New York Islanders,5,3
6,2022-10-23,@,Florida Panthers,2,3,L,,,32,12,0,4,0,27,46,37.0,19,30,38.8,16,18,47.1,50.0,87.5,New York Islanders,Florida Panthers,New York Islanders,3,2
7,2022-10-26,,New York Rangers,3,0,W,,,41,6,0,3,0,44,56,44.0,32,45,41.6,17,18,48.6,48.0,113.0,New York Islanders,New York Islanders,New York Rangers,3,0
8,2022-10-28,@,Carolina Hurricanes,6,2,W,,,35,2,0,3,0,45,73,38.1,36,49,42.4,25,32,43.9,29.4,109.0,New York Islanders,Carolina Hurricanes,New York Islanders,2,6
9,2022-10-29,,Colorado Avalanche,5,4,W,,,37,6,1,2,0,61,54,53.0,51,40,56.0,22,27,44.9,50.0,102.8,New York Islanders,New York Islanders,Colorado Avalanche,5,4
10,2022-11-01,@,Chicago Blackhawks,3,1,W,,,22,8,1,4,0,39,35,52.7,27,25,51.9,16,18,47.1,45.5,108.0,New York Islanders,Chicago Blackhawks,New York Islanders,1,3
11,2022-11-03,@,St. Louis Blues,5,2,W,,,34,9,1,3,0,44,55,44.4,36,50,41.9,15,28,34.9,33.3,113.0,New York Islanders,St. Louis Blues,New York Islanders,2,5
12,2022-11-05,@,Detroit Red Wings,0,3,L,,,26,6,1,5,1,54,35,60.7,32,27,54.2,22,15,59.5,53.6,94.7,New York Islanders,Detroit Red Wings,New York Islanders,3,0
13,2022-11-07,,Calgary Flames,4,3,W,OT,,46,4,0,0,0,56,73,43.4,37,55,40.2,29,27,51.8,37.5,104.2,New York Islanders,New York Islanders,Calgary Flames,4,3
14,2022-11-08,@,New York Rangers,4,3,W,,,40,6,2,4,0,40,51,44.0,25,38,39.7,17,24,41.5,34.6,107.2,New York Islanders,New York Rangers,New York Islanders,3,4
15,2022-11-10,,Arizona Coyotes,0,2,L,,,28,11,1,3,0,49,48,50.5,37,32,53.6,32,16,66.7,55.3,96.0,New York Islanders,New York Islanders,Arizona Coyotes,0,2
16,2022-11-12,,Columbus Blue Jackets,4,3,W,OT,,29,4,1,2,0,62,51,54.9,46,38,54.8,28,25,52.8,52.9,103.7,New York Islanders,New York Islanders,Columbus Blue Jackets,4,3
17,2022-11-14,@,Ottawa Senators,4,2,W,,,38,11,1,6,0,39,62,38.6,34,45,43.0,21,20,51.2,38.5,103.1,New York Islanders,Ottawa Senators,New York Islanders,2,4
18,2022-11-17,@,Nashville Predators,4,5,L,,,31,8,1,3,0,58,48,54.7,42,40,51.2,23,23,50.0,59.5,96.7,New York Islanders,Nashville Predators,New York Islanders,5,4
19,2022-11-19,@,Dallas Stars,2,5,L,,,35,10,0,2,0,42,47,47.2,30,36,45.5,14,29,32.6,54.2,85.5,New York Islanders,Dallas Stars,New York Islanders,5,2
20,2022-11-21,@,Toronto Maple Leafs,3,2,W,OT,,32,11,1,2,0,45,57,44.1,37,45,45.1,26,27,49.1,45.7,109.6,New York Islanders,Toronto Maple Leafs,New York Islanders,2,3
