GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
1,2022-10-11,,Tampa Bay Lightning,3,1,W,,,26,8,1,6,0,43,33,56.6,27,25,51.9,21,8,72.4,33.3,104.8,New York Rangers,New York Rangers,Tampa Bay Lightning,3,1
2,2022-10-13,@,Minnesota Wild,7,3,W,,,36,19,1,4,0,38,38,50.0,28,28,50.0,22,20,52.4,61.0,114.5,New York Rangers,Minnesota Wild,New York Rangers,3,7
3,2022-10-14,@,Winnipeg Jets,1,4,L,,,34,4,1,3,0,59,59,50.0,47,42,52.8,28,23,54.9,39.3,93.0,New York Rangers,Winnipeg Jets,New York Rangers,4,1
4,2022-10-17,,Anaheim Ducks,6,4,W,,,22,8,0,1,0,57,34,62.6,46,22,67.6,26,22,54.2,60.0,88.0,New York Rangers,New York Rangers,Anaheim Ducks,6,4
5,2022-10-20,,San Jose Sharks,2,3,L,OT,,27,10,1,3,0,42,50,45.7,34,34,50.0,17,28,37.8,60.6,101.7,New York Rangers,New York Rangers,San Jose Sharks,2,3
6,2022-10-23,,Columbus Blue Jackets,1,5,L,,,21,6,0,1,0,56,38,59.6,37,27,57.8,28,16,63.6,56.7,75.0,New York Rangers,New York Rangers,Columbus Blue Jackets,1,5
7,2022-10-25,,Colorado Avalanche,2,3,L,SO,,44,8,1,3,1,56,54,50.9,46,40,53.5,24,22,52.2,59.6,105.9,New York Rangers,New York Rangers,Colorado Avalanche,2,3
8,2022-10-26,@,New York Islanders,0,3,L,,,29,6,0,3,0,56,44,56.0,45,32,58.4,18,17,51.4,52.0,87.0,New York Rangers,New York Islanders,New York Rangers,3,0
9,2022-10-29,@,Dallas Stars,6,3,W,,,33,14,0,4,0,51,46,52.6,38,35,52.1,19,23,45.2,67.9,106.7,New York Rangers,Dallas Stars,New York Rangers,3,6
10,2022-10-30,@,Arizona Coyotes,3,2,W,,,20,6,1,1,0,46,41,52.9,41,30,57.7,31,21,59.6,58.8,101.0,New York Rangers,Arizona Coyotes,New York Rangers,2,3
11,2022-11-01,,Philadelphia Flyers,1,0,W,OT,,19,10,0,3,0,58,35,62.4,47,23,67.1,19,23,45.2,67.1,103.6,New York Rangers,New York Rangers,Philadelphia Flyers,1,0
12,2022-11-03,,Boston Bruins,2,5,L,,,37,24,0,3,0,39,54,41.9,29,39,42.6,15,17,46.9,53.3,93.3,New York Rangers,New York Rangers,Boston Bruins,2,5
13,2022-11-06,,Detroit Red Wings,2,3,L,OT,,36,4,1,4,0,57,43,57.0,37,31,54.4,22,28,44.0,60.5,96.0,New York Rangers,New York Rangers,Detroit Red Wings,2,3
14,2022-11-08,,New York Islanders,3,4,L,,,26,8,2,3,0,51,40,56.0,38,25,60.3,24,17,58.5,65.4,92.8,New York Rangers,New York Rangers,New York Islanders,3,4
15,2022-11-10,@,Detroit Red Wings,8,2,W,,,20,6,0,2,0,47,34,58.0,35,25,58.3,19,17,52.8,33.3,113.1,New York Rangers,Detroit Red Wings,New York Rangers,2,8
16,2022-11-12,@,Nashville Predators,1,2,L,,,18,22,0,4,0,50,31,61.7,35,21,62.5,18,19,48.6,66.4,88.5,New York Rangers,Nashville Predators,New York Rangers,2,1
17,2022-11-13,,Arizona Coyotes,4,1,W,,,32,10,1,6,0,30,42,41.7,18,29,38.3,12,25,32.4,44.6,117.6,New York Rangers,New York Rangers,Arizona Coyotes,4,1
18,2022-11-17,@,Seattle Kraken,2,3,L,OT,,32,8,0,4,0,44,55,44.4,33,46,41.8,17,16,51.5,43.8,89.7,New York Rangers,Seattle Kraken,New York Rangers,3,2
19,2022-11-19,@,San Jose Sharks,2,1,W,,,23,6,0,1,0,61,40,60.4,47,32,59.5,21,30,41.2,58.3,100.0,New York Rangers,San Jose Sharks,New York Rangers,1,2
20,2022-11-22,@,Los Angeles Kings,5,3,W,,,38,2,1,1,0,51,56,47.7,32,42,43.2,28,30,48.3,49.7,114.6,New York Rangers,Los Angeles Kings,New York Rangers,3,5
21,2022-11-23,@,Anaheim Ducks,2,3,L,,,22,8,0,3,0,67,39,63.2,51,31,62.2,18,20,47.4,42.6,90.3,New York Rangers,Anaheim Ducks,New York Rangers,3,2
22,2022-11-26,,Edmonton Oilers,3,4,L,,,32,6,1,3,0,31,59,34.4,22,48,31.4,21,23,47.7,49.7,104.7,New York Rangers,New York Rangers,Edmonton Oilers,3,4
23,2022-11-28,,New Jersey Devils,3,5,L,,,38,10,0,3,0,48,49,49.5,37,41,47.4,15,21,41.7,62.8,89.7,New York Rangers,New York Rangers,New Jersey Devils,3,5
24,2022-11-30,@,Ottawa Senators,3,1,W,,,35,6,0,3,0,56,55,50.5,42,41,50.6,13,33,28.3,45.9,106.7,New York Rangers,Ottawa Senators,New York Rangers,1,3
25,2022-12-02,,Ottawa Senators,2,3,L,OT,,37,14,1,4,0,52,45,53.6,34,37,47.9,32,31,50.8,42.5,101.9,New York Rangers,New York Rangers,Ottawa Senators,2,3
26,2022-12-03,,Chicago Blackhawks,2,5,L,,,21,35,3,4,0,59,34,63.4,43,19,69.4,22,20,52.4,60.7,91.0,New York Rangers,New York Rangers,Chicago Blackhawks,2,5
27,2022-12-05,,St. Louis Blues,6,4,W,,,29,4,1,4,0,34,45,43.0,23,34,40.4,27,27,50.0,48.4,109.3,New York Rangers,New York Rangers,St. Louis Blues,6,4
28,2022-12-07,@,Vegas Golden Knights,5,1,W,,,26,27,1,3,0,38,46,45.2,30,22,57.7,23,23,50.0,46.3,112.0,New York Rangers,Vegas Golden Knights,New York Rangers,1,5
29,2022-12-09,@,Colorado Avalanche,2,1,W,SO,,42,2,0,1,0,49,64,43.4,37,49,43.0,23,23,50.0,43.1,100.9,New York Rangers,Colorado Avalanche,New York Rangers,1,2
30,2022-12-12,,New Jersey Devils,4,3,W,OT,,29,6,0,2,0,34,53,39.1,25,42,37.3,21,25,45.7,54.2,106.9,New York Rangers,New York Rangers,New Jersey Devils,4,3
31,2022-12-15,,Toronto Maple Leafs,3,1,W,,,23,2,0,3,0,31,49,38.8,21,35,37.5,20,21,48.8,34.5,109.0,New York Rangers,New York Rangers,Toronto Maple Leafs,3,1
32,2022-12-17,@,Philadelphia Flyers,6,3,W,,,32,2,0,4,1,55,50,52.4,44,34,56.4,22,22,50.0,55.2,107.3,New York Rangers,Philadelphia Flyers,New York Rangers,3,6
33,2022-12-18,@,Chicago Blackhawks,7,1,W,,,30,2,0,1,0,44,55,44.4,37,40,48.1,17,26,39.5,54.2,120.4,New York Rangers,Chicago Blackhawks,New York Rangers,1,7
34,2022-12-20,@,Pittsburgh Penguins,2,3,L,,,24,6,2,3,0,53,38,58.2,34,27,55.7,21,29,42.0,56.2,103.9,New York Rangers,Pittsburgh Penguins,New York Rangers,3,2
35,2022-12-22,,New York Islanders,5,3,W,,,18,12,0,2,0,44,34,56.4,33,24,57.9,20,18,52.6,52.4,101.1,New York Rangers,New York Rangers,New York Islanders,5,3
36,2022-12-27,,Washington Capitals,0,4,L,,,30,10,1,3,1,43,33,56.6,32,29,52.5,14,24,36.8,60.7,91.7,New York Rangers,New York Rangers,Washington Capitals,0,4
37,2022-12-29,@,Tampa Bay Lightning,1,2,L,SO,,40,6,0,1,0,62,74,45.6,52,54,49.1,20,27,42.6,47.4,99.9,New York Rangers,Tampa Bay Lightning,New York Rangers,2,1
38,2023-01-01,@,Florida Panthers,5,3,W,,,35,8,1,4,0,36,49,42.4,25,39,39.1,20,23,46.5,27.5,109.3,New York Rangers,Florida Panthers,New York Rangers,3,5
39,2023-01-03,,Carolina Hurricanes,5,3,W,,,23,12,0,3,0,37,34,52.1,29,23,55.8,22,16,57.9,71.3,90.3,New York Rangers,New York Rangers,Carolina Hurricanes,5,3
40,2023-01-05,@,Montreal Canadiens,4,1,W,,,18,6,0,2,0,53,43,55.2,36,27,57.1,19,23,45.2,43.4,100.9,New York Rangers,Montreal Canadiens,New York Rangers,1,4
41,2023-01-07,@,New Jersey Devils,3,4,L,OT,,43,4,1,4,0,52,66,44.1,41,41,50.0,30,26,53.6,49.6,101.6,New York Rangers,New Jersey Devils,New York Rangers,4,3
42,2023-01-10,,Minnesota Wild,4,3,W,SO,,32,8,0,1,0,74,45,62.2,48,41,53.9,35,28,55.6,60.0,98.7,New York Rangers,New York Rangers,Minnesota Wild,4,3
43,2023-01-12,,Dallas Stars,2,1,W,OT,,25,8,1,1,0,52,44,54.2,33,27,55.0,23,16,59.0,65.4,108.3,New York Rangers,New York Rangers,Dallas Stars,2,1
44,2023-01-15,,Montreal Canadiens,1,2,L,,,31,4,1,2,0,73,46,61.3,50,40,55.6,18,18,50.0,56.0,99.5,New York Rangers,New York Rangers,Montreal Canadiens,1,2
45,2023-01-16,@,Columbus Blue Jackets,3,1,W,,,25,10,0,4,0,54,36,60.0,38,25,60.3,22,16,57.9,42.2,102.4,New York Rangers,Columbus Blue Jackets,New York Rangers,1,3
46,2023-01-19,,Boston Bruins,1,3,L,,,27,6,0,4,0,62,41,60.2,41,34,54.7,18,23,43.9,67.6,91.1,New York Rangers,New York Rangers,Boston Bruins,1,3
47,2023-01-23,,Florida Panthers,6,2,W,,,35,2,1,2,0,45,59,43.3,32,39,45.1,32,29,52.5,41.0,118.4,New York Rangers,New York Rangers,Florida Panthers,6,2
48,2023-01-25,@,Toronto Maple Leafs,2,3,L,OT,,35,4,0,3,0,42,55,43.3,33,41,44.6,20,22,47.6,57.1,98.0,New York Rangers,Toronto Maple Leafs,New York Rangers,3,2
49,2023-01-27,,Vegas Golden Knights,4,1,W,,,34,9,0,2,0,54,44,55.1,48,35,57.8,22,24,47.8,66.7,107.9,New York Rangers,New York Rangers,Vegas Golden Knights,4,1
50,2023-02-06,,Calgary Flames,5,4,W,OT,,32,41,1,3,0,50,50,50.0,37,35,51.4,18,28,39.1,55.4,103.5,New York Rangers,New York Rangers,Calgary Flames,5,4
51,2023-02-08,,Vancouver Canucks,4,3,W,,,25,6,0,1,0,39,41,48.8,29,31,48.3,20,25,44.4,51.7,110.2,New York Rangers,New York Rangers,Vancouver Canucks,4,3
52,2023-02-10,,Seattle Kraken,6,3,W,,,29,6,1,5,0,36,57,38.7,26,40,39.4,23,19,54.8,39.8,109.0,New York Rangers,New York Rangers,Seattle Kraken,6,3
53,2023-02-11,@,Carolina Hurricanes,6,2,W,,,29,2,0,2,0,37,59,38.5,29,45,39.2,25,31,44.6,32.4,121.4,New York Rangers,Carolina Hurricanes,New York Rangers,2,6
54,2023-02-15,@,Vancouver Canucks,6,4,W,,,29,2,1,2,0,41,48,46.1,32,33,49.2,18,34,34.6,52.9,110.7,New York Rangers,Vancouver Canucks,New York Rangers,4,6
55,2023-02-17,@,Edmonton Oilers,5,4,W,SO,,29,8,2,4,0,48,46,51.1,39,31,55.7,23,25,47.9,69.7,93.8,New York Rangers,Edmonton Oilers,New York Rangers,4,5
56,2023-02-18,@,Calgary Flames,2,3,L,OT,,32,14,1,3,0,34,55,38.2,23,43,34.8,17,19,47.2,42.1,98.5,New York Rangers,Calgary Flames,New York Rangers,3,2
57,2023-02-20,,Winnipeg Jets,1,4,L,,,21,13,1,1,0,56,34,62.2,49,25,66.2,25,22,53.2,65.6,86.6,New York Rangers,New York Rangers,Winnipeg Jets,1,4
