GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
1,2022-10-13,@,Buffalo Sabres,1,4,L,,,36,8,0,4,0,43,42,50.6,34,35,49.3,20,16,55.6,44.0,88.9,Ottawa Senators,Buffalo Sabres,Ottawa Senators,4,1
2,2022-10-15,@,Toronto Maple Leafs,2,3,L,,,32,4,1,2,0,44,61,41.9,33,44,42.9,26,27,49.1,39.5,97.1,Ottawa Senators,Toronto Maple Leafs,Ottawa Senators,3,2
3,2022-10-18,,Boston Bruins,7,5,W,,,34,13,1,3,0,54,47,53.5,43,37,53.8,33,25,56.9,47.4,105.9,Ottawa Senators,Ottawa Senators,Boston Bruins,7,5
4,2022-10-20,,Washington Capitals,5,2,W,,,24,15,2,4,0,60,39,60.6,44,31,58.7,25,15,62.5,46.2,108.1,Ottawa Senators,Ottawa Senators,Washington Capitals,5,2
5,2022-10-22,,Arizona Coyotes,6,2,W,,,22,17,1,5,0,46,28,62.2,32,20,61.5,27,18,60.0,50.9,110.6,Ottawa Senators,Ottawa Senators,Arizona Coyotes,6,2
6,2022-10-24,,Dallas Stars,4,2,W,,,31,8,0,3,0,52,49,51.5,35,37,48.6,25,21,54.3,41.9,106.1,Ottawa Senators,Ottawa Senators,Dallas Stars,4,2
7,2022-10-27,,Minnesota Wild,2,4,L,,,40,22,1,4,1,50,48,51.0,32,41,43.8,21,24,46.7,44.2,98.3,Ottawa Senators,Ottawa Senators,Minnesota Wild,2,4
8,2022-10-29,@,Florida Panthers,3,5,L,,,58,12,1,4,0,35,72,32.7,24,58,29.3,22,29,43.1,46.1,102.2,Ottawa Senators,Florida Panthers,Ottawa Senators,5,3
9,2022-11-01,@,Tampa Bay Lightning,3,4,L,,,34,13,1,8,0,39,36,52.0,21,22,48.8,20,15,57.1,37.6,104.2,Ottawa Senators,Tampa Bay Lightning,Ottawa Senators,4,3
10,2022-11-03,,Vegas Golden Knights,4,5,L,,,32,6,1,4,1,69,38,64.5,53,33,61.6,26,22,54.2,65.7,98.0,Ottawa Senators,Ottawa Senators,Vegas Golden Knights,4,5
11,2022-11-05,,Philadelphia Flyers,1,2,L,,,28,10,1,3,0,66,50,56.9,42,31,57.5,29,17,63.0,68.4,99.0,Ottawa Senators,Ottawa Senators,Philadelphia Flyers,1,2
12,2022-11-08,,Vancouver Canucks,4,6,L,,,28,17,0,3,0,60,35,63.2,49,28,63.6,21,13,61.8,70.6,80.0,Ottawa Senators,Ottawa Senators,Vancouver Canucks,4,6
