GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
1,2022-10-13,,New Jersey Devils,5,2,W,,,37,8,1,3,0,31,70,30.7,24,47,33.8,25,35,41.7,39.0,119.1,Philadelphia Flyers,Philadelphia Flyers,New Jersey Devils,5,2
2,2022-10-15,,Vancouver Canucks,3,2,W,,,30,17,0,5,0,35,43,44.9,29,32,47.5,15,17,46.9,42.7,96.5,Philadelphia Flyers,Philadelphia Flyers,Vancouver Canucks,3,2
3,2022-10-18,@,Tampa Bay Lightning,3,2,W,,,38,14,2,3,0,42,63,40.0,28,49,36.4,17,28,37.8,33.3,109.5,Philadelphia Flyers,Tampa Bay Lightning,Philadelphia Flyers,2,3
4,2022-10-19,@,Florida Panthers,3,4,L,,,36,12,0,3,0,27,45,37.5,24,36,40.0,19,29,39.6,55.3,94.3,Philadelphia Flyers,Florida Panthers,Philadelphia Flyers,4,3
5,2022-10-22,@,Nashville Predators,3,1,W,,,32,14,1,3,0,42,63,40.0,31,45,40.8,15,35,30.0,46.4,112.5,Philadelphia Flyers,Nashville Predators,Philadelphia Flyers,1,3
6,2022-10-23,,San Jose Sharks,0,3,L,,,25,4,0,1,0,51,50,50.5,36,34,51.4,33,25,56.9,62.2,86.4,Philadelphia Flyers,Philadelphia Flyers,San Jose Sharks,0,3
7,2022-10-27,,Florida Panthers,4,3,W,,,51,8,1,4,0,33,88,27.3,28,62,31.1,29,30,49.2,39.6,110.1,Philadelphia Flyers,Philadelphia Flyers,Florida Panthers,4,3
8,2022-10-29,,Carolina Hurricanes,3,4,L,OT,,38,14,0,4,0,28,52,35.0,22,40,35.5,24,20,54.5,41.8,96.2,Philadelphia Flyers,Philadelphia Flyers,Carolina Hurricanes,3,4
9,2022-11-01,@,New York Rangers,0,1,L,OT,,36,10,0,3,0,35,58,37.6,23,47,32.9,23,19,54.8,32.9,96.4,Philadelphia Flyers,New York Rangers,Philadelphia Flyers,1,0
10,2022-11-02,@,Toronto Maple Leafs,2,5,L,,,44,31,2,5,0,29,63,31.5,24,45,34.8,23,18,56.1,46.2,96.2,Philadelphia Flyers,Toronto Maple Leafs,Philadelphia Flyers,5,2
11,2022-11-05,@,Ottawa Senators,2,1,W,,,34,6,0,5,0,50,66,43.1,31,42,42.5,17,29,37.0,31.6,101.0,Philadelphia Flyers,Ottawa Senators,Philadelphia Flyers,1,2
12,2022-11-08,,St. Louis Blues,5,1,W,,,28,12,0,2,0,56,54,50.9,47,37,56.0,22,32,40.7,50.0,110.2,Philadelphia Flyers,Philadelphia Flyers,St. Louis Blues,5,1
13,2022-11-10,@,Columbus Blue Jackets,2,5,L,,,29,7,0,2,0,64,43,59.8,46,34,57.5,28,30,48.3,64.7,86.1,Philadelphia Flyers,Columbus Blue Jackets,Philadelphia Flyers,5,2
14,2022-11-12,,Ottawa Senators,1,4,L,,,27,16,2,3,0,49,39,55.7,39,26,60.0,26,20,56.5,60.0,92.6,Philadelphia Flyers,Philadelphia Flyers,Ottawa Senators,1,4
15,2022-11-13,,Dallas Stars,1,5,L,,,31,12,2,3,1,50,42,54.3,36,33,52.2,11,33,25.0,42.9,94.5,Philadelphia Flyers,Philadelphia Flyers,Dallas Stars,1,5
16,2022-11-15,@,Columbus Blue Jackets,4,5,L,OT,,33,6,1,1,0,69,55,55.6,47,38,55.3,27,32,45.8,47.7,96.9,Philadelphia Flyers,Columbus Blue Jackets,Philadelphia Flyers,5,4
17,2022-11-17,@,Boston Bruins,1,4,L,,,32,8,2,4,0,40,48,45.5,32,33,49.2,25,20,55.6,45.4,90.9,Philadelphia Flyers,Boston Bruins,Philadelphia Flyers,4,1
18,2022-11-19,@,Montreal Canadiens,4,5,L,SO,,32,13,1,3,0,54,57,48.6,39,40,49.4,11,28,28.2,50.3,104.5,Philadelphia Flyers,Montreal Canadiens,Philadelphia Flyers,5,4
19,2022-11-21,,Calgary Flames,2,5,L,,,30,13,0,2,0,38,49,43.7,23,36,39.0,20,17,54.1,57.1,90.8,Philadelphia Flyers,Philadelphia Flyers,Calgary Flames,2,5
20,2022-11-23,@,Washington Capitals,2,3,L,OT,,32,8,1,3,0,42,52,44.7,29,35,45.3,15,25,37.5,24.1,101.0,Philadelphia Flyers,Washington Capitals,Philadelphia Flyers,3,2
21,2022-11-25,,Pittsburgh Penguins,1,4,L,,,29,11,0,3,0,45,50,47.4,37,31,54.4,16,27,37.2,61.0,87.3,Philadelphia Flyers,Philadelphia Flyers,Pittsburgh Penguins,1,4
22,2022-11-26,@,New York Islanders,2,5,L,,,23,23,2,3,0,47,34,58.0,39,25,60.9,16,16,50.0,62.5,89.3,Philadelphia Flyers,New York Islanders,Philadelphia Flyers,5,2
23,2022-11-29,,New York Islanders,3,1,W,,,24,16,1,4,0,47,38,55.3,34,23,59.6,21,20,51.2,62.2,107.1,Philadelphia Flyers,Philadelphia Flyers,New York Islanders,3,1
24,2022-12-01,,Tampa Bay Lightning,1,4,L,,,27,6,1,3,0,35,51,40.7,26,37,41.3,14,20,41.2,32.9,92.5,Philadelphia Flyers,Philadelphia Flyers,Tampa Bay Lightning,1,4
25,2022-12-03,,New Jersey Devils,2,3,L,,,18,6,0,3,0,51,35,59.3,37,26,58.7,20,26,43.5,60.0,85.0,Philadelphia Flyers,Philadelphia Flyers,New Jersey Devils,2,3
26,2022-12-05,,Colorado Avalanche,5,3,W,,,32,6,1,5,0,39,59,39.8,31,39,44.3,16,17,48.5,42.1,104.4,Philadelphia Flyers,Philadelphia Flyers,Colorado Avalanche,5,3
27,2022-12-07,,Washington Capitals,1,4,L,,,27,6,1,4,0,46,42,52.3,39,28,58.2,17,24,41.5,50.0,85.7,Philadelphia Flyers,Philadelphia Flyers,Washington Capitals,1,4
28,2022-12-09,@,Vegas Golden Knights,1,2,L,OT,,34,0,0,2,0,57,60,48.7,43,39,52.4,26,38,40.6,46.7,97.3,Philadelphia Flyers,Vegas Golden Knights,Philadelphia Flyers,2,1
29,2022-12-11,@,Arizona Coyotes,4,5,L,OT,,29,11,1,1,0,76,46,62.3,60,33,64.5,33,37,47.1,59.9,94.6,Philadelphia Flyers,Arizona Coyotes,Philadelphia Flyers,5,4
30,2022-12-13,@,Colorado Avalanche,2,3,L,,,25,4,0,3,1,42,45,48.3,32,27,54.2,25,24,51.0,52.7,98.6,Philadelphia Flyers,Colorado Avalanche,Philadelphia Flyers,3,2
31,2022-12-15,@,New Jersey Devils,2,1,W,,,49,20,1,3,0,41,66,38.3,28,46,37.8,25,20,55.6,31.6,105.3,Philadelphia Flyers,New Jersey Devils,Philadelphia Flyers,1,2
32,2022-12-17,,New York Rangers,3,6,L,,,34,8,0,1,1,50,55,47.6,34,44,43.6,22,22,50.0,44.8,92.7,Philadelphia Flyers,Philadelphia Flyers,New York Rangers,3,6
33,2022-12-20,,Columbus Blue Jackets,5,3,W,,,33,2,0,1,0,63,54,53.8,49,43,53.3,26,22,54.2,56.7,101.2,Philadelphia Flyers,Philadelphia Flyers,Columbus Blue Jackets,5,3
34,2022-12-22,@,Toronto Maple Leafs,3,4,L,,,34,12,1,4,0,35,45,43.8,21,35,37.5,16,20,44.4,52.0,102.3,Philadelphia Flyers,Toronto Maple Leafs,Philadelphia Flyers,4,3
35,2022-12-23,@,Carolina Hurricanes,5,6,L,,,37,4,2,4,0,40,58,40.8,34,43,44.2,25,29,46.3,57.6,100.0,Philadelphia Flyers,Carolina Hurricanes,Philadelphia Flyers,6,5
36,2022-12-29,@,San Jose Sharks,4,3,W,OT,,28,2,1,3,0,45,37,54.9,30,31,49.2,21,19,52.5,69.6,108.2,Philadelphia Flyers,San Jose Sharks,Philadelphia Flyers,3,4
37,2022-12-31,@,Los Angeles Kings,4,2,W,,,29,6,1,5,0,30,51,37.0,22,36,37.9,14,23,37.8,44.5,108.5,Philadelphia Flyers,Los Angeles Kings,Philadelphia Flyers,2,4
38,2023-01-02,@,Anaheim Ducks,4,1,W,,,29,4,0,5,0,42,33,56.0,33,25,56.9,17,13,56.7,73.7,110.1,Philadelphia Flyers,Anaheim Ducks,Philadelphia Flyers,1,4
39,2023-01-05,,Arizona Coyotes,6,2,W,,,23,6,0,1,0,59,42,58.4,44,28,61.1,22,19,53.7,62.5,104.2,Philadelphia Flyers,Philadelphia Flyers,Arizona Coyotes,6,2
40,2023-01-08,,Toronto Maple Leafs,2,6,L,,,35,10,1,2,1,63,46,57.8,49,34,59.0,18,22,45.0,51.2,90.5,Philadelphia Flyers,Philadelphia Flyers,Toronto Maple Leafs,2,6
41,2023-01-09,@,Buffalo Sabres,4,0,W,,,28,8,0,1,0,51,45,53.1,39,38,50.6,24,21,53.3,44.8,112.9,Philadelphia Flyers,Buffalo Sabres,Philadelphia Flyers,0,4
42,2023-01-11,,Washington Capitals,5,3,W,,,29,12,0,1,0,49,49,50.0,43,34,55.8,27,23,54.0,60.6,94.9,Philadelphia Flyers,Philadelphia Flyers,Washington Capitals,5,3
43,2023-01-14,@,Washington Capitals,3,1,W,,,40,10,0,3,0,38,75,33.6,25,51,32.9,17,25,40.5,35.3,106.1,Philadelphia Flyers,Washington Capitals,Philadelphia Flyers,1,3
44,2023-01-16,@,Boston Bruins,0,6,L,,,29,28,1,2,0,44,45,49.4,33,32,50.8,18,29,38.3,53.3,79.2,Philadelphia Flyers,Boston Bruins,Philadelphia Flyers,6,0
45,2023-01-17,,Anaheim Ducks,5,2,W,,,27,15,1,3,0,49,39,55.7,38,31,55.1,18,21,46.2,69.2,107.0,Philadelphia Flyers,Philadelphia Flyers,Anaheim Ducks,5,2
46,2023-01-19,,Chicago Blackhawks,1,4,L,,,29,4,0,0,0,71,55,56.3,51,39,56.7,25,26,49.0,44.7,89.1,Philadelphia Flyers,Philadelphia Flyers,Chicago Blackhawks,1,4
47,2023-01-21,@,Detroit Red Wings,2,1,W,,,31,6,0,2,0,43,66,39.4,32,39,45.1,22,29,43.1,34.5,106.1,Philadelphia Flyers,Detroit Red Wings,Philadelphia Flyers,1,2
48,2023-01-22,,Winnipeg Jets,3,5,L,,,30,8,0,5,0,43,46,48.3,32,35,47.8,18,21,46.2,48.2,83.8,Philadelphia Flyers,Philadelphia Flyers,Winnipeg Jets,3,5
49,2023-01-24,,Los Angeles Kings,3,4,L,OT,,38,8,1,5,0,37,54,40.7,30,43,41.1,17,31,35.4,39.8,102.6,Philadelphia Flyers,Philadelphia Flyers,Los Angeles Kings,3,4
