GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
1,2022-10-13,,Arizona Coyotes,6,2,W,,,28,14,2,5,0,53,37,58.9,46,23,66.7,25,21,54.3,71.3,110.8,Pittsburgh Penguins,Pittsburgh Penguins,Arizona Coyotes,6,2
2,2022-10-15,,Tampa Bay Lightning,6,2,W,,,36,8,1,4,0,56,45,55.4,47,33,58.8,30,16,65.2,46.4,107.6,Pittsburgh Penguins,Pittsburgh Penguins,Tampa Bay Lightning,6,2
3,2022-10-17,@,Montreal Canadiens,2,3,L,OT,,39,6,1,3,0,45,58,43.7,33,42,44.0,21,23,47.7,29.8,102.1,Pittsburgh Penguins,Montreal Canadiens,Pittsburgh Penguins,3,2
4,2022-10-20,,Los Angeles Kings,6,1,W,,,40,8,1,6,0,46,55,45.5,33,39,45.8,18,16,52.9,59.7,114.3,Pittsburgh Penguins,Pittsburgh Penguins,Los Angeles Kings,6,1
5,2022-10-22,@,Columbus Blue Jackets,6,3,W,,,32,6,0,1,1,55,48,53.4,44,31,58.7,31,31,50.0,53.5,109.5,Pittsburgh Penguins,Columbus Blue Jackets,Pittsburgh Penguins,3,6
6,2022-10-24,@,Edmonton Oilers,3,6,L,,,47,10,1,3,0,44,67,39.6,35,59,37.2,24,31,43.6,45.0,95.5,Pittsburgh Penguins,Edmonton Oilers,Pittsburgh Penguins,6,3
7,2022-10-25,@,Calgary Flames,1,4,L,,,36,10,1,3,0,52,53,49.5,39,35,52.7,19,31,38.0,34.3,87.5,Pittsburgh Penguins,Calgary Flames,Pittsburgh Penguins,4,1
8,2022-10-28,@,Vancouver Canucks,1,5,L,,,29,10,2,4,0,50,33,60.2,34,29,54.0,24,19,55.8,60.3,87.0,Pittsburgh Penguins,Vancouver Canucks,Pittsburgh Penguins,5,1
9,2022-10-29,@,Seattle Kraken,1,3,L,,,30,4,0,2,0,56,54,50.9,44,40,52.4,25,30,45.5,61.5,91.2,Pittsburgh Penguins,Seattle Kraken,Pittsburgh Penguins,3,1
10,2022-11-01,,Boston Bruins,5,6,L,OT,,40,8,1,3,0,64,52,55.2,46,41,52.9,25,33,43.1,48.5,100.0,Pittsburgh Penguins,Pittsburgh Penguins,Boston Bruins,5,6
11,2022-11-02,@,Buffalo Sabres,3,6,L,,,33,8,1,4,0,37,44,45.7,26,35,42.6,29,21,58.0,49.7,92.7,Pittsburgh Penguins,Buffalo Sabres,Pittsburgh Penguins,6,3
12,2022-11-05,,Seattle Kraken,2,3,L,,,28,6,0,3,0,68,40,63.0,51,33,60.7,21,13,61.8,45.0,94.0,Pittsburgh Penguins,Pittsburgh Penguins,Seattle Kraken,2,3
