GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
1,2022-10-07,@,Nashville Predators,1,4,L,,,32,13,0,4,0,44,50,46.8,34,31,52.3,28,24,53.8,51.6,87.0,San Jose Sharks,Nashville Predators,San Jose Sharks,4,1
2,2022-10-08,,Nashville Predators,2,3,L,,,18,8,0,3,0,45,39,53.6,30,25,54.5,24,32,42.9,60.0,83.1,San Jose Sharks,San Jose Sharks,Nashville Predators,2,3
3,2022-10-14,,Carolina Hurricanes,1,2,L,,,35,15,0,3,0,23,55,29.5,16,35,31.4,21,28,42.9,34.2,101.2,San Jose Sharks,San Jose Sharks,Carolina Hurricanes,1,2
4,2022-10-15,,Chicago Blackhawks,2,5,L,,,25,18,0,2,2,43,31,58.1,29,28,50.9,21,20,51.2,48.4,95.7,San Jose Sharks,San Jose Sharks,Chicago Blackhawks,2,5
5,2022-10-18,@,New York Islanders,2,5,L,,,46,6,0,3,0,44,66,40.0,32,48,40.0,30,26,53.6,28.7,95.8,San Jose Sharks,New York Islanders,San Jose Sharks,5,2
6,2022-10-20,@,New York Rangers,3,2,W,OT,,23,6,0,5,0,50,42,54.3,34,34,50.0,28,17,62.2,39.4,98.3,San Jose Sharks,New York Rangers,San Jose Sharks,2,3
7,2022-10-22,@,New Jersey Devils,1,2,L,,,36,4,1,3,0,51,47,52.0,36,36,50.0,27,23,54.0,44.7,101.6,San Jose Sharks,New Jersey Devils,San Jose Sharks,2,1
8,2022-10-23,@,Philadelphia Flyers,3,0,W,,,30,2,0,2,0,50,51,49.5,34,36,48.6,25,33,43.1,37.8,113.6,San Jose Sharks,Philadelphia Flyers,San Jose Sharks,0,3
9,2022-10-25,,Vegas Golden Knights,2,4,L,,,31,4,0,1,0,67,58,53.6,42,40,51.2,29,26,52.7,59.5,93.1,San Jose Sharks,San Jose Sharks,Vegas Golden Knights,2,4
10,2022-10-27,,Toronto Maple Leafs,4,3,W,OT,,25,8,1,4,0,43,42,50.6,34,33,50.7,24,19,55.8,55.0,98.1,San Jose Sharks,San Jose Sharks,Toronto Maple Leafs,4,3
11,2022-10-29,,Tampa Bay Lightning,3,4,L,,,26,6,0,2,0,45,48,48.4,34,40,45.9,17,22,43.6,44.0,90.6,San Jose Sharks,San Jose Sharks,Tampa Bay Lightning,3,4
12,2022-11-01,,Anaheim Ducks,5,6,L,SO,,44,23,0,4,0,51,54,48.6,44,42,51.2,24,30,44.4,61.8,96.7,San Jose Sharks,San Jose Sharks,Anaheim Ducks,5,6
13,2022-11-03,,Florida Panthers,3,4,L,SO,,44,6,1,3,0,61,69,46.9,45,51,46.9,26,30,46.4,48.6,100.2,San Jose Sharks,San Jose Sharks,Florida Panthers,3,4
14,2022-11-05,,Anaheim Ducks,4,5,L,SO,,25,19,0,0,0,71,46,60.7,52,37,58.4,30,24,55.6,58.6,90.3,San Jose Sharks,San Jose Sharks,Anaheim Ducks,4,5
15,2022-11-10,@,St. Louis Blues,3,5,L,,,33,0,1,2,0,58,52,52.7,45,43,51.1,33,30,52.4,43.9,96.2,San Jose Sharks,St. Louis Blues,San Jose Sharks,5,3
16,2022-11-11,@,Dallas Stars,5,4,W,,,29,11,0,1,0,25,70,26.3,19,46,29.2,26,30,46.4,26.8,116.5,San Jose Sharks,Dallas Stars,San Jose Sharks,4,5
17,2022-11-13,@,Minnesota Wild,3,2,W,SO,,30,6,0,2,1,58,57,50.4,47,45,51.1,22,24,47.8,59.4,102.4,San Jose Sharks,Minnesota Wild,San Jose Sharks,2,3
18,2022-11-15,@,Vegas Golden Knights,5,2,W,,,26,4,0,3,0,52,45,53.6,32,32,50.0,22,29,43.1,39.4,107.1,San Jose Sharks,Vegas Golden Knights,San Jose Sharks,2,5
19,2022-11-17,,Detroit Red Wings,4,7,L,,,21,2,0,3,0,57,39,59.4,38,28,57.6,25,22,53.2,68.0,76.2,San Jose Sharks,San Jose Sharks,Detroit Red Wings,4,7
20,2022-11-19,,New York Rangers,1,2,L,,,43,2,0,3,0,40,61,39.6,32,47,40.5,30,21,58.8,41.7,100.0,San Jose Sharks,San Jose Sharks,New York Rangers,1,2
21,2022-11-21,,Ottawa Senators,5,1,W,,,38,11,0,2,0,45,55,45.0,32,41,43.8,24,28,46.2,48.3,115.2,San Jose Sharks,San Jose Sharks,Ottawa Senators,5,1
22,2022-11-23,@,Seattle Kraken,5,8,L,,,27,6,1,3,0,45,47,48.9,31,32,49.2,27,23,54.0,54.5,89.9,San Jose Sharks,Seattle Kraken,San Jose Sharks,8,5
23,2022-11-25,,Los Angeles Kings,2,5,L,,,29,6,1,2,0,59,48,55.1,40,35,53.3,25,29,46.3,51.6,91.4,San Jose Sharks,San Jose Sharks,Los Angeles Kings,2,5
24,2022-11-27,,Vancouver Canucks,3,4,L,OT,,20,2,0,2,0,60,55,52.2,45,31,59.2,28,23,54.9,60.0,85.0,San Jose Sharks,San Jose Sharks,Vancouver Canucks,3,4
25,2022-11-29,@,Montreal Canadiens,4,0,W,,,28,10,0,6,0,20,53,27.4,16,34,32.0,14,16,46.7,35.3,140.0,San Jose Sharks,Montreal Canadiens,San Jose Sharks,0,4
26,2022-11-30,@,Toronto Maple Leafs,1,3,L,,,32,0,0,3,0,51,50,50.5,34,31,52.3,20,25,44.4,56.3,93.0,San Jose Sharks,Toronto Maple Leafs,San Jose Sharks,3,1
27,2022-12-03,@,Ottawa Senators,2,5,L,,,39,15,3,5,0,36,53,40.4,30,38,44.1,18,25,41.9,61.9,97.2,San Jose Sharks,Ottawa Senators,San Jose Sharks,5,2
28,2022-12-04,@,Buffalo Sabres,3,6,L,,,38,4,2,4,0,41,49,45.6,31,39,44.3,27,21,56.3,50.0,95.2,San Jose Sharks,Buffalo Sabres,San Jose Sharks,6,3
29,2022-12-07,,Vancouver Canucks,5,6,L,OT,,27,11,2,3,0,63,44,58.9,44,32,57.9,27,18,60.0,66.2,90.4,San Jose Sharks,San Jose Sharks,Vancouver Canucks,5,6
30,2022-12-09,@,Anaheim Ducks,6,1,W,,,24,15,0,3,0,45,37,54.9,37,26,58.7,27,23,54.0,42.2,118.8,San Jose Sharks,Anaheim Ducks,San Jose Sharks,1,6
31,2022-12-13,,Arizona Coyotes,3,2,W,,,22,4,1,5,0,53,37,58.9,45,27,62.5,28,19,59.6,40.7,104.4,San Jose Sharks,San Jose Sharks,Arizona Coyotes,3,2
32,2022-12-17,@,Los Angeles Kings,2,3,L,SO,,41,6,1,4,0,45,54,45.5,28,37,43.1,23,23,50.0,53.4,102.0,San Jose Sharks,Los Angeles Kings,San Jose Sharks,3,2
33,2022-12-18,,Calgary Flames,2,5,L,,,25,21,1,4,0,28,44,38.9,24,33,42.1,31,26,54.4,38.8,81.8,San Jose Sharks,San Jose Sharks,Calgary Flames,2,5
34,2022-12-20,,Calgary Flames,3,7,L,,,39,11,0,2,0,41,65,38.7,27,50,35.1,27,29,48.2,31.4,94.8,San Jose Sharks,San Jose Sharks,Calgary Flames,3,7
35,2022-12-22,,Minnesota Wild,5,2,W,,,26,28,0,4,0,38,39,49.4,25,29,46.3,20,19,51.3,41.3,105.1,San Jose Sharks,San Jose Sharks,Minnesota Wild,5,2
36,2022-12-27,@,Vancouver Canucks,2,6,L,,,25,4,0,1,0,56,46,54.9,37,33,52.9,25,24,51.0,70.8,78.1,San Jose Sharks,Vancouver Canucks,San Jose Sharks,6,2
37,2022-12-29,,Philadelphia Flyers,3,4,L,OT,,26,6,0,1,0,37,45,45.1,31,30,50.8,19,21,47.5,30.7,91.8,San Jose Sharks,San Jose Sharks,Philadelphia Flyers,3,4
38,2022-12-31,@,Dallas Stars,2,5,L,,,31,8,2,3,1,55,41,57.3,40,29,58.0,18,22,45.0,55.6,98.0,San Jose Sharks,Dallas Stars,San Jose Sharks,5,2
39,2023-01-01,@,Chicago Blackhawks,5,2,W,,,22,6,0,3,0,45,41,52.3,35,29,54.7,18,22,45.0,38.5,108.1,San Jose Sharks,Chicago Blackhawks,San Jose Sharks,2,5
40,2023-01-06,@,Anaheim Ducks,4,5,L,OT,,29,9,0,4,0,62,55,53.0,53,42,55.8,21,36,36.8,38.8,91.0,San Jose Sharks,Anaheim Ducks,San Jose Sharks,5,4
41,2023-01-07,,Boston Bruins,2,4,L,,,29,10,1,2,0,55,49,52.9,37,37,50.0,21,23,47.7,45.2,97.6,San Jose Sharks,San Jose Sharks,Boston Bruins,2,4
42,2023-01-10,@,Arizona Coyotes,4,2,W,,,29,9,0,4,0,49,48,50.5,34,34,50.0,21,24,46.7,53.3,104.6,San Jose Sharks,Arizona Coyotes,San Jose Sharks,2,4
43,2023-01-11,@,Los Angeles Kings,3,4,L,,,37,4,0,2,0,68,55,55.3,44,47,48.4,27,24,52.9,39.7,95.7,San Jose Sharks,Los Angeles Kings,San Jose Sharks,4,3
44,2023-01-13,,Edmonton Oilers,1,7,L,,,41,8,2,4,1,38,42,47.5,27,33,45.0,28,18,60.9,61.1,91.0,San Jose Sharks,San Jose Sharks,Edmonton Oilers,1,7
45,2023-01-16,,New Jersey Devils,3,4,L,SO,,41,10,0,1,0,49,63,43.8,37,41,47.4,24,23,51.1,53.5,98.8,San Jose Sharks,San Jose Sharks,New Jersey Devils,3,4
46,2023-01-18,,Dallas Stars,5,3,W,,,36,6,0,3,0,47,48,49.5,38,40,48.7,23,24,48.9,44.1,107.6,San Jose Sharks,San Jose Sharks,Dallas Stars,5,3
47,2023-01-21,@,Columbus Blue Jackets,3,5,L,,,29,7,1,2,0,33,52,38.8,30,39,43.5,25,27,48.1,41.4,97.0,San Jose Sharks,Columbus Blue Jackets,San Jose Sharks,5,3
48,2023-01-22,@,Boston Bruins,0,4,L,,,22,11,1,4,0,36,37,49.3,28,27,50.9,26,23,53.1,59.4,82.4,San Jose Sharks,Boston Bruins,San Jose Sharks,4,0
49,2023-01-24,@,Detroit Red Wings,2,3,L,OT,,35,4,0,2,0,60,50,54.5,38,42,47.5,25,28,47.2,37.2,97.5,San Jose Sharks,Detroit Red Wings,San Jose Sharks,3,2
50,2023-01-27,@,Carolina Hurricanes,4,5,L,OT,,36,4,1,2,0,46,60,43.4,34,45,43.0,28,29,49.1,43.9,101.6,San Jose Sharks,Carolina Hurricanes,San Jose Sharks,5,4
51,2023-01-28,@,Pittsburgh Penguins,6,4,W,,,41,9,2,4,1,58,68,46.0,41,47,46.6,25,26,49.0,21.7,117.1,San Jose Sharks,Pittsburgh Penguins,San Jose Sharks,4,6
52,2023-02-07,@,Tampa Bay Lightning,4,3,W,OT,,37,11,1,6,0,34,64,34.7,29,45,39.2,23,29,44.2,38.2,105.1,San Jose Sharks,Tampa Bay Lightning,San Jose Sharks,3,4
