GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
1,2022-10-15,,Columbus Blue Jackets,5,2,W,,,25,6,0,2,0,44,42,51.2,31,30,50.8,21,26,44.7,50.0,110.7,St. Louis Blues,St. Louis Blues,Columbus Blue Jackets,5,2
2,2022-10-19,@,Seattle Kraken,4,3,W,OT,,35,10,0,1,0,32,67,32.3,28,53,34.6,25,21,54.3,35.9,108.1,St. Louis Blues,Seattle Kraken,St. Louis Blues,3,4
3,2022-10-22,@,Edmonton Oilers,2,0,W,,,23,2,0,1,0,38,57,40.0,30,33,47.6,22,18,55.0,58.6,105.3,St. Louis Blues,Edmonton Oilers,St. Louis Blues,0,2
4,2022-10-24,@,Winnipeg Jets,0,4,L,,,43,6,0,5,0,49,56,46.7,36,44,45.0,21,13,61.8,33.3,88.9,St. Louis Blues,Winnipeg Jets,St. Louis Blues,4,0
5,2022-10-26,,Edmonton Oilers,1,3,L,,,28,6,0,2,0,46,51,47.4,40,33,54.8,22,31,41.5,52.8,87.0,St. Louis Blues,St. Louis Blues,Edmonton Oilers,1,3
6,2022-10-27,@,Nashville Predators,2,6,L,,,42,6,1,2,0,44,62,41.5,37,44,45.7,21,21,50.0,37.9,88.9,St. Louis Blues,Nashville Predators,St. Louis Blues,6,2
7,2022-10-29,,Montreal Canadiens,4,7,L,,,25,6,2,3,0,50,36,58.1,40,31,56.3,23,25,47.9,64.1,84.8,St. Louis Blues,St. Louis Blues,Montreal Canadiens,4,7
8,2022-10-31,,Los Angeles Kings,1,5,L,,,30,8,1,3,0,36,48,42.9,27,41,39.7,18,23,43.9,41.4,89.6,St. Louis Blues,St. Louis Blues,Los Angeles Kings,1,5
9,2022-11-03,,New York Islanders,2,5,L,,,30,11,1,2,0,55,44,55.6,50,36,58.1,28,15,65.1,66.7,87.0,St. Louis Blues,St. Louis Blues,New York Islanders,2,5
10,2022-11-07,@,Boston Bruins,1,3,L,,,37,8,2,2,0,43,54,44.3,32,37,46.4,20,24,45.5,40.8,100.6,St. Louis Blues,Boston Bruins,St. Louis Blues,3,1
11,2022-11-08,@,Philadelphia Flyers,1,5,L,,,35,14,0,1,0,54,56,49.1,37,47,44.0,32,22,59.3,50.0,89.8,St. Louis Blues,Philadelphia Flyers,St. Louis Blues,5,1
12,2022-11-10,,San Jose Sharks,5,3,W,,,30,4,0,0,0,52,58,47.3,43,45,48.9,30,33,47.6,56.1,103.8,St. Louis Blues,St. Louis Blues,San Jose Sharks,5,3
13,2022-11-12,@,Vegas Golden Knights,3,2,W,,,36,8,0,0,1,41,66,38.3,24,43,35.8,24,30,44.4,34.1,112.9,St. Louis Blues,Vegas Golden Knights,St. Louis Blues,2,3
14,2022-11-14,@,Colorado Avalanche,3,2,W,,,47,4,1,5,0,52,68,43.3,45,53,45.9,23,27,46.0,53.8,103.2,St. Louis Blues,Colorado Avalanche,St. Louis Blues,2,3
15,2022-11-16,@,Chicago Blackhawks,5,2,W,,,27,4,1,3,0,45,40,52.9,38,28,57.6,19,21,47.5,42.3,107.6,St. Louis Blues,Chicago Blackhawks,St. Louis Blues,2,5
