GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
1,2022-10-11,@,New York Rangers,1,3,L,,,39,12,1,4,1,33,43,43.4,25,27,48.1,8,21,27.6,66.7,95.2,Tampa Bay Lightning,New York Rangers,Tampa Bay Lightning,3,1
2,2022-10-14,@,Columbus Blue Jackets,5,2,W,,,28,4,0,4,0,64,26,71.1,51,23,68.9,14,28,33.3,78.6,98.3,Tampa Bay Lightning,Columbus Blue Jackets,Tampa Bay Lightning,2,5
3,2022-10-15,@,Pittsburgh Penguins,2,6,L,,,45,8,2,4,0,45,56,44.6,33,47,41.3,16,30,34.8,53.6,92.4,Tampa Bay Lightning,Pittsburgh Penguins,Tampa Bay Lightning,6,2
4,2022-10-18,,Philadelphia Flyers,2,3,L,,,24,16,1,2,0,63,42,60.0,49,28,63.6,28,17,62.2,66.7,90.5,Tampa Bay Lightning,Tampa Bay Lightning,Philadelphia Flyers,2,3
5,2022-10-21,@,Florida Panthers,3,2,W,OT,,38,18,0,5,0,34,44,43.6,29,32,47.5,29,21,58.0,59.2,97.4,Tampa Bay Lightning,Florida Panthers,Tampa Bay Lightning,2,3
6,2022-10-22,,New York Islanders,5,3,W,,,35,6,0,3,0,34,60,36.2,26,46,36.1,21,20,51.2,29.2,121.3,Tampa Bay Lightning,Tampa Bay Lightning,New York Islanders,5,3
7,2022-10-25,@,Los Angeles Kings,2,4,L,,,33,10,1,4,0,42,54,43.8,25,38,39.7,19,17,52.8,47.7,100.8,Tampa Bay Lightning,Los Angeles Kings,Tampa Bay Lightning,4,2
8,2022-10-26,@,Anaheim Ducks,4,2,W,,,21,6,0,2,0,54,38,58.7,36,23,61.0,25,29,46.3,60.3,100.4,Tampa Bay Lightning,Anaheim Ducks,Tampa Bay Lightning,2,4
9,2022-10-29,@,San Jose Sharks,4,3,W,,,27,4,1,3,0,48,45,51.6,40,34,54.1,22,17,56.4,56.0,109.4,Tampa Bay Lightning,San Jose Sharks,Tampa Bay Lightning,3,4
10,2022-11-01,,Ottawa Senators,4,3,W,,,15,26,0,3,1,36,39,48.0,22,21,51.2,15,20,42.9,62.4,95.8,Tampa Bay Lightning,Tampa Bay Lightning,Ottawa Senators,4,3
