GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
1,2022-10-12,@,Montreal Canadiens,3,4,L,,,23,8,0,4,0,50,41,54.9,31,28,52.5,20,19,51.3,59.0,88.9,Toronto Maple Leafs,Montreal Canadiens,Toronto Maple Leafs,4,3
2,2022-10-13,,Washington Capitals,3,2,W,,,26,6,0,5,0,42,44,48.8,35,32,52.2,23,21,52.3,57.6,96.4,Toronto Maple Leafs,Toronto Maple Leafs,Washington Capitals,3,2
3,2022-10-15,,Ottawa Senators,3,2,W,,,28,4,1,2,0,61,44,58.1,44,33,57.1,27,26,50.9,60.5,102.9,Toronto Maple Leafs,Toronto Maple Leafs,Ottawa Senators,3,2
4,2022-10-17,,Arizona Coyotes,2,4,L,,,19,12,2,5,0,45,23,66.2,33,18,64.7,22,14,61.1,70.6,91.8,Toronto Maple Leafs,Toronto Maple Leafs,Arizona Coyotes,2,4
5,2022-10-20,,Dallas Stars,3,2,W,OT,,28,16,1,4,0,40,53,43.0,28,35,44.4,26,23,53.1,54.1,104.2,Toronto Maple Leafs,Toronto Maple Leafs,Dallas Stars,3,2
6,2022-10-22,@,Winnipeg Jets,4,1,W,,,31,15,0,3,0,56,44,56.0,40,34,54.1,22,17,56.4,49.7,104.3,Toronto Maple Leafs,Winnipeg Jets,Toronto Maple Leafs,1,4
7,2022-10-24,@,Vegas Golden Knights,1,3,L,,,33,4,1,3,0,52,53,49.5,26,37,41.3,26,21,55.3,47.1,97.9,Toronto Maple Leafs,Vegas Golden Knights,Toronto Maple Leafs,3,1
8,2022-10-27,@,San Jose Sharks,3,4,L,OT,,31,10,2,3,0,42,43,49.4,33,34,49.3,19,24,44.2,45.0,101.9,Toronto Maple Leafs,San Jose Sharks,Toronto Maple Leafs,4,3
9,2022-10-29,@,Los Angeles Kings,2,4,L,,,29,8,2,6,0,39,40,49.4,33,29,53.2,18,22,45.0,57.8,94.5,Toronto Maple Leafs,Los Angeles Kings,Toronto Maple Leafs,4,2
10,2022-10-30,@,Anaheim Ducks,3,4,L,OT,,39,6,0,2,0,51,58,46.8,42,48,46.7,23,26,46.9,50.7,92.1,Toronto Maple Leafs,Anaheim Ducks,Toronto Maple Leafs,4,3
11,2022-11-02,,Philadelphia Flyers,5,2,W,,,25,39,1,6,0,63,29,68.5,45,24,65.2,18,23,43.9,53.8,103.8,Toronto Maple Leafs,Toronto Maple Leafs,Philadelphia Flyers,5,2
12,2022-11-05,,Boston Bruins,2,1,W,,,21,6,1,3,0,41,42,49.4,32,29,52.5,17,17,50.0,53.6,104.2,Toronto Maple Leafs,Toronto Maple Leafs,Boston Bruins,2,1
13,2022-11-06,@,Carolina Hurricanes,3,1,W,,,30,2,1,2,0,42,62,40.4,33,49,40.2,30,30,50.0,41.8,115.0,Toronto Maple Leafs,Carolina Hurricanes,Toronto Maple Leafs,1,3
14,2022-11-08,,Vegas Golden Knights,3,4,L,OT,,20,4,0,2,1,46,37,55.4,35,28,55.6,23,15,60.5,54.5,94.4,Toronto Maple Leafs,Toronto Maple Leafs,Vegas Golden Knights,3,4
15,2022-11-11,,Pittsburgh Penguins,2,4,L,,,23,6,0,1,0,48,45,51.6,33,33,50.0,20,23,46.5,38.5,85.0,Toronto Maple Leafs,Toronto Maple Leafs,Pittsburgh Penguins,2,4
16,2022-11-12,,Vancouver Canucks,3,2,W,,,29,4,1,4,0,57,42,57.6,46,31,59.7,25,13,65.8,48.0,102.1,Toronto Maple Leafs,Toronto Maple Leafs,Vancouver Canucks,3,2
17,2022-11-15,@,Pittsburgh Penguins,5,2,W,,,37,4,0,3,0,55,63,46.6,40,41,49.4,20,25,44.4,50.0,110.3,Toronto Maple Leafs,Pittsburgh Penguins,Toronto Maple Leafs,2,5
18,2022-11-17,,New Jersey Devils,2,3,L,OT,,33,10,0,2,0,45,50,47.4,31,41,43.1,25,15,62.5,34.0,94.7,Toronto Maple Leafs,Toronto Maple Leafs,New Jersey Devils,2,3
19,2022-11-19,,Buffalo Sabres,5,2,W,,,34,6,2,6,0,34,41,45.3,24,25,49.0,23,12,65.7,41.2,110.5,Toronto Maple Leafs,Toronto Maple Leafs,Buffalo Sabres,5,2
20,2022-11-21,,New York Islanders,2,3,L,OT,,24,13,0,1,0,57,45,55.9,45,37,54.9,27,26,50.9,54.3,90.4,Toronto Maple Leafs,Toronto Maple Leafs,New York Islanders,2,3
21,2022-11-23,@,New Jersey Devils,2,1,W,,,35,8,0,3,0,31,54,36.5,23,36,39.0,16,26,38.1,21.4,110.1,Toronto Maple Leafs,New Jersey Devils,Toronto Maple Leafs,1,2
22,2022-11-25,@,Minnesota Wild,4,3,W,,,28,6,1,2,0,43,56,43.4,33,34,49.3,25,18,58.1,41.4,107.9,Toronto Maple Leafs,Minnesota Wild,Toronto Maple Leafs,3,4
23,2022-11-26,@,Pittsburgh Penguins,4,1,W,,,26,6,0,2,0,47,44,51.6,37,34,52.1,24,23,51.1,40.6,108.2,Toronto Maple Leafs,Pittsburgh Penguins,Toronto Maple Leafs,1,4
24,2022-11-28,@,Detroit Red Wings,4,2,W,,,44,4,0,3,0,29,69,29.6,24,47,33.8,26,17,60.5,36.6,109.4,Toronto Maple Leafs,Detroit Red Wings,Toronto Maple Leafs,2,4
25,2022-11-30,,San Jose Sharks,3,1,W,,,24,6,0,0,0,50,51,49.5,31,34,47.7,25,20,55.6,43.8,107.0,Toronto Maple Leafs,Toronto Maple Leafs,San Jose Sharks,3,1
26,2022-12-03,@,Tampa Bay Lightning,3,4,L,OT,,33,14,2,6,0,37,45,45.1,30,35,46.2,27,14,65.9,48.1,95.7,Toronto Maple Leafs,Tampa Bay Lightning,Toronto Maple Leafs,4,3
27,2022-12-06,@,Dallas Stars,4,0,W,,,44,4,0,7,0,39,58,40.2,30,40,42.9,21,14,60.0,30.0,120.0,Toronto Maple Leafs,Dallas Stars,Toronto Maple Leafs,0,4
