GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
1,2022-10-12,@,Edmonton Oilers,3,5,L,,,25,16,3,4,1,44,41,51.8,34,25,57.6,26,22,54.2,59.8,102.7,Vancouver Canucks,Edmonton Oilers,Vancouver Canucks,5,3
2,2022-10-15,@,Philadelphia Flyers,2,3,L,,,31,17,1,5,1,43,35,55.1,32,29,52.5,17,15,53.1,57.3,103.5,Vancouver Canucks,Philadelphia Flyers,Vancouver Canucks,3,2
3,2022-10-17,@,Washington Capitals,4,6,L,,,30,4,2,3,0,55,50,52.4,42,35,54.5,26,27,49.1,58.9,95.9,Vancouver Canucks,Washington Capitals,Vancouver Canucks,6,4
4,2022-10-18,@,Columbus Blue Jackets,3,4,L,OT,,33,11,0,2,0,45,56,44.6,30,43,41.1,20,33,37.7,59.0,94.9,Vancouver Canucks,Columbus Blue Jackets,Vancouver Canucks,4,3
5,2022-10-20,@,Minnesota Wild,3,4,L,OT,,37,11,1,3,0,46,50,47.9,32,39,45.1,20,22,47.6,35.1,105.3,Vancouver Canucks,Minnesota Wild,Vancouver Canucks,4,3
6,2022-10-22,,Buffalo Sabres,1,5,L,,,27,8,1,1,0,49,51,49.0,35,38,47.9,25,23,52.1,71.0,83.3,Vancouver Canucks,Vancouver Canucks,Buffalo Sabres,1,5
7,2022-10-24,,Carolina Hurricanes,2,3,L,,,39,4,1,3,0,34,62,35.4,20,50,28.6,22,38,36.7,43.6,102.6,Vancouver Canucks,Vancouver Canucks,Carolina Hurricanes,2,3
8,2022-10-27,@,Seattle Kraken,5,4,W,,,36,19,1,4,0,29,58,33.3,21,43,32.8,26,20,56.5,21.4,107.6,Vancouver Canucks,Seattle Kraken,Vancouver Canucks,4,5
9,2022-10-28,,Pittsburgh Penguins,5,1,W,,,35,10,1,4,0,33,50,39.8,29,34,46.0,19,24,44.2,39.7,113.0,Vancouver Canucks,Vancouver Canucks,Pittsburgh Penguins,5,1
10,2022-11-01,,New Jersey Devils,2,5,L,,,37,25,1,1,1,46,55,45.5,32,44,42.1,18,26,40.9,51.6,90.9,Vancouver Canucks,Vancouver Canucks,New Jersey Devils,2,5
