GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
1,2022-10-11,@,Los Angeles Kings,4,3,W,,,30,10,0,3,0,72,50,59.0,52,41,55.9,24,24,50.0,50.0,96.1,Vegas Golden Knights,Los Angeles Kings,Vegas Golden Knights,3,4
2,2022-10-13,,Chicago Blackhawks,1,0,W,,,27,6,0,2,0,60,46,56.6,42,28,60.0,22,23,48.9,60.0,103.4,Vegas Golden Knights,Vegas Golden Knights,Chicago Blackhawks,1,0
3,2022-10-15,@,Seattle Kraken,5,2,W,,,33,8,1,2,0,46,57,44.7,38,40,48.7,37,20,64.9,45.9,107.8,Vegas Golden Knights,Seattle Kraken,Vegas Golden Knights,2,5
4,2022-10-18,@,Calgary Flames,2,3,L,,,40,8,2,6,0,27,51,34.6,21,37,36.2,23,21,52.3,37.9,110.3,Vegas Golden Knights,Calgary Flames,Vegas Golden Knights,3,2
5,2022-10-20,,Winnipeg Jets,5,2,W,,,28,6,0,1,0,48,48,50.0,39,38,50.6,20,22,47.6,48.0,110.4,Vegas Golden Knights,Vegas Golden Knights,Winnipeg Jets,5,2
6,2022-10-22,,Colorado Avalanche,2,3,L,,,25,8,2,2,0,50,59,45.9,39,35,52.7,27,16,62.8,52.0,98.7,Vegas Golden Knights,Vegas Golden Knights,Colorado Avalanche,2,3
7,2022-10-24,,Toronto Maple Leafs,3,1,W,,,23,6,0,2,0,53,52,50.5,37,26,58.7,21,26,44.7,52.9,102.1,Vegas Golden Knights,Vegas Golden Knights,Toronto Maple Leafs,3,1
8,2022-10-25,@,San Jose Sharks,4,2,W,,,31,2,0,2,0,58,67,46.4,40,42,48.8,26,29,47.3,40.5,106.9,Vegas Golden Knights,San Jose Sharks,Vegas Golden Knights,2,4
9,2022-10-28,,Anaheim Ducks,4,0,W,,,29,9,0,2,0,44,46,48.9,34,31,52.3,29,23,55.8,46.7,110.0,Vegas Golden Knights,Vegas Golden Knights,Anaheim Ducks,4,0
10,2022-10-30,,Winnipeg Jets,2,1,W,OT,,24,6,0,1,0,67,53,55.8,54,33,62.1,28,21,57.1,50.8,99.9,Vegas Golden Knights,Vegas Golden Knights,Winnipeg Jets,2,1
11,2022-11-01,@,Washington Capitals,3,2,W,OT,,21,6,1,2,0,60,49,55.0,34,29,54.0,23,32,41.8,53.7,101.9,Vegas Golden Knights,Washington Capitals,Vegas Golden Knights,2,3
12,2022-11-03,@,Ottawa Senators,5,4,W,,,46,8,0,3,0,38,69,35.5,33,53,38.4,22,26,45.8,34.3,102.0,Vegas Golden Knights,Ottawa Senators,Vegas Golden Knights,4,5
13,2022-11-05,@,Montreal Canadiens,6,4,W,,,31,21,1,1,0,59,54,52.2,35,37,48.6,25,21,54.3,53.3,103.0,Vegas Golden Knights,Montreal Canadiens,Vegas Golden Knights,4,6
14,2022-11-08,@,Toronto Maple Leafs,4,3,W,OT,,31,4,0,2,0,37,46,44.6,28,35,44.4,15,23,39.5,45.5,105.6,Vegas Golden Knights,Toronto Maple Leafs,Vegas Golden Knights,3,4
15,2022-11-10,@,Buffalo Sabres,7,4,W,,,35,4,2,3,1,50,58,46.3,38,37,50.7,36,24,60.0,40.4,114.2,Vegas Golden Knights,Buffalo Sabres,Vegas Golden Knights,4,7
16,2022-11-12,,St. Louis Blues,2,3,L,,,28,0,0,4,0,66,41,61.7,43,24,64.2,30,24,55.6,65.9,87.1,Vegas Golden Knights,Vegas Golden Knights,St. Louis Blues,2,3
17,2022-11-15,,San Jose Sharks,2,5,L,,,29,6,1,2,0,45,52,46.4,32,32,50.0,29,22,56.9,60.6,92.9,Vegas Golden Knights,Vegas Golden Knights,San Jose Sharks,2,5
18,2022-11-17,,Arizona Coyotes,4,1,W,,,26,15,0,4,0,39,43,47.6,31,29,51.7,14,21,40.0,38.9,107.0,Vegas Golden Knights,Vegas Golden Knights,Arizona Coyotes,4,1
19,2022-11-19,@,Edmonton Oilers,3,4,L,OT,,23,6,1,3,0,47,40,54.0,32,30,51.6,15,15,50.0,64.7,95.3,Vegas Golden Knights,Edmonton Oilers,Vegas Golden Knights,4,3
20,2022-11-21,@,Vancouver Canucks,5,4,W,,,29,2,0,1,0,55,49,52.9,45,35,56.3,26,33,44.1,50.0,99.2,Vegas Golden Knights,Vancouver Canucks,Vegas Golden Knights,4,5
21,2022-11-23,,Ottawa Senators,4,1,W,,,40,8,1,2,0,42,76,35.6,31,52,37.3,27,25,51.9,38.4,112.5,Vegas Golden Knights,Vegas Golden Knights,Ottawa Senators,4,1
22,2022-11-25,,Seattle Kraken,2,4,L,,,28,2,0,2,0,42,53,44.2,28,34,45.2,27,21,56.3,41.2,89.6,Vegas Golden Knights,Vegas Golden Knights,Seattle Kraken,2,4
23,2022-11-26,,Vancouver Canucks,1,5,L,,,36,26,3,5,0,49,50,49.5,35,35,50.0,29,17,63.0,60.9,97.6,Vegas Golden Knights,Vegas Golden Knights,Vancouver Canucks,1,5
24,2022-11-28,@,Columbus Blue Jackets,3,2,W,SO,,28,8,0,2,0,55,53,50.9,43,39,52.4,29,23,55.8,51.4,99.5,Vegas Golden Knights,Columbus Blue Jackets,Vegas Golden Knights,2,3
25,2022-12-01,@,Pittsburgh Penguins,3,4,L,,,47,10,1,4,0,51,72,41.5,42,47,47.2,20,21,48.8,43.6,96.2,Vegas Golden Knights,Pittsburgh Penguins,Vegas Golden Knights,4,3
26,2022-12-03,@,Detroit Red Wings,4,1,W,,,25,2,1,3,0,46,53,46.5,31,31,50.0,23,24,48.9,35.5,113.6,Vegas Golden Knights,Detroit Red Wings,Vegas Golden Knights,1,4
27,2022-12-05,@,Boston Bruins,4,3,W,SO,,43,6,1,4,0,43,55,43.9,31,45,40.8,27,21,56.3,36.1,109.5,Vegas Golden Knights,Boston Bruins,Vegas Golden Knights,3,4
28,2022-12-07,,New York Rangers,1,5,L,,,37,13,2,5,0,46,38,54.8,22,30,42.3,23,23,50.0,53.7,88.0,Vegas Golden Knights,Vegas Golden Knights,New York Rangers,1,5
29,2022-12-09,,Philadelphia Flyers,2,1,W,OT,,28,4,0,0,0,60,57,51.3,39,43,47.6,38,26,59.4,53.3,102.7,Vegas Golden Knights,Vegas Golden Knights,Philadelphia Flyers,2,1
30,2022-12-11,,Boston Bruins,1,3,L,,,27,8,0,2,0,50,47,51.5,35,29,54.7,19,22,46.3,42.2,87.5,Vegas Golden Knights,Vegas Golden Knights,Boston Bruins,1,3
31,2022-12-13,@,Winnipeg Jets,6,5,W,,,34,6,1,2,0,50,55,47.6,38,44,46.3,27,28,49.1,37.5,100.5,Vegas Golden Knights,Winnipeg Jets,Vegas Golden Knights,5,6
32,2022-12-15,@,Chicago Blackhawks,4,1,W,,,25,2,0,2,0,42,41,50.6,32,27,54.2,20,21,48.8,45.5,104.7,Vegas Golden Knights,Chicago Blackhawks,Vegas Golden Knights,1,4
