GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
1,2022-10-12,,Boston Bruins,2,5,L,,,30,8,1,3,0,52,42,55.3,37,29,56.1,16,31,34.0,59.3,89.2,Washington Capitals,Washington Capitals,Boston Bruins,2,5
2,2022-10-13,@,Toronto Maple Leafs,2,3,L,,,39,10,1,3,0,44,42,51.2,32,35,47.8,21,23,47.7,42.4,103.6,Washington Capitals,Toronto Maple Leafs,Washington Capitals,3,2
3,2022-10-15,,Montreal Canadiens,3,1,W,,,22,13,0,3,0,50,43,53.8,31,32,49.2,20,28,41.7,50.0,104.6,Washington Capitals,Washington Capitals,Montreal Canadiens,3,1
4,2022-10-17,,Vancouver Canucks,6,4,W,,,30,8,1,1,0,50,55,47.6,35,42,45.5,27,26,50.9,41.1,104.1,Washington Capitals,Washington Capitals,Vancouver Canucks,6,4
5,2022-10-20,@,Ottawa Senators,2,5,L,,,44,15,2,4,0,39,60,39.4,31,44,41.3,15,25,37.5,53.8,91.9,Washington Capitals,Ottawa Senators,Washington Capitals,5,2
6,2022-10-22,,Los Angeles Kings,4,3,W,,,26,6,0,1,0,58,51,53.2,40,35,53.3,16,35,31.4,50.0,102.3,Washington Capitals,Washington Capitals,Los Angeles Kings,4,3
7,2022-10-24,@,New Jersey Devils,6,3,W,,,41,6,0,4,0,33,55,37.5,24,45,34.8,25,23,52.1,33.3,119.5,Washington Capitals,New Jersey Devils,Washington Capitals,3,6
8,2022-10-27,@,Dallas Stars,0,2,L,,,27,8,0,3,1,49,50,49.5,35,36,49.3,15,33,31.3,48.2,96.0,Washington Capitals,Dallas Stars,Washington Capitals,2,0
9,2022-10-29,@,Nashville Predators,3,0,W,,,34,6,0,5,0,55,43,56.1,42,35,54.5,19,24,44.2,45.2,110.7,Washington Capitals,Nashville Predators,Washington Capitals,0,3
10,2022-10-31,@,Carolina Hurricanes,2,3,L,SO,,35,12,1,6,0,27,43,38.6,22,30,42.3,20,21,48.8,34.8,101.3,Washington Capitals,Carolina Hurricanes,Washington Capitals,3,2
11,2022-11-01,,Vegas Golden Knights,2,3,L,OT,,31,6,1,2,0,49,60,45.0,29,34,46.0,32,23,58.2,46.3,98.1,Washington Capitals,Washington Capitals,Vegas Golden Knights,2,3
12,2022-11-03,@,Detroit Red Wings,1,3,L,,,26,10,1,3,0,46,35,56.8,34,29,54.0,25,15,62.5,63.0,94.4,Washington Capitals,Detroit Red Wings,Washington Capitals,3,1
13,2022-11-05,,Arizona Coyotes,2,3,L,,,26,6,0,3,0,58,35,62.4,43,30,58.9,29,16,64.4,78.6,88.9,Washington Capitals,Washington Capitals,Arizona Coyotes,2,3
14,2022-11-07,,Edmonton Oilers,5,4,W,,,29,12,0,1,0,55,53,50.9,39,41,48.8,30,28,51.7,65.0,89.7,Washington Capitals,Washington Capitals,Edmonton Oilers,5,4
15,2022-11-09,,Pittsburgh Penguins,1,4,L,,,28,13,0,3,1,50,45,52.6,33,32,50.8,20,21,48.8,29.2,91.1,Washington Capitals,Washington Capitals,Pittsburgh Penguins,1,4
16,2022-11-11,,Tampa Bay Lightning,5,1,W,,,29,41,0,3,0,44,41,51.8,32,27,54.2,12,22,35.3,31.0,119.7,Washington Capitals,Washington Capitals,Tampa Bay Lightning,5,1
17,2022-11-13,@,Tampa Bay Lightning,3,6,L,,,35,22,2,4,0,36,54,40.0,29,42,40.8,28,23,54.9,42.1,101.5,Washington Capitals,Tampa Bay Lightning,Washington Capitals,6,3
18,2022-11-15,@,Florida Panthers,2,5,L,,,43,12,1,1,0,61,55,52.6,44,39,53.0,26,18,59.1,77.3,95.1,Washington Capitals,Florida Panthers,Washington Capitals,5,2
19,2022-11-17,@,St. Louis Blues,4,5,L,SO,,24,8,1,4,0,71,37,65.7,56,29,65.9,17,39,30.4,64.6,91.1,Washington Capitals,St. Louis Blues,Washington Capitals,5,4
20,2022-11-19,,Colorado Avalanche,0,4,L,,,29,4,1,3,0,55,49,52.9,40,39,50.6,27,19,58.7,61.3,87.0,Washington Capitals,Washington Capitals,Colorado Avalanche,0,4
21,2022-11-23,,Philadelphia Flyers,3,2,W,OT,,23,6,0,4,0,52,42,55.3,35,29,54.7,25,15,62.5,75.9,99.0,Washington Capitals,Washington Capitals,Philadelphia Flyers,3,2
22,2022-11-25,,Calgary Flames,3,0,W,,,32,4,0,2,0,47,51,48.0,30,37,44.8,28,26,51.9,47.2,109.5,Washington Capitals,Washington Capitals,Calgary Flames,3,0
23,2022-11-26,@,New Jersey Devils,1,5,L,,,29,10,1,3,0,62,34,64.6,40,30,57.1,20,17,54.1,65.4,84.6,Washington Capitals,New Jersey Devils,Washington Capitals,5,1
24,2022-11-29,@,Vancouver Canucks,5,1,W,,,32,2,0,3,0,46,46,50.0,36,36,50.0,22,22,50.0,50.3,114.7,Washington Capitals,Vancouver Canucks,Washington Capitals,1,5
25,2022-12-01,@,Seattle Kraken,2,3,L,OT,,25,13,1,2,0,29,64,31.2,23,40,36.5,24,18,57.1,41.4,98.3,Washington Capitals,Seattle Kraken,Washington Capitals,3,2
26,2022-12-03,@,Calgary Flames,2,5,L,,,36,8,0,3,0,39,66,37.1,32,48,40.0,29,23,55.8,41.7,88.7,Washington Capitals,Calgary Flames,Washington Capitals,5,2
27,2022-12-05,@,Edmonton Oilers,3,2,W,,,30,6,0,1,1,54,50,51.9,40,37,51.9,24,22,52.2,40.5,102.5,Washington Capitals,Edmonton Oilers,Washington Capitals,2,3
28,2022-12-07,@,Philadelphia Flyers,4,1,W,,,30,18,1,3,0,42,46,47.7,28,39,41.8,24,17,58.5,50.0,114.3,Washington Capitals,Philadelphia Flyers,Washington Capitals,1,4
29,2022-12-09,,Seattle Kraken,4,1,W,,,26,9,0,2,0,52,44,54.2,43,25,63.2,21,13,61.8,43.5,103.8,Washington Capitals,Washington Capitals,Seattle Kraken,4,1
30,2022-12-11,@,Winnipeg Jets,5,2,W,,,31,14,0,3,0,46,49,48.4,35,31,53.0,21,24,46.7,40.6,103.1,Washington Capitals,Winnipeg Jets,Washington Capitals,2,5
31,2022-12-13,@,Chicago Blackhawks,7,3,W,,,29,2,1,3,0,61,37,62.2,41,25,62.1,15,17,46.9,75.0,110.3,Washington Capitals,Chicago Blackhawks,Washington Capitals,3,7
32,2022-12-15,,Dallas Stars,1,2,L,,,26,4,1,2,0,66,42,61.1,53,32,62.4,31,21,59.6,69.2,97.4,Washington Capitals,Washington Capitals,Dallas Stars,1,2
33,2022-12-17,,Toronto Maple Leafs,5,2,W,,,36,4,0,2,0,41,63,39.4,32,49,39.5,13,23,36.1,21.7,112.6,Washington Capitals,Washington Capitals,Toronto Maple Leafs,5,2
34,2022-12-19,,Detroit Red Wings,4,3,W,OT,,19,8,1,3,0,65,37,63.7,53,23,69.7,16,17,48.5,67.2,97.2,Washington Capitals,Washington Capitals,Detroit Red Wings,4,3
35,2022-12-22,@,Ottawa Senators,3,2,W,OT,,25,6,1,6,0,56,44,56.0,43,24,64.2,20,26,43.5,50.3,99.0,Washington Capitals,Ottawa Senators,Washington Capitals,2,3
36,2022-12-23,,Winnipeg Jets,4,1,W,,,26,8,0,2,0,47,43,52.2,33,29,53.2,28,18,60.9,37.9,112.1,Washington Capitals,Washington Capitals,Winnipeg Jets,4,1
37,2022-12-27,@,New York Rangers,4,0,W,,,32,6,0,5,0,33,43,43.4,29,32,47.5,24,14,63.2,39.3,108.3,Washington Capitals,New York Rangers,Washington Capitals,0,4
38,2022-12-29,,Ottawa Senators,3,4,L,OT,,45,4,0,1,0,44,67,39.6,30,56,34.9,23,27,46.0,53.6,105.8,Washington Capitals,Washington Capitals,Ottawa Senators,3,4
39,2022-12-31,,Montreal Canadiens,9,2,W,,,33,12,1,2,0,55,57,49.1,44,42,51.2,28,26,51.9,33.3,116.7,Washington Capitals,Washington Capitals,Montreal Canadiens,9,2
40,2023-01-03,,Buffalo Sabres,4,5,L,OT,,29,2,1,3,0,53,46,53.5,43,33,56.6,39,14,73.6,59.8,96.2,Washington Capitals,Washington Capitals,Buffalo Sabres,4,5
41,2023-01-05,@,Columbus Blue Jackets,6,2,W,,,27,6,0,1,0,60,49,55.0,45,37,54.9,28,16,63.6,36.2,104.1,Washington Capitals,Columbus Blue Jackets,Washington Capitals,2,6
42,2023-01-06,,Nashville Predators,2,3,L,,,21,6,0,2,0,51,43,54.3,35,28,55.6,19,26,42.2,40.7,90.2,Washington Capitals,Washington Capitals,Nashville Predators,2,3
43,2023-01-08,,Columbus Blue Jackets,1,0,W,,,38,9,0,2,0,41,66,38.3,27,42,39.1,21,13,61.8,46.2,106.3,Washington Capitals,Washington Capitals,Columbus Blue Jackets,1,0
44,2023-01-11,@,Philadelphia Flyers,3,5,L,,,36,2,2,6,1,49,49,50.0,34,43,44.2,23,27,46.0,39.4,105.1,Washington Capitals,Philadelphia Flyers,Washington Capitals,5,3
45,2023-01-14,,Philadelphia Flyers,1,3,L,,,25,10,1,3,0,75,38,66.4,51,25,67.1,25,17,59.5,64.7,93.9,Washington Capitals,Washington Capitals,Philadelphia Flyers,1,3
46,2023-01-16,@,New York Islanders,4,3,W,OT,,30,4,0,1,0,61,50,55.0,47,37,56.0,27,21,56.3,56.4,101.1,Washington Capitals,New York Islanders,Washington Capitals,3,4
47,2023-01-17,,Minnesota Wild,2,4,L,,,22,8,0,2,0,67,44,60.4,52,27,65.8,23,25,47.9,76.8,84.8,Washington Capitals,Washington Capitals,Minnesota Wild,2,4
48,2023-01-19,@,Arizona Coyotes,4,0,W,,,26,8,0,3,0,55,39,58.5,39,33,54.2,26,15,63.4,48.3,111.5,Washington Capitals,Arizona Coyotes,Washington Capitals,0,4
49,2023-01-21,@,Vegas Golden Knights,2,6,L,,,27,8,0,1,0,42,50,45.7,27,41,39.7,16,24,40.0,47.8,87.4,Washington Capitals,Vegas Golden Knights,Washington Capitals,6,2
50,2023-01-24,@,Colorado Avalanche,2,3,L,,,26,4,0,0,0,65,48,57.5,50,33,60.2,27,27,50.0,56.8,94.2,Washington Capitals,Colorado Avalanche,Washington Capitals,3,2
51,2023-01-26,,Pittsburgh Penguins,3,2,W,SO,,37,10,0,1,0,52,63,45.2,35,46,43.2,25,30,45.5,56.4,98.0,Washington Capitals,Washington Capitals,Pittsburgh Penguins,3,2
52,2023-01-29,@,Toronto Maple Leafs,1,5,L,,,27,10,1,2,0,40,41,49.4,26,34,43.3,19,17,52.8,52.5,83.3,Washington Capitals,Toronto Maple Leafs,Washington Capitals,5,1
53,2023-01-31,@,Columbus Blue Jackets,4,3,W,OT,,34,8,0,1,0,55,63,46.6,37,42,46.8,31,26,54.4,26.6,104.2,Washington Capitals,Columbus Blue Jackets,Washington Capitals,3,4
54,2023-02-11,@,Boston Bruins,2,1,W,,,28,12,0,4,0,48,46,51.1,32,35,47.8,20,28,41.7,48.3,100.7,Washington Capitals,Boston Bruins,Washington Capitals,1,2
55,2023-02-12,,San Jose Sharks,1,4,L,,,33,6,1,4,0,38,65,36.9,26,44,37.1,11,26,29.7,41.9,95.2,Washington Capitals,Washington Capitals,San Jose Sharks,1,4
56,2023-02-14,,Carolina Hurricanes,2,3,L,,,30,6,1,1,0,54,58,48.2,41,45,47.7,39,25,60.9,54.3,99.3,Washington Capitals,Washington Capitals,Carolina Hurricanes,2,3
