GP,Date,Location,Opponent,GF,GA,Result,OverTime,Unnamed: 8,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,team,Home,Visitor,HG,AG
1,2022-10-14,,New York Rangers,4,1,W,,,41,6,0,2,0,59,59,50.0,42,47,47.2,23,28,45.1,60.7,107.0,Winnipeg Jets,Winnipeg Jets,New York Rangers,4,1
2,2022-10-17,@,Dallas Stars,1,4,L,,,29,10,1,4,0,47,37,56.0,32,28,53.3,16,21,43.2,58.3,88.9,Winnipeg Jets,Dallas Stars,Winnipeg Jets,4,1
3,2022-10-19,@,Colorado Avalanche,4,3,W,OT,,33,8,1,1,0,45,65,40.9,35,40,46.7,24,25,49.0,42.1,106.3,Winnipeg Jets,Colorado Avalanche,Winnipeg Jets,3,4
4,2022-10-20,@,Vegas Golden Knights,2,5,L,,,32,2,0,3,0,48,48,50.0,38,39,49.4,22,20,52.4,52.0,89.6,Winnipeg Jets,Vegas Golden Knights,Winnipeg Jets,5,2
5,2022-10-22,,Toronto Maple Leafs,1,4,L,,,28,15,2,3,0,44,56,44.0,34,40,45.9,17,22,43.6,50.3,95.7,Winnipeg Jets,Winnipeg Jets,Toronto Maple Leafs,1,4
6,2022-10-24,,St. Louis Blues,4,0,W,,,25,12,0,2,0,56,49,53.3,44,36,55.0,13,21,38.2,66.7,111.1,Winnipeg Jets,Winnipeg Jets,St. Louis Blues,4,0
7,2022-10-27,@,Los Angeles Kings,6,4,W,,,44,10,1,4,0,25,64,28.1,20,46,30.3,13,22,37.1,42.1,119.4,Winnipeg Jets,Los Angeles Kings,Winnipeg Jets,4,6
8,2022-10-28,@,Arizona Coyotes,3,2,W,OT,,21,12,0,2,0,52,33,61.2,41,25,62.1,15,23,39.5,51.3,98.2,Winnipeg Jets,Arizona Coyotes,Winnipeg Jets,2,3
9,2022-10-30,@,Vegas Golden Knights,1,2,L,OT,,48,2,0,3,0,53,67,44.2,33,54,37.9,21,28,42.9,49.2,100.1,Winnipeg Jets,Vegas Golden Knights,Winnipeg Jets,2,1
10,2022-11-03,,Montreal Canadiens,3,2,W,OT,,22,10,0,2,0,52,34,60.5,42,28,60.0,19,17,52.8,56.0,95.1,Winnipeg Jets,Winnipeg Jets,Montreal Canadiens,3,2
11,2022-11-05,,Chicago Blackhawks,4,0,W,,,30,8,0,3,0,61,42,59.2,49,36,57.6,24,22,52.2,69.5,100.0,Winnipeg Jets,Winnipeg Jets,Chicago Blackhawks,4,0
12,2022-11-08,,Dallas Stars,5,1,W,,,22,9,0,1,0,48,46,51.1,39,31,55.7,22,25,46.8,57.3,111.1,Winnipeg Jets,Winnipeg Jets,Dallas Stars,5,1
