,Date,Visitor,AG,Home,HG,OT,ARes,HRes,HWin,AWin,Away_BeforeDate_gp,Away_BeforeDate_win,Away_BeforeDate_loss,Away_BeforeDate_ot_loss,Away_BeforeDate_ot_win,Away_BeforeDate_so_loss,Away_BeforeDate_so_win,Away_BeforeDate_so,Away_BeforeDate_ot,Away_BeforeDate_goals,Away_BeforeDate_goals_against,Away_Home_gp,Away_Home_win,Away_Home_loss,Away_Home_ot_loss,Away_Home_ot_win,Away_Home_so_loss,Away_Home_so_win,Away_Home_so,Away_Home_ot,Away_Home_goals,Away_Home_goals_against,Away_Away_gp,Away_Away_win,Away_Away_loss,Away_Away_ot_loss,Away_Away_ot_win,Away_Away_so_loss,Away_Away_so_win,Away_Away_so,Away_Away_ot,Away_Away_goals,Away_Away_goals_against,Away_Last-5_gp,Away_Last-5_win,Away_Last-5_loss,Away_Last-5_ot_loss,Away_Last-5_ot_win,Away_Last-5_so_loss,Away_Last-5_so_win,Away_Last-5_so,Away_Last-5_ot,Away_Last-5_goals,Away_Last-5_goals_against,Away_Last-10_gp,Away_Last-10_win,Away_Last-10_loss,Away_Last-10_ot_loss,Away_Last-10_ot_win,Away_Last-10_so_loss,Away_Last-10_so_win,Away_Last-10_so,Away_Last-10_ot,Away_Last-10_goals,Away_Last-10_goals_against,Away_B2B_gp,Away_B2B_win,Away_B2B_loss,Away_B2B_ot_loss,Away_B2B_ot_win,Away_B2B_so_loss,Away_B2B_so_win,Away_B2B_so,Away_B2B_ot,Away_B2B_goals,Away_B2B_goals_against,Away_ThisMonth_gp,Away_ThisMonth_win,Away_ThisMonth_loss,Away_ThisMonth_ot_loss,Away_ThisMonth_ot_win,Away_ThisMonth_so_loss,Away_ThisMonth_so_win,Away_ThisMonth_so,Away_ThisMonth_ot,Away_ThisMonth_goals,Away_ThisMonth_goals_against,Away_Days-4_gp,Away_Days-4_win,Away_Days-4_loss,Away_Days-4_ot_loss,Away_Days-4_ot_win,Away_Days-4_so_loss,Away_Days-4_so_win,Away_Days-4_so,Away_Days-4_ot,Away_Days-4_goals,Away_Days-4_goals_against,Away_Days-7_gp,Away_Days-7_win,Away_Days-7_loss,Away_Days-7_ot_loss,Away_Days-7_ot_win,Away_Days-7_so_loss,Away_Days-7_so_win,Away_Days-7_so,Away_Days-7_ot,Away_Days-7_goals,Away_Days-7_goals_against,Home_BeforeDate_gp,Home_BeforeDate_win,Home_BeforeDate_loss,Home_BeforeDate_ot_loss,Home_BeforeDate_ot_win,Home_BeforeDate_so_loss,Home_BeforeDate_so_win,Home_BeforeDate_so,Home_BeforeDate_ot,Home_BeforeDate_goals,Home_BeforeDate_goals_against,Home_Home_gp,Home_Home_win,Home_Home_loss,Home_Home_ot_loss,Home_Home_ot_win,Home_Home_so_loss,Home_Home_so_win,Home_Home_so,Home_Home_ot,Home_Home_goals,Home_Home_goals_against,Home_Away_gp,Home_Away_win,Home_Away_loss,Home_Away_ot_loss,Home_Away_ot_win,Home_Away_so_loss,Home_Away_so_win,Home_Away_so,Home_Away_ot,Home_Away_goals,Home_Away_goals_against,Home_Last-5_gp,Home_Last-5_win,Home_Last-5_loss,Home_Last-5_ot_loss,Home_Last-5_ot_win,Home_Last-5_so_loss,Home_Last-5_so_win,Home_Last-5_so,Home_Last-5_ot,Home_Last-5_goals,Home_Last-5_goals_against,Home_Last-10_gp,Home_Last-10_win,Home_Last-10_loss,Home_Last-10_ot_loss,Home_Last-10_ot_win,Home_Last-10_so_loss,Home_Last-10_so_win,Home_Last-10_so,Home_Last-10_ot,Home_Last-10_goals,Home_Last-10_goals_against,Home_B2B_gp,Home_B2B_win,Home_B2B_loss,Home_B2B_ot_loss,Home_B2B_ot_win,Home_B2B_so_loss,Home_B2B_so_win,Home_B2B_so,Home_B2B_ot,Home_B2B_goals,Home_B2B_goals_against,Home_ThisMonth_gp,Home_ThisMonth_win,Home_ThisMonth_loss,Home_ThisMonth_ot_loss,Home_ThisMonth_ot_win,Home_ThisMonth_so_loss,Home_ThisMonth_so_win,Home_ThisMonth_so,Home_ThisMonth_ot,Home_ThisMonth_goals,Home_ThisMonth_goals_against,Home_Days-4_gp,Home_Days-4_win,Home_Days-4_loss,Home_Days-4_ot_loss,Home_Days-4_ot_win,Home_Days-4_so_loss,Home_Days-4_so_win,Home_Days-4_so,Home_Days-4_ot,Home_Days-4_goals,Home_Days-4_goals_against,Home_Days-7_gp,Home_Days-7_win,Home_Days-7_loss,Home_Days-7_ot_loss,Home_Days-7_ot_win,Home_Days-7_so_loss,Home_Days-7_so_win,Home_Days-7_so,Home_Days-7_ot,Home_Days-7_goals,Home_Days-7_goals_against
0,2018-10-03,Anaheim Ducks,5,San Jose Sharks,2,,GameState.WIN,GameState.LOSS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2018-10-06,Anaheim Ducks,1,Arizona Coyotes,0,,GameState.WIN,GameState.LOSS,0,1,1,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,2,1,1,0,0,0,0,0,0,0,5,2,1,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,2,1,1,0,0,0,0,0,0,0,5,2,1,1,0,0,0,0,0,0,0,5,2,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,3
31,2018-10-08,Detroit Red Wings,2,Anaheim Ducks,3,SO,GameState.SO_LOSS,GameState.SO_WIN,1,0,2,0,1,1,0,0,0,0,0,4,7,1,0,0,1,0,0,0,0,0,2,3,1,0,1,0,0,0,0,0,0,2,4,2,0,1,1,0,0,0,0,0,4,7,2,0,1,1,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,4,7,1,0,1,0,0,0,0,0,0,2,4,2,0,1,1,0,0,0,0,0,4,7,2,2,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,6,2,2,2,0,0,0,0,0,0,0,6,2,2,2,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,6,2,1,1,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,6,2
41,2018-10-10,Arizona Coyotes,3,Anaheim Ducks,2,SO,GameState.SO_WIN,GameState.SO_LOSS,0,1,2,0,2,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0,0,4,2,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,4,3,2,0,0,0,0,1,0,0,9,4,1,0,0,0,0,0,1,0,0,3,2,2,2,0,0,0,0,0,0,0,6,2,3,2,0,0,0,0,1,0,0,9,4,3,2,0,0,0,0,1,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,9,4,1,0,0,0,0,0,1,0,0,3,2,2,1,0,0,0,0,1,0,0,4,2
60,2018-10-13,Anaheim Ducks,3,Dallas Stars,5,,GameState.LOSS,GameState.WIN,1,0,4,2,0,0,0,1,1,0,0,11,7,2,0,0,0,0,1,1,0,0,5,5,2,2,0,0,0,0,0,0,0,6,2,4,2,0,0,0,1,1,0,0,11,7,4,2,0,0,0,1,1,0,0,11,7,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1,1,0,0,11,7,1,0,0,0,0,1,0,0,0,2,3,2,0,0,0,0,1,1,0,0,5,5,3,2,1,0,0,0,0,0,0,12,8,3,2,1,0,0,0,0,0,0,12,8,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,12,8,3,2,1,0,0,0,0,0,0,12,8,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,12,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,7
71,2018-10-14,Anaheim Ducks,3,St. Louis Blues,2,,GameState.WIN,GameState.LOSS,0,1,5,2,1,0,0,1,1,0,0,14,12,2,0,0,0,0,1,1,0,0,5,5,3,2,1,0,0,0,0,0,0,9,7,5,2,1,0,0,1,1,0,0,14,12,5,2,1,0,0,1,1,0,0,14,12,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0,0,1,1,0,0,14,12,1,0,1,0,0,0,0,0,0,3,5,3,0,1,0,0,1,1,0,0,8,10,4,1,1,2,0,0,0,0,0,13,17,3,1,1,1,0,0,0,0,0,10,13,1,0,0,1,0,0,0,0,0,3,4,4,1,1,2,0,0,0,0,0,13,17,4,1,1,2,0,0,0,0,0,13,17,0,0,0,0,0,0,0,0,0,0,0,4,1,1,2,0,0,0,0,0,13,17,2,1,0,1,0,0,0,0,0,8,7,2,1,0,1,0,0,0,0,0,8,7
85,2018-10-17,New York Islanders,1,Anaheim Ducks,4,,GameState.LOSS,GameState.WIN,1,0,4,1,2,0,1,0,0,0,0,11,10,2,1,1,0,0,0,0,0,0,7,4,2,0,1,0,1,0,0,0,0,4,6,4,1,2,0,1,0,0,0,0,11,10,4,1,2,0,1,0,0,0,0,11,10,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,1,0,0,0,0,11,10,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,5,6,3,1,0,0,1,1,0,0,17,14,2,0,0,0,0,1,1,0,0,5,5,4,3,1,0,0,0,0,0,0,12,9,5,2,1,0,0,1,1,0,0,12,12,6,3,1,0,0,1,1,0,0,17,14,2,1,1,0,0,0,0,0,0,6,7,6,3,1,0,0,1,1,0,0,17,14,1,1,0,0,0,0,0,0,0,3,2,2,1,1,0,0,0,0,0,0,6,7
112,2018-10-20,Anaheim Ducks,1,Vegas Golden Knights,3,,GameState.LOSS,GameState.WIN,1,0,7,4,1,0,0,1,1,0,0,21,15,3,1,0,0,0,1,1,0,0,9,6,4,3,1,0,0,0,0,0,0,12,9,5,2,1,0,0,1,1,0,0,15,13,7,4,1,0,0,1,1,0,0,21,15,2,1,1,0,0,0,0,0,0,6,7,7,4,1,0,0,1,1,0,0,21,15,1,1,0,0,0,0,0,0,0,4,1,2,2,0,0,0,0,0,0,0,7,3,7,2,4,0,0,0,1,0,0,15,20,2,1,1,0,0,0,0,0,0,6,6,5,1,3,0,0,0,1,0,0,9,14,5,2,3,0,0,0,0,0,0,11,14,7,2,4,0,0,0,1,0,0,15,20,2,0,2,0,0,0,0,0,0,4,9,7,2,4,0,0,0,1,0,0,15,20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,1
114,2018-10-21,Buffalo Sabres,4,Anaheim Ducks,2,,GameState.WIN,GameState.LOSS,0,1,8,4,4,0,0,0,0,0,0,18,23,4,2,2,0,0,0,0,0,0,8,13,4,2,2,0,0,0,0,0,0,10,10,5,2,3,0,0,0,0,0,0,11,16,8,4,4,0,0,0,0,0,0,18,23,0,0,0,0,0,0,0,0,0,0,0,8,4,4,0,0,0,0,0,0,18,23,2,1,1,0,0,0,0,0,0,6,6,3,1,2,0,0,0,0,0,0,7,10,8,4,2,0,0,1,1,0,0,22,18,3,1,0,0,0,1,1,0,0,9,6,5,3,2,0,0,0,0,0,0,13,12,5,2,2,0,0,1,0,0,0,13,14,8,4,2,0,0,1,1,0,0,22,18,2,1,1,0,0,0,0,0,0,6,7,8,4,2,0,0,1,1,0,0,22,18,1,0,1,0,0,0,0,0,0,1,3,2,1,1,0,0,0,0,0,0,5,4
122,2018-10-23,Anaheim Ducks,1,Chicago Blackhawks,3,,GameState.LOSS,GameState.WIN,1,0,9,4,3,0,0,1,1,0,0,24,22,4,1,1,0,0,1,1,0,0,11,10,5,3,2,0,0,0,0,0,0,13,12,5,2,3,0,0,0,0,0,0,13,15,9,4,3,0,0,1,1,0,0,24,22,4,1,3,0,0,0,0,0,0,9,14,9,4,3,0,0,1,1,0,0,24,22,2,0,2,0,0,0,0,0,0,3,7,3,1,2,0,0,0,0,0,0,7,8,8,1,2,2,3,0,0,0,0,30,32,4,0,2,1,1,0,0,0,0,14,20,4,1,0,1,2,0,0,0,0,16,12,5,1,2,1,1,0,0,0,0,15,18,8,1,2,2,3,0,0,0,0,30,32,4,1,1,1,1,0,0,0,0,18,18,8,1,2,2,3,0,0,0,0,30,32,2,1,1,0,0,0,0,0,0,7,7,3,1,2,0,0,0,0,0,0,8,11
