,Date,Visitor,AG,Home,HG,OT,ARes,HRes,HWin,AWin,Away_BeforeDate_gp,Away_BeforeDate_win,Away_BeforeDate_loss,Away_BeforeDate_ot_loss,Away_BeforeDate_ot_win,Away_BeforeDate_so_loss,Away_BeforeDate_so_win,Away_BeforeDate_so,Away_BeforeDate_ot,Away_BeforeDate_goals,Away_BeforeDate_goals_against,Away_Home_gp,Away_Home_win,Away_Home_loss,Away_Home_ot_loss,Away_Home_ot_win,Away_Home_so_loss,Away_Home_so_win,Away_Home_so,Away_Home_ot,Away_Home_goals,Away_Home_goals_against,Away_Away_gp,Away_Away_win,Away_Away_loss,Away_Away_ot_loss,Away_Away_ot_win,Away_Away_so_loss,Away_Away_so_win,Away_Away_so,Away_Away_ot,Away_Away_goals,Away_Away_goals_against,Away_Last-5_gp,Away_Last-5_win,Away_Last-5_loss,Away_Last-5_ot_loss,Away_Last-5_ot_win,Away_Last-5_so_loss,Away_Last-5_so_win,Away_Last-5_so,Away_Last-5_ot,Away_Last-5_goals,Away_Last-5_goals_against,Away_Last-10_gp,Away_Last-10_win,Away_Last-10_loss,Away_Last-10_ot_loss,Away_Last-10_ot_win,Away_Last-10_so_loss,Away_Last-10_so_win,Away_Last-10_so,Away_Last-10_ot,Away_Last-10_goals,Away_Last-10_goals_against,Away_B2B_gp,Away_B2B_win,Away_B2B_loss,Away_B2B_ot_loss,Away_B2B_ot_win,Away_B2B_so_loss,Away_B2B_so_win,Away_B2B_so,Away_B2B_ot,Away_B2B_goals,Away_B2B_goals_against,Away_ThisMonth_gp,Away_ThisMonth_win,Away_ThisMonth_loss,Away_ThisMonth_ot_loss,Away_ThisMonth_ot_win,Away_ThisMonth_so_loss,Away_ThisMonth_so_win,Away_ThisMonth_so,Away_ThisMonth_ot,Away_ThisMonth_goals,Away_ThisMonth_goals_against,Away_Days-4_gp,Away_Days-4_win,Away_Days-4_loss,Away_Days-4_ot_loss,Away_Days-4_ot_win,Away_Days-4_so_loss,Away_Days-4_so_win,Away_Days-4_so,Away_Days-4_ot,Away_Days-4_goals,Away_Days-4_goals_against,Away_Days-7_gp,Away_Days-7_win,Away_Days-7_loss,Away_Days-7_ot_loss,Away_Days-7_ot_win,Away_Days-7_so_loss,Away_Days-7_so_win,Away_Days-7_so,Away_Days-7_ot,Away_Days-7_goals,Away_Days-7_goals_against,Home_BeforeDate_gp,Home_BeforeDate_win,Home_BeforeDate_loss,Home_BeforeDate_ot_loss,Home_BeforeDate_ot_win,Home_BeforeDate_so_loss,Home_BeforeDate_so_win,Home_BeforeDate_so,Home_BeforeDate_ot,Home_BeforeDate_goals,Home_BeforeDate_goals_against,Home_Home_gp,Home_Home_win,Home_Home_loss,Home_Home_ot_loss,Home_Home_ot_win,Home_Home_so_loss,Home_Home_so_win,Home_Home_so,Home_Home_ot,Home_Home_goals,Home_Home_goals_against,Home_Away_gp,Home_Away_win,Home_Away_loss,Home_Away_ot_loss,Home_Away_ot_win,Home_Away_so_loss,Home_Away_so_win,Home_Away_so,Home_Away_ot,Home_Away_goals,Home_Away_goals_against,Home_Last-5_gp,Home_Last-5_win,Home_Last-5_loss,Home_Last-5_ot_loss,Home_Last-5_ot_win,Home_Last-5_so_loss,Home_Last-5_so_win,Home_Last-5_so,Home_Last-5_ot,Home_Last-5_goals,Home_Last-5_goals_against,Home_Last-10_gp,Home_Last-10_win,Home_Last-10_loss,Home_Last-10_ot_loss,Home_Last-10_ot_win,Home_Last-10_so_loss,Home_Last-10_so_win,Home_Last-10_so,Home_Last-10_ot,Home_Last-10_goals,Home_Last-10_goals_against,Home_B2B_gp,Home_B2B_win,Home_B2B_loss,Home_B2B_ot_loss,Home_B2B_ot_win,Home_B2B_so_loss,Home_B2B_so_win,Home_B2B_so,Home_B2B_ot,Home_B2B_goals,Home_B2B_goals_against,Home_ThisMonth_gp,Home_ThisMonth_win,Home_ThisMonth_loss,Home_ThisMonth_ot_loss,Home_ThisMonth_ot_win,Home_ThisMonth_so_loss,Home_ThisMonth_so_win,Home_ThisMonth_so,Home_ThisMonth_ot,Home_ThisMonth_goals,Home_ThisMonth_goals_against,Home_Days-4_gp,Home_Days-4_win,Home_Days-4_loss,Home_Days-4_ot_loss,Home_Days-4_ot_win,Home_Days-4_so_loss,Home_Days-4_so_win,Home_Days-4_so,Home_Days-4_ot,Home_Days-4_goals,Home_Days-4_goals_against,Home_Days-7_gp,Home_Days-7_win,Home_Days-7_loss,Home_Days-7_ot_loss,Home_Days-7_ot_win,Home_Days-7_so_loss,Home_Days-7_so_win,Home_Days-7_so,Home_Days-7_ot,Home_Days-7_goals,Home_Days-7_goals_against
5,2018-10-04,New York Islanders,2,Carolina Hurricanes,1,OT,GameState.OT_WIN,GameState.OT_LOSS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2018-10-05,Carolina Hurricanes,3,Columbus Blue Jackets,1,,GameState.WIN,GameState.LOSS,0,1,1,0,0,1,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,2,1,0,0,0,1,0,0,0,0,3,2,1,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,2,1,0,0,0,1,0,0,0,0,3,2,1,0,0,0,1,0,0,0,0,3,2
28,2018-10-07,New York Rangers,5,Carolina Hurricanes,8,,GameState.LOSS,GameState.WIN,1,0,2,0,2,0,0,0,0,0,0,3,6,1,0,1,0,0,0,0,0,0,2,3,1,0,1,0,0,0,0,0,0,1,3,2,0,2,0,0,0,0,0,0,3,6,2,0,2,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,3,6,2,0,2,0,0,0,0,0,0,3,6,2,0,2,0,0,0,0,0,0,3,6,2,1,0,1,0,0,0,0,0,4,3,1,0,0,1,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,3,1,2,1,0,1,0,0,0,0,0,4,3,2,1,0,1,0,0,0,0,0,4,3,2,1,0,1,0,0,0,0,0,4,3,2,1,0,1,0,0,0,0,0,4,3,2,1,0,1,0,0,0,0,0,4,3,2,1,0,1,0,0,0,0,0,4,3
35,2018-10-09,Vancouver Canucks,3,Carolina Hurricanes,5,,GameState.LOSS,GameState.WIN,1,0,2,1,1,0,0,0,0,0,0,9,9,1,1,0,0,0,0,0,0,0,5,2,1,0,1,0,0,0,0,0,0,4,7,2,1,1,0,0,0,0,0,0,9,9,2,1,1,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,9,9,1,0,1,0,0,0,0,0,0,4,7,2,1,1,0,0,0,0,0,0,9,9,3,2,0,1,0,0,0,0,0,12,8,2,1,0,1,0,0,0,0,0,9,7,1,1,0,0,0,0,0,0,0,3,1,3,2,0,1,0,0,0,0,0,12,8,3,2,0,1,0,0,0,0,0,12,8,2,1,0,1,0,0,0,0,0,4,3,3,2,0,1,0,0,0,0,0,12,8,1,1,0,0,0,0,0,0,0,8,5,3,2,0,1,0,0,0,0,0,12,8
62,2018-10-13,Carolina Hurricanes,5,Minnesota Wild,4,OT,GameState.OT_WIN,GameState.OT_LOSS,0,1,4,3,0,1,0,0,0,0,0,17,11,3,2,0,1,0,0,0,0,0,14,10,1,1,0,0,0,0,0,0,0,3,1,4,3,0,1,0,0,0,0,0,17,11,4,3,0,1,0,0,0,0,0,17,11,2,1,0,1,0,0,0,0,0,4,3,4,3,0,1,0,0,0,0,0,17,11,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,13,8,3,0,1,0,1,1,0,0,0,6,9,2,0,0,0,1,1,0,0,0,5,5,1,0,1,0,0,0,0,0,0,1,4,3,0,1,0,1,1,0,0,0,6,9,3,0,1,0,1,1,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,0,0,0,6,9,1,0,0,0,1,0,0,0,0,4,3,1,0,0,0,1,0,0,0,0,4,3
72,2018-10-14,Carolina Hurricanes,1,Winnipeg Jets,3,,GameState.LOSS,GameState.WIN,1,0,5,3,0,1,1,0,0,0,0,22,15,3,2,0,1,0,0,0,0,0,14,10,2,1,0,0,1,0,0,0,0,8,5,5,3,0,1,1,0,0,0,0,22,15,5,3,0,1,1,0,0,0,0,22,15,2,1,0,1,0,0,0,0,0,4,3,5,3,0,1,1,0,0,0,0,22,15,1,0,0,0,1,0,0,0,0,5,4,2,1,0,0,1,0,0,0,0,10,7,4,2,2,0,0,0,0,0,0,8,10,1,1,0,0,0,0,0,0,0,2,1,3,1,2,0,0,0,0,0,0,6,9,4,2,2,0,0,0,0,0,0,8,10,4,2,2,0,0,0,0,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,8,10,1,0,1,0,0,0,0,0,0,0,3,2,1,1,0,0,0,0,0,0,2,4
82,2018-10-16,Carolina Hurricanes,2,Tampa Bay Lightning,4,,GameState.LOSS,GameState.WIN,1,0,6,3,1,1,1,0,0,0,0,23,18,3,2,0,1,0,0,0,0,0,14,10,3,1,1,0,1,0,0,0,0,9,8,5,3,1,0,1,0,0,0,0,22,16,6,3,1,1,1,0,0,0,0,23,18,4,1,1,1,1,0,0,0,0,10,10,6,3,1,1,1,0,0,0,0,23,18,2,0,1,0,1,0,0,0,0,6,7,2,0,1,0,1,0,0,0,0,6,7,3,1,1,0,0,0,1,0,0,11,7,3,1,1,0,0,0,1,0,0,11,7,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,0,11,7,3,1,1,0,0,0,1,0,0,11,7,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,0,11,7,1,1,0,0,0,0,0,0,0,8,2,2,1,1,0,0,0,0,0,0,9,6
101,2018-10-20,Colorado Avalanche,3,Carolina Hurricanes,1,,GameState.WIN,GameState.LOSS,0,1,7,4,1,1,0,1,0,0,0,26,18,3,2,0,1,0,0,0,0,0,11,6,4,2,1,0,0,1,0,0,0,15,12,5,2,1,1,0,1,0,0,0,17,15,7,4,1,1,0,1,0,0,0,26,18,0,0,0,0,0,0,0,0,0,0,0,7,4,1,1,0,1,0,0,0,26,18,1,1,0,0,0,0,0,0,0,5,3,2,1,0,0,0,1,0,0,0,7,6,7,3,2,1,1,0,0,0,0,25,22,3,2,0,1,0,0,0,0,0,14,10,4,1,2,0,1,0,0,0,0,11,12,5,2,2,0,1,0,0,0,0,21,19,7,3,2,1,1,0,0,0,0,25,22,4,1,1,1,1,0,0,0,0,10,10,7,3,2,1,1,0,0,0,0,25,22,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,3,7
117,2018-10-22,Carolina Hurricanes,3,Detroit Red Wings,1,,GameState.WIN,GameState.LOSS,0,1,8,3,3,1,1,0,0,0,0,26,25,4,2,1,1,0,0,0,0,0,15,13,4,1,2,0,1,0,0,0,0,11,12,5,1,3,0,1,0,0,0,0,14,17,8,3,3,1,1,0,0,0,0,26,25,4,1,1,1,1,0,0,0,0,10,10,8,3,3,1,1,0,0,0,0,26,25,1,0,1,0,0,0,0,0,0,1,3,2,0,2,0,0,0,0,0,0,3,7,8,0,5,1,1,1,0,0,0,19,36,2,0,1,1,0,0,0,0,0,5,8,6,0,4,0,1,1,0,0,0,14,28,5,0,4,0,1,0,0,0,0,13,26,8,0,5,1,1,1,0,0,0,19,36,2,0,1,0,0,1,0,0,0,4,7,8,0,5,1,1,1,0,0,0,19,36,1,0,0,0,1,0,0,0,0,4,3,2,0,1,0,1,0,0,0,0,5,6
143,2018-10-26,San Jose Sharks,3,Carolina Hurricanes,4,SO,GameState.SO_LOSS,GameState.SO_WIN,1,0,9,4,3,1,1,0,0,0,0,31,25,3,2,1,0,0,0,0,0,0,11,7,6,2,2,1,1,0,0,0,0,20,18,5,3,1,1,0,0,0,0,0,18,12,9,4,3,1,1,0,0,0,0,31,25,2,1,1,0,0,0,0,0,0,8,6,9,4,3,1,1,0,0,0,0,31,25,1,1,0,0,0,0,0,0,0,5,4,2,2,0,0,0,0,0,0,0,9,5,9,4,3,1,1,0,0,0,0,29,26,4,2,1,1,0,0,0,0,0,15,13,5,2,2,0,1,0,0,0,0,14,13,5,1,3,0,1,0,0,0,0,12,15,9,4,3,1,1,0,0,0,0,29,26,4,1,1,1,1,0,0,0,0,10,10,9,4,3,1,1,0,0,0,0,29,26,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,4,4
