,Date,Visitor,AG,Home,HG,OT,ARes,HRes,HWin,AWin,Away_BeforeDate_gp,Away_BeforeDate_win,Away_BeforeDate_loss,Away_BeforeDate_ot_loss,Away_BeforeDate_ot_win,Away_BeforeDate_so_loss,Away_BeforeDate_so_win,Away_BeforeDate_so,Away_BeforeDate_ot,Away_BeforeDate_goals,Away_BeforeDate_goals_against,Away_Home_gp,Away_Home_win,Away_Home_loss,Away_Home_ot_loss,Away_Home_ot_win,Away_Home_so_loss,Away_Home_so_win,Away_Home_so,Away_Home_ot,Away_Home_goals,Away_Home_goals_against,Away_Away_gp,Away_Away_win,Away_Away_loss,Away_Away_ot_loss,Away_Away_ot_win,Away_Away_so_loss,Away_Away_so_win,Away_Away_so,Away_Away_ot,Away_Away_goals,Away_Away_goals_against,Away_Last-5_gp,Away_Last-5_win,Away_Last-5_loss,Away_Last-5_ot_loss,Away_Last-5_ot_win,Away_Last-5_so_loss,Away_Last-5_so_win,Away_Last-5_so,Away_Last-5_ot,Away_Last-5_goals,Away_Last-5_goals_against,Away_Last-10_gp,Away_Last-10_win,Away_Last-10_loss,Away_Last-10_ot_loss,Away_Last-10_ot_win,Away_Last-10_so_loss,Away_Last-10_so_win,Away_Last-10_so,Away_Last-10_ot,Away_Last-10_goals,Away_Last-10_goals_against,Away_B2B_gp,Away_B2B_win,Away_B2B_loss,Away_B2B_ot_loss,Away_B2B_ot_win,Away_B2B_so_loss,Away_B2B_so_win,Away_B2B_so,Away_B2B_ot,Away_B2B_goals,Away_B2B_goals_against,Away_ThisMonth_gp,Away_ThisMonth_win,Away_ThisMonth_loss,Away_ThisMonth_ot_loss,Away_ThisMonth_ot_win,Away_ThisMonth_so_loss,Away_ThisMonth_so_win,Away_ThisMonth_so,Away_ThisMonth_ot,Away_ThisMonth_goals,Away_ThisMonth_goals_against,Away_Days-4_gp,Away_Days-4_win,Away_Days-4_loss,Away_Days-4_ot_loss,Away_Days-4_ot_win,Away_Days-4_so_loss,Away_Days-4_so_win,Away_Days-4_so,Away_Days-4_ot,Away_Days-4_goals,Away_Days-4_goals_against,Away_Days-7_gp,Away_Days-7_win,Away_Days-7_loss,Away_Days-7_ot_loss,Away_Days-7_ot_win,Away_Days-7_so_loss,Away_Days-7_so_win,Away_Days-7_so,Away_Days-7_ot,Away_Days-7_goals,Away_Days-7_goals_against,Home_BeforeDate_gp,Home_BeforeDate_win,Home_BeforeDate_loss,Home_BeforeDate_ot_loss,Home_BeforeDate_ot_win,Home_BeforeDate_so_loss,Home_BeforeDate_so_win,Home_BeforeDate_so,Home_BeforeDate_ot,Home_BeforeDate_goals,Home_BeforeDate_goals_against,Home_Home_gp,Home_Home_win,Home_Home_loss,Home_Home_ot_loss,Home_Home_ot_win,Home_Home_so_loss,Home_Home_so_win,Home_Home_so,Home_Home_ot,Home_Home_goals,Home_Home_goals_against,Home_Away_gp,Home_Away_win,Home_Away_loss,Home_Away_ot_loss,Home_Away_ot_win,Home_Away_so_loss,Home_Away_so_win,Home_Away_so,Home_Away_ot,Home_Away_goals,Home_Away_goals_against,Home_Last-5_gp,Home_Last-5_win,Home_Last-5_loss,Home_Last-5_ot_loss,Home_Last-5_ot_win,Home_Last-5_so_loss,Home_Last-5_so_win,Home_Last-5_so,Home_Last-5_ot,Home_Last-5_goals,Home_Last-5_goals_against,Home_Last-10_gp,Home_Last-10_win,Home_Last-10_loss,Home_Last-10_ot_loss,Home_Last-10_ot_win,Home_Last-10_so_loss,Home_Last-10_so_win,Home_Last-10_so,Home_Last-10_ot,Home_Last-10_goals,Home_Last-10_goals_against,Home_B2B_gp,Home_B2B_win,Home_B2B_loss,Home_B2B_ot_loss,Home_B2B_ot_win,Home_B2B_so_loss,Home_B2B_so_win,Home_B2B_so,Home_B2B_ot,Home_B2B_goals,Home_B2B_goals_against,Home_ThisMonth_gp,Home_ThisMonth_win,Home_ThisMonth_loss,Home_ThisMonth_ot_loss,Home_ThisMonth_ot_win,Home_ThisMonth_so_loss,Home_ThisMonth_so_win,Home_ThisMonth_so,Home_ThisMonth_ot,Home_ThisMonth_goals,Home_ThisMonth_goals_against,Home_Days-4_gp,Home_Days-4_win,Home_Days-4_loss,Home_Days-4_ot_loss,Home_Days-4_ot_win,Home_Days-4_so_loss,Home_Days-4_so_win,Home_Days-4_so,Home_Days-4_ot,Home_Days-4_goals,Home_Days-4_goals_against,Home_Days-7_gp,Home_Days-7_win,Home_Days-7_loss,Home_Days-7_ot_loss,Home_Days-7_ot_win,Home_Days-7_so_loss,Home_Days-7_so_win,Home_Days-7_so,Home_Days-7_ot,Home_Days-7_goals,Home_Days-7_goals_against
10,2018-10-04,Chicago Blackhawks,4,Ottawa Senators,3,OT,GameState.OT_WIN,GameState.OT_LOSS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2018-10-06,Chicago Blackhawks,5,St. Louis Blues,4,OT,GameState.OT_WIN,GameState.OT_LOSS,0,1,1,0,0,0,1,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,3,1,0,0,0,1,0,0,0,0,4,3,1,0,0,0,1,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,3,1,0,0,0,1,0,0,0,0,4,3,1,0,0,0,1,0,0,0,0,4,3,1,0,1,0,0,0,0,0,0,1,5,1,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,5,1,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,5,1,0,1,0,0,0,0,0,0,1,5,1,0,1,0,0,0,0,0,0,1,5
29,2018-10-07,Toronto Maple Leafs,7,Chicago Blackhawks,6,OT,GameState.OT_WIN,GameState.OT_LOSS,0,1,2,0,1,0,1,0,0,0,0,6,7,2,0,1,0,1,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,6,7,2,0,1,0,1,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,6,7,1,0,1,0,0,0,0,0,0,3,5,2,0,1,0,1,0,0,0,0,6,7,2,0,0,0,2,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,9,7,2,0,0,0,2,0,0,0,0,9,7,2,0,0,0,2,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,9,7,2,0,0,0,2,0,0,0,0,9,7,2,0,0,0,2,0,0,0,0,9,7
48,2018-10-11,Chicago Blackhawks,3,Minnesota Wild,4,OT,GameState.OT_LOSS,GameState.OT_WIN,1,0,3,0,0,1,2,0,0,0,0,15,14,1,0,0,1,0,0,0,0,0,6,7,2,0,0,0,2,0,0,0,0,9,7,3,0,0,1,2,0,0,0,0,15,14,3,0,0,1,2,0,0,0,0,15,14,2,0,0,1,1,0,0,0,0,11,11,3,0,0,1,2,0,0,0,0,15,14,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,11,11,2,0,1,0,0,1,0,0,0,2,6,1,0,0,0,0,1,0,0,0,1,2,1,0,1,0,0,0,0,0,0,1,4,2,0,1,0,0,1,0,0,0,2,6,2,0,1,0,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2
58,2018-10-13,St. Louis Blues,3,Chicago Blackhawks,4,OT,GameState.OT_LOSS,GameState.OT_WIN,1,0,3,1,1,1,0,0,0,0,0,10,13,3,1,1,1,0,0,0,0,0,10,13,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,10,13,3,1,1,1,0,0,0,0,0,10,13,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,10,13,1,1,0,0,0,0,0,0,0,5,3,1,1,0,0,0,0,0,0,0,5,3,4,0,0,2,2,0,0,0,0,18,18,1,0,0,1,0,0,0,0,0,6,7,3,0,0,1,2,0,0,0,0,12,11,4,0,0,2,2,0,0,0,0,18,18,4,0,0,2,2,0,0,0,0,18,18,2,0,0,1,1,0,0,0,0,11,11,4,0,0,2,2,0,0,0,0,18,18,1,0,0,1,0,0,0,0,0,3,4,2,0,0,2,0,0,0,0,0,9,11
90,2018-10-18,Arizona Coyotes,4,Chicago Blackhawks,1,,GameState.WIN,GameState.LOSS,0,1,5,0,4,0,0,0,1,0,0,4,11,2,0,2,0,0,0,0,0,0,0,4,3,0,2,0,0,0,1,0,0,4,7,5,0,4,0,0,0,1,0,0,4,11,5,0,4,0,0,0,1,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,1,0,0,4,11,1,0,1,0,0,0,0,0,0,1,2,2,0,2,0,0,0,0,0,0,1,5,5,0,0,2,3,0,0,0,0,22,21,2,0,0,1,1,0,0,0,0,10,10,3,0,0,1,2,0,0,0,0,12,11,5,0,0,2,3,0,0,0,0,22,21,5,0,0,2,3,0,0,0,0,22,21,2,0,0,1,1,0,0,0,0,11,11,5,0,0,2,3,0,0,0,0,22,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,3
102,2018-10-20,Chicago Blackhawks,4,Columbus Blue Jackets,1,,GameState.WIN,GameState.LOSS,0,1,6,0,1,2,3,0,0,0,0,23,25,3,0,1,1,1,0,0,0,0,11,14,3,0,0,1,2,0,0,0,0,12,11,5,0,1,2,2,0,0,0,0,19,22,6,0,1,2,3,0,0,0,0,23,25,2,0,0,1,1,0,0,0,0,11,11,6,0,1,2,3,0,0,0,0,23,25,1,0,1,0,0,0,0,0,0,1,4,1,0,1,0,0,0,0,0,0,1,4,6,3,2,0,1,0,0,0,0,22,22,3,2,1,0,0,0,0,0,0,12,8,3,1,1,0,1,0,0,0,0,10,14,5,3,2,0,0,0,0,0,0,19,20,6,3,2,0,1,0,0,0,0,22,22,2,0,1,0,1,0,0,0,0,4,5,6,3,2,0,1,0,0,0,0,22,22,1,1,0,0,0,0,0,0,0,6,3,1,1,0,0,0,0,0,0,0,6,3
115,2018-10-21,Tampa Bay Lightning,6,Chicago Blackhawks,3,,GameState.WIN,GameState.LOSS,0,1,6,3,1,1,0,0,1,0,0,22,15,5,3,1,0,0,0,1,0,0,18,10,1,0,0,1,0,0,0,0,0,4,5,5,3,1,1,0,0,0,0,0,20,14,6,3,1,1,0,0,1,0,0,22,15,0,0,0,0,0,0,0,0,0,0,0,6,3,1,1,0,0,1,0,0,22,15,2,1,0,1,0,0,0,0,0,7,6,3,2,0,1,0,0,0,0,0,11,8,7,1,1,2,3,0,0,0,0,27,26,3,0,1,1,1,0,0,0,0,11,14,4,1,0,1,2,0,0,0,0,16,12,5,1,1,2,1,0,0,0,0,18,19,7,1,1,2,3,0,0,0,0,27,26,2,0,0,1,1,0,0,0,0,11,11,7,1,1,2,3,0,0,0,0,27,26,2,1,1,0,0,0,0,0,0,5,5,2,1,1,0,0,0,0,0,0,5,5
122,2018-10-23,Anaheim Ducks,1,Chicago Blackhawks,3,,GameState.LOSS,GameState.WIN,1,0,9,4,3,0,0,1,1,0,0,24,22,4,1,1,0,0,1,1,0,0,11,10,5,3,2,0,0,0,0,0,0,13,12,5,2,3,0,0,0,0,0,0,13,15,9,4,3,0,0,1,1,0,0,24,22,4,1,3,0,0,0,0,0,0,9,14,9,4,3,0,0,1,1,0,0,24,22,2,0,2,0,0,0,0,0,0,3,7,3,1,2,0,0,0,0,0,0,7,8,8,1,2,2,3,0,0,0,0,30,32,4,0,2,1,1,0,0,0,0,14,20,4,1,0,1,2,0,0,0,0,16,12,5,1,2,1,1,0,0,0,0,15,18,8,1,2,2,3,0,0,0,0,30,32,4,1,1,1,1,0,0,0,0,18,18,8,1,2,2,3,0,0,0,0,30,32,2,1,1,0,0,0,0,0,0,7,7,3,1,2,0,0,0,0,0,0,8,11
137,2018-10-25,New York Rangers,1,Chicago Blackhawks,4,,GameState.LOSS,GameState.WIN,1,0,9,1,5,1,1,0,1,0,0,24,30,6,1,3,0,1,0,1,0,0,15,15,3,0,2,1,0,0,0,0,0,9,15,5,1,2,1,0,0,1,0,0,13,14,9,1,5,1,1,0,1,0,0,24,30,4,0,2,1,0,0,1,0,0,12,17,9,1,5,1,1,0,1,0,0,24,30,1,1,0,0,0,0,0,0,0,5,2,2,1,1,0,0,0,0,0,0,6,6,9,2,2,2,3,0,0,0,0,33,33,5,1,2,1,1,0,0,0,0,17,21,4,1,0,1,2,0,0,0,0,16,12,5,2,2,0,1,0,0,0,0,15,15,9,2,2,2,3,0,0,0,0,33,33,4,1,1,1,1,0,0,0,0,18,18,9,2,2,2,3,0,0,0,0,33,33,1,1,0,0,0,0,0,0,0,3,1,3,2,1,0,0,0,0,0,0,10,8
