,Date,Visitor,AG,Home,HG,OT,ARes,HRes,HWin,AWin,Away_BeforeDate_gp,Away_BeforeDate_win,Away_BeforeDate_loss,Away_BeforeDate_ot_loss,Away_BeforeDate_ot_win,Away_BeforeDate_so_loss,Away_BeforeDate_so_win,Away_BeforeDate_so,Away_BeforeDate_ot,Away_BeforeDate_goals,Away_BeforeDate_goals_against,Away_Home_gp,Away_Home_win,Away_Home_loss,Away_Home_ot_loss,Away_Home_ot_win,Away_Home_so_loss,Away_Home_so_win,Away_Home_so,Away_Home_ot,Away_Home_goals,Away_Home_goals_against,Away_Away_gp,Away_Away_win,Away_Away_loss,Away_Away_ot_loss,Away_Away_ot_win,Away_Away_so_loss,Away_Away_so_win,Away_Away_so,Away_Away_ot,Away_Away_goals,Away_Away_goals_against,Away_Last-5_gp,Away_Last-5_win,Away_Last-5_loss,Away_Last-5_ot_loss,Away_Last-5_ot_win,Away_Last-5_so_loss,Away_Last-5_so_win,Away_Last-5_so,Away_Last-5_ot,Away_Last-5_goals,Away_Last-5_goals_against,Away_Last-10_gp,Away_Last-10_win,Away_Last-10_loss,Away_Last-10_ot_loss,Away_Last-10_ot_win,Away_Last-10_so_loss,Away_Last-10_so_win,Away_Last-10_so,Away_Last-10_ot,Away_Last-10_goals,Away_Last-10_goals_against,Away_B2B_gp,Away_B2B_win,Away_B2B_loss,Away_B2B_ot_loss,Away_B2B_ot_win,Away_B2B_so_loss,Away_B2B_so_win,Away_B2B_so,Away_B2B_ot,Away_B2B_goals,Away_B2B_goals_against,Away_ThisMonth_gp,Away_ThisMonth_win,Away_ThisMonth_loss,Away_ThisMonth_ot_loss,Away_ThisMonth_ot_win,Away_ThisMonth_so_loss,Away_ThisMonth_so_win,Away_ThisMonth_so,Away_ThisMonth_ot,Away_ThisMonth_goals,Away_ThisMonth_goals_against,Away_Days-4_gp,Away_Days-4_win,Away_Days-4_loss,Away_Days-4_ot_loss,Away_Days-4_ot_win,Away_Days-4_so_loss,Away_Days-4_so_win,Away_Days-4_so,Away_Days-4_ot,Away_Days-4_goals,Away_Days-4_goals_against,Away_Days-7_gp,Away_Days-7_win,Away_Days-7_loss,Away_Days-7_ot_loss,Away_Days-7_ot_win,Away_Days-7_so_loss,Away_Days-7_so_win,Away_Days-7_so,Away_Days-7_ot,Away_Days-7_goals,Away_Days-7_goals_against,Home_BeforeDate_gp,Home_BeforeDate_win,Home_BeforeDate_loss,Home_BeforeDate_ot_loss,Home_BeforeDate_ot_win,Home_BeforeDate_so_loss,Home_BeforeDate_so_win,Home_BeforeDate_so,Home_BeforeDate_ot,Home_BeforeDate_goals,Home_BeforeDate_goals_against,Home_Home_gp,Home_Home_win,Home_Home_loss,Home_Home_ot_loss,Home_Home_ot_win,Home_Home_so_loss,Home_Home_so_win,Home_Home_so,Home_Home_ot,Home_Home_goals,Home_Home_goals_against,Home_Away_gp,Home_Away_win,Home_Away_loss,Home_Away_ot_loss,Home_Away_ot_win,Home_Away_so_loss,Home_Away_so_win,Home_Away_so,Home_Away_ot,Home_Away_goals,Home_Away_goals_against,Home_Last-5_gp,Home_Last-5_win,Home_Last-5_loss,Home_Last-5_ot_loss,Home_Last-5_ot_win,Home_Last-5_so_loss,Home_Last-5_so_win,Home_Last-5_so,Home_Last-5_ot,Home_Last-5_goals,Home_Last-5_goals_against,Home_Last-10_gp,Home_Last-10_win,Home_Last-10_loss,Home_Last-10_ot_loss,Home_Last-10_ot_win,Home_Last-10_so_loss,Home_Last-10_so_win,Home_Last-10_so,Home_Last-10_ot,Home_Last-10_goals,Home_Last-10_goals_against,Home_B2B_gp,Home_B2B_win,Home_B2B_loss,Home_B2B_ot_loss,Home_B2B_ot_win,Home_B2B_so_loss,Home_B2B_so_win,Home_B2B_so,Home_B2B_ot,Home_B2B_goals,Home_B2B_goals_against,Home_ThisMonth_gp,Home_ThisMonth_win,Home_ThisMonth_loss,Home_ThisMonth_ot_loss,Home_ThisMonth_ot_win,Home_ThisMonth_so_loss,Home_ThisMonth_so_win,Home_ThisMonth_so,Home_ThisMonth_ot,Home_ThisMonth_goals,Home_ThisMonth_goals_against,Home_Days-4_gp,Home_Days-4_win,Home_Days-4_loss,Home_Days-4_ot_loss,Home_Days-4_ot_win,Home_Days-4_so_loss,Home_Days-4_so_win,Home_Days-4_so,Home_Days-4_ot,Home_Days-4_goals,Home_Days-4_goals_against,Home_Days-7_gp,Home_Days-7_win,Home_Days-7_loss,Home_Days-7_ot_loss,Home_Days-7_ot_win,Home_Days-7_so_loss,Home_Days-7_so_win,Home_Days-7_so,Home_Days-7_ot,Home_Days-7_goals,Home_Days-7_goals_against
6,2018-10-04,Minnesota Wild,1,Colorado Avalanche,4,,GameState.LOSS,GameState.WIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2018-10-06,Philadelphia Flyers,2,Colorado Avalanche,5,,GameState.LOSS,GameState.WIN,1,0,1,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,2,1,1,0,0,0,0,0,0,0,5,2,1,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,2,1,1,0,0,0,0,0,0,0,5,2,1,1,0,0,0,0,0,0,0,5,2,1,1,0,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,4,1
36,2018-10-09,Colorado Avalanche,2,Columbus Blue Jackets,5,,GameState.LOSS,GameState.WIN,1,0,2,2,0,0,0,0,0,0,0,9,3,2,2,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,9,3,2,2,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,9,3,1,1,0,0,0,0,0,0,0,5,2,2,2,0,0,0,0,0,0,0,9,3,2,0,1,0,1,0,0,0,0,4,5,1,0,1,0,0,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,3,2,2,0,1,0,1,0,0,0,0,4,5,2,0,1,0,1,0,0,0,0,4,5,2,0,1,0,1,0,0,0,0,4,5,2,0,1,0,1,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,4,5
45,2018-10-11,Colorado Avalanche,6,Buffalo Sabres,1,,GameState.WIN,GameState.LOSS,0,1,3,2,1,0,0,0,0,0,0,11,8,2,2,0,0,0,0,0,0,0,9,3,1,0,1,0,0,0,0,0,0,2,5,3,2,1,0,0,0,0,0,0,11,8,3,2,1,0,0,0,0,0,0,11,8,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,11,8,1,0,1,0,0,0,0,0,0,2,5,2,1,1,0,0,0,0,0,0,7,7,3,2,1,0,0,0,0,0,0,7,7,3,2,1,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,7,7,3,2,1,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,7,7,1,1,0,0,0,0,0,0,0,4,2,2,2,0,0,0,0,0,0,0,7,3
59,2018-10-13,Calgary Flames,3,Colorado Avalanche,2,OT,GameState.OT_WIN,GameState.OT_LOSS,0,1,4,2,2,0,0,0,0,0,0,15,14,1,1,0,0,0,0,0,0,0,7,4,3,1,2,0,0,0,0,0,0,8,10,4,2,2,0,0,0,0,0,0,15,14,4,2,2,0,0,0,0,0,0,15,14,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,15,14,1,0,1,0,0,0,0,0,0,3,5,2,1,1,0,0,0,0,0,0,6,5,4,3,1,0,0,0,0,0,0,17,9,2,2,0,0,0,0,0,0,0,9,3,2,1,1,0,0,0,0,0,0,8,6,4,3,1,0,0,0,0,0,0,17,9,4,3,1,0,0,0,0,0,0,17,9,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,17,9,1,1,0,0,0,0,0,0,0,6,1,2,1,1,0,0,0,0,0,0,8,6
79,2018-10-16,Colorado Avalanche,2,New York Rangers,3,SO,GameState.SO_LOSS,GameState.SO_WIN,1,0,5,3,1,1,0,0,0,0,0,19,12,3,2,0,1,0,0,0,0,0,11,6,2,1,1,0,0,0,0,0,0,8,6,5,3,1,1,0,0,0,0,0,19,12,5,3,1,1,0,0,0,0,0,19,12,0,0,0,0,0,0,0,0,0,0,0,5,3,1,1,0,0,0,0,0,19,12,1,0,0,1,0,0,0,0,0,2,3,2,1,0,1,0,0,0,0,0,8,4,5,0,4,0,1,0,0,0,0,12,18,3,0,2,0,1,0,0,0,0,6,7,2,0,2,0,0,0,0,0,0,6,11,5,0,4,0,1,0,0,0,0,12,18,5,0,4,0,1,0,0,0,0,12,18,2,0,2,0,0,0,0,0,0,6,11,5,0,4,0,1,0,0,0,0,12,18,1,0,1,0,0,0,0,0,0,1,2,2,0,1,0,1,0,0,0,0,4,4
93,2018-10-18,Colorado Avalanche,5,New Jersey Devils,3,,GameState.WIN,GameState.LOSS,0,1,6,3,1,1,0,1,0,0,0,21,15,3,2,0,1,0,0,0,0,0,11,6,3,1,1,0,0,1,0,0,0,10,9,5,2,1,1,0,1,0,0,0,17,14,6,3,1,1,0,1,0,0,0,21,15,0,0,0,0,0,0,0,0,0,0,0,6,3,1,1,0,1,0,0,0,21,15,1,0,0,0,0,1,0,0,0,2,3,2,0,0,1,0,1,0,0,0,4,6,4,4,0,0,0,0,0,0,0,17,4,4,4,0,0,0,0,0,0,0,17,4,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,17,4,4,4,0,0,0,0,0,0,0,17,4,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,17,4,1,1,0,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,0,6,2
101,2018-10-20,Colorado Avalanche,3,Carolina Hurricanes,1,,GameState.WIN,GameState.LOSS,0,1,7,4,1,1,0,1,0,0,0,26,18,3,2,0,1,0,0,0,0,0,11,6,4,2,1,0,0,1,0,0,0,15,12,5,2,1,1,0,1,0,0,0,17,15,7,4,1,1,0,1,0,0,0,26,18,0,0,0,0,0,0,0,0,0,0,0,7,4,1,1,0,1,0,0,0,26,18,1,1,0,0,0,0,0,0,0,5,3,2,1,0,0,0,1,0,0,0,7,6,7,3,2,1,1,0,0,0,0,25,22,3,2,0,1,0,0,0,0,0,14,10,4,1,2,0,1,0,0,0,0,11,12,5,2,2,0,1,0,0,0,0,21,19,7,3,2,1,1,0,0,0,0,25,22,4,1,1,1,1,0,0,0,0,10,10,7,3,2,1,1,0,0,0,0,25,22,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,3,7
118,2018-10-22,Colorado Avalanche,4,Philadelphia Flyers,1,,GameState.WIN,GameState.LOSS,0,1,8,5,1,1,0,1,0,0,0,29,19,3,2,0,1,0,0,0,0,0,11,6,5,3,1,0,0,1,0,0,0,18,13,5,3,0,1,0,1,0,0,0,18,11,8,5,1,1,0,1,0,0,0,29,19,0,0,0,0,0,0,0,0,0,0,0,8,5,1,1,0,1,0,0,0,29,19,1,1,0,0,0,0,0,0,0,3,1,3,2,0,0,0,1,0,0,0,10,7,8,3,4,0,0,0,1,0,0,30,33,4,1,2,0,0,0,1,0,0,13,16,4,2,2,0,0,0,0,0,0,17,17,5,2,2,0,0,0,1,0,0,21,18,8,3,4,0,0,0,1,0,0,30,33,2,1,1,0,0,0,0,0,0,9,12,8,3,4,0,0,0,1,0,0,30,33,1,1,0,0,0,0,0,0,0,5,2,3,1,1,0,0,0,1,0,0,14,13
129,2018-10-24,Tampa Bay Lightning,1,Colorado Avalanche,0,,GameState.WIN,GameState.LOSS,0,1,7,4,1,1,0,0,1,0,0,28,18,5,3,1,0,0,0,1,0,0,18,10,2,1,0,1,0,0,0,0,0,10,8,5,4,0,1,0,0,0,0,0,25,13,7,4,1,1,0,0,1,0,0,28,18,2,1,0,1,0,0,0,0,0,10,8,7,4,1,1,0,0,1,0,0,28,18,1,1,0,0,0,0,0,0,0,6,3,3,2,0,1,0,0,0,0,0,13,9,9,6,1,1,0,1,0,0,0,33,20,3,2,0,1,0,0,0,0,0,11,6,6,4,1,0,0,1,0,0,0,22,14,5,3,0,1,0,1,0,0,0,16,11,9,6,1,1,0,1,0,0,0,33,20,0,0,0,0,0,0,0,0,0,0,0,9,6,1,1,0,1,0,0,0,33,20,1,1,0,0,0,0,0,0,0,4,1,3,3,0,0,0,0,0,0,0,12,5
