,Date,Visitor,AG,Home,HG,OT,ARes,HRes,HWin,AWin,Away_BeforeDate_gp,Away_BeforeDate_win,Away_BeforeDate_loss,Away_BeforeDate_ot_loss,Away_BeforeDate_ot_win,Away_BeforeDate_so_loss,Away_BeforeDate_so_win,Away_BeforeDate_so,Away_BeforeDate_ot,Away_BeforeDate_goals,Away_BeforeDate_goals_against,Away_Home_gp,Away_Home_win,Away_Home_loss,Away_Home_ot_loss,Away_Home_ot_win,Away_Home_so_loss,Away_Home_so_win,Away_Home_so,Away_Home_ot,Away_Home_goals,Away_Home_goals_against,Away_Away_gp,Away_Away_win,Away_Away_loss,Away_Away_ot_loss,Away_Away_ot_win,Away_Away_so_loss,Away_Away_so_win,Away_Away_so,Away_Away_ot,Away_Away_goals,Away_Away_goals_against,Away_Last-5_gp,Away_Last-5_win,Away_Last-5_loss,Away_Last-5_ot_loss,Away_Last-5_ot_win,Away_Last-5_so_loss,Away_Last-5_so_win,Away_Last-5_so,Away_Last-5_ot,Away_Last-5_goals,Away_Last-5_goals_against,Away_Last-10_gp,Away_Last-10_win,Away_Last-10_loss,Away_Last-10_ot_loss,Away_Last-10_ot_win,Away_Last-10_so_loss,Away_Last-10_so_win,Away_Last-10_so,Away_Last-10_ot,Away_Last-10_goals,Away_Last-10_goals_against,Away_B2B_gp,Away_B2B_win,Away_B2B_loss,Away_B2B_ot_loss,Away_B2B_ot_win,Away_B2B_so_loss,Away_B2B_so_win,Away_B2B_so,Away_B2B_ot,Away_B2B_goals,Away_B2B_goals_against,Away_ThisMonth_gp,Away_ThisMonth_win,Away_ThisMonth_loss,Away_ThisMonth_ot_loss,Away_ThisMonth_ot_win,Away_ThisMonth_so_loss,Away_ThisMonth_so_win,Away_ThisMonth_so,Away_ThisMonth_ot,Away_ThisMonth_goals,Away_ThisMonth_goals_against,Away_Days-4_gp,Away_Days-4_win,Away_Days-4_loss,Away_Days-4_ot_loss,Away_Days-4_ot_win,Away_Days-4_so_loss,Away_Days-4_so_win,Away_Days-4_so,Away_Days-4_ot,Away_Days-4_goals,Away_Days-4_goals_against,Away_Days-7_gp,Away_Days-7_win,Away_Days-7_loss,Away_Days-7_ot_loss,Away_Days-7_ot_win,Away_Days-7_so_loss,Away_Days-7_so_win,Away_Days-7_so,Away_Days-7_ot,Away_Days-7_goals,Away_Days-7_goals_against,Home_BeforeDate_gp,Home_BeforeDate_win,Home_BeforeDate_loss,Home_BeforeDate_ot_loss,Home_BeforeDate_ot_win,Home_BeforeDate_so_loss,Home_BeforeDate_so_win,Home_BeforeDate_so,Home_BeforeDate_ot,Home_BeforeDate_goals,Home_BeforeDate_goals_against,Home_Home_gp,Home_Home_win,Home_Home_loss,Home_Home_ot_loss,Home_Home_ot_win,Home_Home_so_loss,Home_Home_so_win,Home_Home_so,Home_Home_ot,Home_Home_goals,Home_Home_goals_against,Home_Away_gp,Home_Away_win,Home_Away_loss,Home_Away_ot_loss,Home_Away_ot_win,Home_Away_so_loss,Home_Away_so_win,Home_Away_so,Home_Away_ot,Home_Away_goals,Home_Away_goals_against,Home_Last-5_gp,Home_Last-5_win,Home_Last-5_loss,Home_Last-5_ot_loss,Home_Last-5_ot_win,Home_Last-5_so_loss,Home_Last-5_so_win,Home_Last-5_so,Home_Last-5_ot,Home_Last-5_goals,Home_Last-5_goals_against,Home_Last-10_gp,Home_Last-10_win,Home_Last-10_loss,Home_Last-10_ot_loss,Home_Last-10_ot_win,Home_Last-10_so_loss,Home_Last-10_so_win,Home_Last-10_so,Home_Last-10_ot,Home_Last-10_goals,Home_Last-10_goals_against,Home_B2B_gp,Home_B2B_win,Home_B2B_loss,Home_B2B_ot_loss,Home_B2B_ot_win,Home_B2B_so_loss,Home_B2B_so_win,Home_B2B_so,Home_B2B_ot,Home_B2B_goals,Home_B2B_goals_against,Home_ThisMonth_gp,Home_ThisMonth_win,Home_ThisMonth_loss,Home_ThisMonth_ot_loss,Home_ThisMonth_ot_win,Home_ThisMonth_so_loss,Home_ThisMonth_so_win,Home_ThisMonth_so,Home_ThisMonth_ot,Home_ThisMonth_goals,Home_ThisMonth_goals_against,Home_Days-4_gp,Home_Days-4_win,Home_Days-4_loss,Home_Days-4_ot_loss,Home_Days-4_ot_win,Home_Days-4_so_loss,Home_Days-4_so_win,Home_Days-4_so,Home_Days-4_ot,Home_Days-4_goals,Home_Days-4_goals_against,Home_Days-7_gp,Home_Days-7_win,Home_Days-7_loss,Home_Days-7_ot_loss,Home_Days-7_ot_win,Home_Days-7_so_loss,Home_Days-7_so_win,Home_Days-7_so,Home_Days-7_ot,Home_Days-7_goals,Home_Days-7_goals_against
7,2018-10-04,Arizona Coyotes,0,Dallas Stars,3,,GameState.LOSS,GameState.WIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2018-10-06,Winnipeg Jets,1,Dallas Stars,5,,GameState.LOSS,GameState.WIN,1,0,1,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,3,0
37,2018-10-09,Toronto Maple Leafs,7,Dallas Stars,4,,GameState.WIN,GameState.LOSS,0,1,3,0,1,0,2,0,0,0,0,13,13,2,0,1,0,1,0,0,0,0,6,7,1,0,0,0,1,0,0,0,0,7,6,3,0,1,0,2,0,0,0,0,13,13,3,0,1,0,2,0,0,0,0,13,13,2,0,1,0,1,0,0,0,0,10,11,3,0,1,0,2,0,0,0,0,13,13,2,0,1,0,1,0,0,0,0,10,11,3,0,1,0,2,0,0,0,0,13,13,2,2,0,0,0,0,0,0,0,8,1,2,2,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,8,1,2,2,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,8,1,1,1,0,0,0,0,0,0,0,5,1,2,2,0,0,0,0,0,0,0,8,1
60,2018-10-13,Anaheim Ducks,3,Dallas Stars,5,,GameState.LOSS,GameState.WIN,1,0,4,2,0,0,0,1,1,0,0,11,7,2,0,0,0,0,1,1,0,0,5,5,2,2,0,0,0,0,0,0,0,6,2,4,2,0,0,0,1,1,0,0,11,7,4,2,0,0,0,1,1,0,0,11,7,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1,1,0,0,11,7,1,0,0,0,0,1,0,0,0,2,3,2,0,0,0,0,1,1,0,0,5,5,3,2,1,0,0,0,0,0,0,12,8,3,2,1,0,0,0,0,0,0,12,8,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,12,8,3,2,1,0,0,0,0,0,0,12,8,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,12,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,7
75,2018-10-15,Dallas Stars,1,Ottawa Senators,4,,GameState.LOSS,GameState.WIN,1,0,4,3,1,0,0,0,0,0,0,17,11,4,3,1,0,0,0,0,0,0,17,11,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,17,11,4,3,1,0,0,0,0,0,0,17,11,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,17,11,1,1,0,0,0,0,0,0,0,5,3,2,1,1,0,0,0,0,0,0,9,10,5,2,2,1,0,0,0,0,0,20,21,3,1,1,1,0,0,0,0,0,12,12,2,1,1,0,0,0,0,0,0,8,9,5,2,2,1,0,0,0,0,0,20,21,5,2,2,1,0,0,0,0,0,20,21,0,0,0,0,0,0,0,0,0,0,0,5,2,2,1,0,0,0,0,0,20,21,1,1,0,0,0,0,0,0,0,5,1,2,1,1,0,0,0,0,0,0,9,8
78,2018-10-16,Dallas Stars,0,New Jersey Devils,3,,GameState.LOSS,GameState.WIN,1,0,5,3,2,0,0,0,0,0,0,18,15,4,3,1,0,0,0,0,0,0,17,11,1,0,1,0,0,0,0,0,0,1,4,5,3,2,0,0,0,0,0,0,18,15,5,3,2,0,0,0,0,0,0,18,15,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,18,15,2,1,1,0,0,0,0,0,0,6,7,2,1,1,0,0,0,0,0,0,6,7,3,3,0,0,0,0,0,0,0,14,4,3,3,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,14,4,3,3,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,14,4,1,1,0,0,0,0,0,0,0,3,2,2,2,0,0,0,0,0,0,0,9,2
99,2018-10-19,Minnesota Wild,3,Dallas Stars,1,,GameState.WIN,GameState.LOSS,0,1,6,1,2,1,1,1,0,0,0,14,19,4,1,0,1,1,1,0,0,0,11,11,2,0,2,0,0,0,0,0,0,3,8,5,1,1,1,1,1,0,0,0,13,15,6,1,2,1,1,1,0,0,0,14,19,2,1,1,0,0,0,0,0,0,4,5,6,1,2,1,1,1,0,0,0,14,19,1,1,0,0,0,0,0,0,0,2,1,3,1,1,1,0,0,0,0,0,8,10,6,3,3,0,0,0,0,0,0,18,18,4,3,1,0,0,0,0,0,0,17,11,2,0,2,0,0,0,0,0,0,1,7,5,2,3,0,0,0,0,0,0,15,18,6,3,3,0,0,0,0,0,0,18,18,2,0,2,0,0,0,0,0,0,1,7,6,3,3,0,0,0,0,0,0,18,18,1,0,1,0,0,0,0,0,0,0,3,3,1,2,0,0,0,0,0,0,6,10
123,2018-10-23,Los Angeles Kings,2,Dallas Stars,4,,GameState.LOSS,GameState.WIN,1,0,8,2,5,1,0,0,0,0,0,15,28,4,1,2,1,0,0,0,0,0,9,17,4,1,3,0,0,0,0,0,0,6,11,5,1,4,0,0,0,0,0,0,8,21,8,2,5,1,0,0,0,0,0,15,28,0,0,0,0,0,0,0,0,0,0,0,8,2,5,1,0,0,0,0,0,15,28,1,0,1,0,0,0,0,0,0,1,5,2,0,2,0,0,0,0,0,0,3,12,7,3,4,0,0,0,0,0,0,19,21,5,3,2,0,0,0,0,0,0,18,14,2,0,2,0,0,0,0,0,0,1,7,5,1,4,0,0,0,0,0,0,11,20,7,3,4,0,0,0,0,0,0,19,21,2,0,2,0,0,0,0,0,0,1,7,7,3,4,0,0,0,0,0,0,19,21,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,3
138,2018-10-25,Anaheim Ducks,2,Dallas Stars,5,,GameState.LOSS,GameState.WIN,1,0,10,4,4,0,0,1,1,0,0,25,25,4,1,1,0,0,1,1,0,0,11,10,6,3,3,0,0,0,0,0,0,14,15,5,2,3,0,0,0,0,0,0,11,13,10,4,4,0,0,1,1,0,0,25,25,4,1,3,0,0,0,0,0,0,9,14,10,4,4,0,0,1,1,0,0,25,25,1,0,1,0,0,0,0,0,0,1,3,3,0,3,0,0,0,0,0,0,4,10,8,4,4,0,0,0,0,0,0,23,23,6,4,2,0,0,0,0,0,0,22,16,2,0,2,0,0,0,0,0,0,1,7,5,2,3,0,0,0,0,0,0,11,15,8,4,4,0,0,0,0,0,0,23,23,2,0,2,0,0,0,0,0,0,1,7,8,4,4,0,0,0,0,0,0,23,23,1,1,0,0,0,0,0,0,0,4,2,2,1,1,0,0,0,0,0,0,5,5
161,2018-10-28,Dallas Stars,2,Detroit Red Wings,4,,GameState.LOSS,GameState.WIN,1,0,9,5,4,0,0,0,0,0,0,28,25,7,5,2,0,0,0,0,0,0,27,18,2,0,2,0,0,0,0,0,0,1,7,5,2,3,0,0,0,0,0,0,11,14,9,5,4,0,0,0,0,0,0,28,25,2,0,2,0,0,0,0,0,0,1,7,9,5,4,0,0,0,0,0,0,28,25,1,1,0,0,0,0,0,0,0,5,2,2,2,0,0,0,0,0,0,0,9,4,10,0,7,1,1,1,0,0,0,21,41,4,0,3,1,0,0,0,0,0,7,13,6,0,4,0,1,1,0,0,0,14,28,5,0,4,0,1,0,0,0,0,10,18,10,0,7,1,1,1,0,0,0,21,41,2,0,1,0,0,1,0,0,0,4,7,10,0,7,1,1,1,0,0,0,21,41,1,0,1,0,0,0,0,0,0,1,2,2,0,2,0,0,0,0,0,0,2,5
