,Date,Visitor,AG,Home,HG,OT,ARes,HRes,HWin,AWin,Away_BeforeDate_gp,Away_BeforeDate_win,Away_BeforeDate_loss,Away_BeforeDate_ot_loss,Away_BeforeDate_ot_win,Away_BeforeDate_so_loss,Away_BeforeDate_so_win,Away_BeforeDate_so,Away_BeforeDate_ot,Away_BeforeDate_goals,Away_BeforeDate_goals_against,Away_Home_gp,Away_Home_win,Away_Home_loss,Away_Home_ot_loss,Away_Home_ot_win,Away_Home_so_loss,Away_Home_so_win,Away_Home_so,Away_Home_ot,Away_Home_goals,Away_Home_goals_against,Away_Away_gp,Away_Away_win,Away_Away_loss,Away_Away_ot_loss,Away_Away_ot_win,Away_Away_so_loss,Away_Away_so_win,Away_Away_so,Away_Away_ot,Away_Away_goals,Away_Away_goals_against,Away_Last-5_gp,Away_Last-5_win,Away_Last-5_loss,Away_Last-5_ot_loss,Away_Last-5_ot_win,Away_Last-5_so_loss,Away_Last-5_so_win,Away_Last-5_so,Away_Last-5_ot,Away_Last-5_goals,Away_Last-5_goals_against,Away_Last-10_gp,Away_Last-10_win,Away_Last-10_loss,Away_Last-10_ot_loss,Away_Last-10_ot_win,Away_Last-10_so_loss,Away_Last-10_so_win,Away_Last-10_so,Away_Last-10_ot,Away_Last-10_goals,Away_Last-10_goals_against,Away_B2B_gp,Away_B2B_win,Away_B2B_loss,Away_B2B_ot_loss,Away_B2B_ot_win,Away_B2B_so_loss,Away_B2B_so_win,Away_B2B_so,Away_B2B_ot,Away_B2B_goals,Away_B2B_goals_against,Away_ThisMonth_gp,Away_ThisMonth_win,Away_ThisMonth_loss,Away_ThisMonth_ot_loss,Away_ThisMonth_ot_win,Away_ThisMonth_so_loss,Away_ThisMonth_so_win,Away_ThisMonth_so,Away_ThisMonth_ot,Away_ThisMonth_goals,Away_ThisMonth_goals_against,Away_Days-4_gp,Away_Days-4_win,Away_Days-4_loss,Away_Days-4_ot_loss,Away_Days-4_ot_win,Away_Days-4_so_loss,Away_Days-4_so_win,Away_Days-4_so,Away_Days-4_ot,Away_Days-4_goals,Away_Days-4_goals_against,Away_Days-7_gp,Away_Days-7_win,Away_Days-7_loss,Away_Days-7_ot_loss,Away_Days-7_ot_win,Away_Days-7_so_loss,Away_Days-7_so_win,Away_Days-7_so,Away_Days-7_ot,Away_Days-7_goals,Away_Days-7_goals_against,Home_BeforeDate_gp,Home_BeforeDate_win,Home_BeforeDate_loss,Home_BeforeDate_ot_loss,Home_BeforeDate_ot_win,Home_BeforeDate_so_loss,Home_BeforeDate_so_win,Home_BeforeDate_so,Home_BeforeDate_ot,Home_BeforeDate_goals,Home_BeforeDate_goals_against,Home_Home_gp,Home_Home_win,Home_Home_loss,Home_Home_ot_loss,Home_Home_ot_win,Home_Home_so_loss,Home_Home_so_win,Home_Home_so,Home_Home_ot,Home_Home_goals,Home_Home_goals_against,Home_Away_gp,Home_Away_win,Home_Away_loss,Home_Away_ot_loss,Home_Away_ot_win,Home_Away_so_loss,Home_Away_so_win,Home_Away_so,Home_Away_ot,Home_Away_goals,Home_Away_goals_against,Home_Last-5_gp,Home_Last-5_win,Home_Last-5_loss,Home_Last-5_ot_loss,Home_Last-5_ot_win,Home_Last-5_so_loss,Home_Last-5_so_win,Home_Last-5_so,Home_Last-5_ot,Home_Last-5_goals,Home_Last-5_goals_against,Home_Last-10_gp,Home_Last-10_win,Home_Last-10_loss,Home_Last-10_ot_loss,Home_Last-10_ot_win,Home_Last-10_so_loss,Home_Last-10_so_win,Home_Last-10_so,Home_Last-10_ot,Home_Last-10_goals,Home_Last-10_goals_against,Home_B2B_gp,Home_B2B_win,Home_B2B_loss,Home_B2B_ot_loss,Home_B2B_ot_win,Home_B2B_so_loss,Home_B2B_so_win,Home_B2B_so,Home_B2B_ot,Home_B2B_goals,Home_B2B_goals_against,Home_ThisMonth_gp,Home_ThisMonth_win,Home_ThisMonth_loss,Home_ThisMonth_ot_loss,Home_ThisMonth_ot_win,Home_ThisMonth_so_loss,Home_ThisMonth_so_win,Home_ThisMonth_so,Home_ThisMonth_ot,Home_ThisMonth_goals,Home_ThisMonth_goals_against,Home_Days-4_gp,Home_Days-4_win,Home_Days-4_loss,Home_Days-4_ot_loss,Home_Days-4_ot_win,Home_Days-4_so_loss,Home_Days-4_so_win,Home_Days-4_so,Home_Days-4_ot,Home_Days-4_goals,Home_Days-4_goals_against,Home_Days-7_gp,Home_Days-7_win,Home_Days-7_loss,Home_Days-7_ot_loss,Home_Days-7_ot_win,Home_Days-7_so_loss,Home_Days-7_so_win,Home_Days-7_so,Home_Days-7_ot,Home_Days-7_goals,Home_Days-7_goals_against
22,2018-10-06,Edmonton Oilers,2,New Jersey Devils,5,,GameState.LOSS,GameState.WIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2018-10-11,Edmonton Oilers,1,Boston Bruins,4,,GameState.LOSS,GameState.WIN,1,0,1,0,1,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,5,1,0,1,0,0,0,0,0,0,2,5,1,0,1,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,5,3,2,1,0,0,0,0,0,0,10,10,1,1,0,0,0,0,0,0,0,6,3,2,1,1,0,0,0,0,0,0,4,7,3,2,1,0,0,0,0,0,0,10,10,3,2,1,0,0,0,0,0,0,10,10,2,1,1,0,0,0,0,0,0,4,7,3,2,1,0,0,0,0,0,0,10,10,1,1,0,0,0,0,0,0,0,6,3,1,1,0,0,0,0,0,0,0,6,3
65,2018-10-13,Edmonton Oilers,2,New York Rangers,1,,GameState.WIN,GameState.LOSS,0,1,2,0,2,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,3,9,2,0,2,0,0,0,0,0,0,3,9,2,0,2,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,3,9,1,0,1,0,0,0,0,0,0,1,4,1,0,1,0,0,0,0,0,0,1,4,4,0,3,0,1,0,0,0,0,11,16,2,0,1,0,1,0,0,0,0,5,5,2,0,2,0,0,0,0,0,0,6,11,4,0,3,0,1,0,0,0,0,11,16,4,0,3,0,1,0,0,0,0,11,16,2,0,2,0,0,0,0,0,0,6,11,4,0,3,0,1,0,0,0,0,11,16,1,0,0,0,1,0,0,0,0,3,2,2,0,1,0,1,0,0,0,0,8,10
84,2018-10-16,Edmonton Oilers,5,Winnipeg Jets,4,OT,GameState.OT_WIN,GameState.OT_LOSS,0,1,3,1,2,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,5,10,3,1,2,0,0,0,0,0,0,5,10,3,1,2,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,5,10,1,1,0,0,0,0,0,0,0,2,1,2,1,1,0,0,0,0,0,0,3,5,5,3,2,0,0,0,0,0,0,11,11,2,2,0,0,0,0,0,0,0,5,2,3,1,2,0,0,0,0,0,0,6,9,5,3,2,0,0,0,0,0,0,11,11,5,3,2,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,11,11,1,1,0,0,0,0,0,0,0,3,1,2,1,1,0,0,0,0,0,0,3,4
91,2018-10-18,Boston Bruins,2,Edmonton Oilers,3,OT,GameState.OT_LOSS,GameState.OT_WIN,1,0,6,4,2,0,0,0,0,0,0,24,18,3,3,0,0,0,0,0,0,0,18,6,3,1,2,0,0,0,0,0,0,6,12,5,4,1,0,0,0,0,0,0,24,11,6,4,2,0,0,0,0,0,0,24,18,2,1,1,0,0,0,0,0,0,4,7,6,4,2,0,0,0,0,0,0,24,18,1,0,1,0,0,0,0,0,0,2,5,2,1,1,0,0,0,0,0,0,10,7,4,1,2,0,1,0,0,0,0,10,14,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,1,0,0,0,0,10,14,4,1,2,0,1,0,0,0,0,10,14,4,1,2,0,1,0,0,0,0,10,14,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,1,0,0,0,0,10,14,1,0,0,0,1,0,0,0,0,5,4,2,1,0,0,1,0,0,0,0,7,5
103,2018-10-20,Nashville Predators,3,Edmonton Oilers,0,,GameState.WIN,GameState.LOSS,0,1,7,6,1,0,0,0,0,0,0,24,15,4,3,1,0,0,0,0,0,0,12,7,3,3,0,0,0,0,0,0,0,12,8,5,4,1,0,0,0,0,0,0,17,10,7,6,1,0,0,0,0,0,0,24,15,0,0,0,0,0,0,0,0,0,0,0,7,6,1,0,0,0,0,0,0,24,15,1,1,0,0,0,0,0,0,0,5,3,2,2,0,0,0,0,0,0,0,9,5,5,1,2,0,2,0,0,0,0,13,16,1,0,0,0,1,0,0,0,0,3,2,4,1,2,0,1,0,0,0,0,10,14,5,1,2,0,2,0,0,0,0,13,16,5,1,2,0,2,0,0,0,0,13,16,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,2,0,0,0,0,13,16,1,0,0,0,1,0,0,0,0,3,2,2,0,0,0,2,0,0,0,0,8,6
124,2018-10-23,Pittsburgh Penguins,6,Edmonton Oilers,5,OT,GameState.OT_WIN,GameState.OT_LOSS,0,1,6,2,1,1,1,1,0,0,0,20,20,4,1,1,1,1,0,0,0,0,14,16,2,1,0,0,0,1,0,0,0,6,4,5,2,1,1,0,1,0,0,0,13,14,6,2,1,1,1,1,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,6,2,1,1,1,1,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,6,1,3,0,2,0,0,0,0,13,19,2,0,1,0,1,0,0,0,0,3,5,4,1,2,0,1,0,0,0,0,10,14,5,1,2,0,2,0,0,0,0,11,14,6,1,3,0,2,0,0,0,0,13,19,0,0,0,0,0,0,0,0,0,0,0,6,1,3,0,2,0,0,0,0,13,19,1,0,1,0,0,0,0,0,0,0,3,2,0,1,0,1,0,0,0,0,3,5
139,2018-10-25,Washington Capitals,1,Edmonton Oilers,4,,GameState.LOSS,GameState.WIN,1,0,8,3,2,1,1,1,0,0,0,34,30,5,2,1,0,1,1,0,0,0,23,15,3,1,1,1,0,0,0,0,0,11,15,5,1,2,0,1,1,0,0,0,16,21,8,3,2,1,1,1,0,0,0,34,30,4,2,1,1,0,0,0,0,0,18,15,8,3,2,1,1,1,0,0,0,34,30,1,1,0,0,0,0,0,0,0,5,2,2,1,0,0,0,1,0,0,0,10,8,7,1,3,1,2,0,0,0,0,18,25,3,0,1,1,1,0,0,0,0,8,11,4,1,2,0,1,0,0,0,0,10,14,5,1,1,1,2,0,0,0,0,15,16,7,1,3,1,2,0,0,0,0,18,25,0,0,0,0,0,0,0,0,0,0,0,7,1,3,1,2,0,0,0,0,18,25,1,0,0,1,0,0,0,0,0,5,6,2,0,1,1,0,0,0,0,0,5,9
153,2018-10-27,Edmonton Oilers,5,Nashville Predators,3,,GameState.WIN,GameState.LOSS,0,1,8,2,3,1,2,0,0,0,0,22,26,4,1,1,1,1,0,0,0,0,12,12,4,1,2,0,1,0,0,0,0,10,14,5,1,1,1,2,0,0,0,0,17,16,8,2,3,1,2,0,0,0,0,22,26,0,0,0,0,0,0,0,0,0,0,0,8,2,3,1,2,0,0,0,0,22,26,1,1,0,0,0,0,0,0,0,4,1,2,1,0,1,0,0,0,0,0,9,7,10,7,2,0,1,0,0,0,0,35,23,5,3,2,0,0,0,0,0,0,16,12,5,4,0,0,1,0,0,0,0,19,11,5,3,1,0,1,0,0,0,0,20,13,10,7,2,0,1,0,0,0,0,35,23,2,2,0,0,0,0,0,0,0,8,3,10,7,2,0,1,0,0,0,0,35,23,1,0,0,0,1,0,0,0,0,4,3,2,0,1,0,1,0,0,0,0,8,8
160,2018-10-28,Edmonton Oilers,2,Chicago Blackhawks,1,OT,GameState.OT_WIN,GameState.OT_LOSS,0,1,9,3,3,1,2,0,0,0,0,27,29,4,1,1,1,1,0,0,0,0,12,12,5,2,2,0,1,0,0,0,0,15,17,5,2,1,1,1,0,0,0,0,17,15,9,3,3,1,2,0,0,0,0,27,29,0,0,0,0,0,0,0,0,0,0,0,9,3,3,1,2,0,0,0,0,27,29,2,2,0,0,0,0,0,0,0,9,4,3,2,0,1,0,0,0,0,0,14,10,11,3,3,2,3,0,0,0,0,40,41,6,2,2,1,1,0,0,0,0,21,22,5,1,1,1,2,0,0,0,0,19,19,5,3,2,0,0,0,0,0,0,17,16,10,3,3,2,2,0,0,0,0,36,38,4,1,1,1,1,0,0,0,0,18,18,11,3,3,2,3,0,0,0,0,40,41,2,1,1,0,0,0,0,0,0,7,8,3,2,1,0,0,0,0,0,0,10,9
