,Date,Visitor,AG,Home,HG,OT,ARes,HRes,HWin,AWin,Away_BeforeDate_gp,Away_BeforeDate_win,Away_BeforeDate_loss,Away_BeforeDate_ot_loss,Away_BeforeDate_ot_win,Away_BeforeDate_so_loss,Away_BeforeDate_so_win,Away_BeforeDate_so,Away_BeforeDate_ot,Away_BeforeDate_goals,Away_BeforeDate_goals_against,Away_Home_gp,Away_Home_win,Away_Home_loss,Away_Home_ot_loss,Away_Home_ot_win,Away_Home_so_loss,Away_Home_so_win,Away_Home_so,Away_Home_ot,Away_Home_goals,Away_Home_goals_against,Away_Away_gp,Away_Away_win,Away_Away_loss,Away_Away_ot_loss,Away_Away_ot_win,Away_Away_so_loss,Away_Away_so_win,Away_Away_so,Away_Away_ot,Away_Away_goals,Away_Away_goals_against,Away_Last-5_gp,Away_Last-5_win,Away_Last-5_loss,Away_Last-5_ot_loss,Away_Last-5_ot_win,Away_Last-5_so_loss,Away_Last-5_so_win,Away_Last-5_so,Away_Last-5_ot,Away_Last-5_goals,Away_Last-5_goals_against,Away_Last-10_gp,Away_Last-10_win,Away_Last-10_loss,Away_Last-10_ot_loss,Away_Last-10_ot_win,Away_Last-10_so_loss,Away_Last-10_so_win,Away_Last-10_so,Away_Last-10_ot,Away_Last-10_goals,Away_Last-10_goals_against,Away_B2B_gp,Away_B2B_win,Away_B2B_loss,Away_B2B_ot_loss,Away_B2B_ot_win,Away_B2B_so_loss,Away_B2B_so_win,Away_B2B_so,Away_B2B_ot,Away_B2B_goals,Away_B2B_goals_against,Away_ThisMonth_gp,Away_ThisMonth_win,Away_ThisMonth_loss,Away_ThisMonth_ot_loss,Away_ThisMonth_ot_win,Away_ThisMonth_so_loss,Away_ThisMonth_so_win,Away_ThisMonth_so,Away_ThisMonth_ot,Away_ThisMonth_goals,Away_ThisMonth_goals_against,Away_Days-4_gp,Away_Days-4_win,Away_Days-4_loss,Away_Days-4_ot_loss,Away_Days-4_ot_win,Away_Days-4_so_loss,Away_Days-4_so_win,Away_Days-4_so,Away_Days-4_ot,Away_Days-4_goals,Away_Days-4_goals_against,Away_Days-7_gp,Away_Days-7_win,Away_Days-7_loss,Away_Days-7_ot_loss,Away_Days-7_ot_win,Away_Days-7_so_loss,Away_Days-7_so_win,Away_Days-7_so,Away_Days-7_ot,Away_Days-7_goals,Away_Days-7_goals_against,Home_BeforeDate_gp,Home_BeforeDate_win,Home_BeforeDate_loss,Home_BeforeDate_ot_loss,Home_BeforeDate_ot_win,Home_BeforeDate_so_loss,Home_BeforeDate_so_win,Home_BeforeDate_so,Home_BeforeDate_ot,Home_BeforeDate_goals,Home_BeforeDate_goals_against,Home_Home_gp,Home_Home_win,Home_Home_loss,Home_Home_ot_loss,Home_Home_ot_win,Home_Home_so_loss,Home_Home_so_win,Home_Home_so,Home_Home_ot,Home_Home_goals,Home_Home_goals_against,Home_Away_gp,Home_Away_win,Home_Away_loss,Home_Away_ot_loss,Home_Away_ot_win,Home_Away_so_loss,Home_Away_so_win,Home_Away_so,Home_Away_ot,Home_Away_goals,Home_Away_goals_against,Home_Last-5_gp,Home_Last-5_win,Home_Last-5_loss,Home_Last-5_ot_loss,Home_Last-5_ot_win,Home_Last-5_so_loss,Home_Last-5_so_win,Home_Last-5_so,Home_Last-5_ot,Home_Last-5_goals,Home_Last-5_goals_against,Home_Last-10_gp,Home_Last-10_win,Home_Last-10_loss,Home_Last-10_ot_loss,Home_Last-10_ot_win,Home_Last-10_so_loss,Home_Last-10_so_win,Home_Last-10_so,Home_Last-10_ot,Home_Last-10_goals,Home_Last-10_goals_against,Home_B2B_gp,Home_B2B_win,Home_B2B_loss,Home_B2B_ot_loss,Home_B2B_ot_win,Home_B2B_so_loss,Home_B2B_so_win,Home_B2B_so,Home_B2B_ot,Home_B2B_goals,Home_B2B_goals_against,Home_ThisMonth_gp,Home_ThisMonth_win,Home_ThisMonth_loss,Home_ThisMonth_ot_loss,Home_ThisMonth_ot_win,Home_ThisMonth_so_loss,Home_ThisMonth_so_win,Home_ThisMonth_so,Home_ThisMonth_ot,Home_ThisMonth_goals,Home_ThisMonth_goals_against,Home_Days-4_gp,Home_Days-4_win,Home_Days-4_loss,Home_Days-4_ot_loss,Home_Days-4_ot_win,Home_Days-4_so_loss,Home_Days-4_so_win,Home_Days-4_so,Home_Days-4_ot,Home_Days-4_goals,Home_Days-4_goals_against,Home_Days-7_gp,Home_Days-7_win,Home_Days-7_loss,Home_Days-7_ot_loss,Home_Days-7_ot_win,Home_Days-7_so_loss,Home_Days-7_so_win,Home_Days-7_so,Home_Days-7_ot,Home_Days-7_goals,Home_Days-7_goals_against
15,2018-10-05,San Jose Sharks,3,Los Angeles Kings,2,OT,GameState.OT_WIN,GameState.OT_LOSS,0,1,1,0,1,0,0,0,0,0,0,2,5,1,0,1,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,5,1,0,1,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,5,1,0,1,0,0,0,0,0,0,2,5,1,0,1,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2018-10-07,Detroit Red Wings,2,Los Angeles Kings,4,,GameState.LOSS,GameState.WIN,1,0,1,0,0,1,0,0,0,0,0,2,3,1,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,3,1,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,3,1,0,0,1,0,0,0,0,0,2,3,1,0,0,1,0,0,0,0,0,2,3,1,0,0,1,0,0,0,0,0,2,3,1,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,3,1,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,3,1,0,0,1,0,0,0,0,0,2,3,1,0,0,1,0,0,0,0,0,2,3
40,2018-10-09,Los Angeles Kings,1,Winnipeg Jets,2,,GameState.LOSS,GameState.WIN,1,0,2,1,0,1,0,0,0,0,0,6,5,2,1,0,1,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,6,5,2,1,0,1,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,6,5,1,1,0,0,0,0,0,0,0,4,2,2,1,0,1,0,0,0,0,0,6,5,2,1,1,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,6,6,2,1,1,0,0,0,0,0,0,6,6,2,1,1,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,6,6,1,0,1,0,0,0,0,0,0,1,5,2,1,1,0,0,0,0,0,0,6,6
49,2018-10-11,Los Angeles Kings,3,Montreal Canadiens,0,,GameState.WIN,GameState.LOSS,0,1,3,1,1,1,0,0,0,0,0,7,7,2,1,0,1,0,0,0,0,0,6,5,1,0,1,0,0,0,0,0,0,1,2,3,1,1,1,0,0,0,0,0,7,7,3,1,1,1,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,7,7,1,0,1,0,0,0,0,0,0,1,2,3,1,1,1,0,0,0,0,0,7,7,2,1,0,1,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,7,4,2,1,0,1,0,0,0,0,0,7,4,2,1,0,1,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,1
66,2018-10-13,Los Angeles Kings,1,Ottawa Senators,5,,GameState.LOSS,GameState.WIN,1,0,4,2,1,1,0,0,0,0,0,10,7,2,1,0,1,0,0,0,0,0,6,5,2,1,1,0,0,0,0,0,0,4,2,4,2,1,1,0,0,0,0,0,10,7,4,2,1,1,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1,0,0,0,0,0,10,7,1,1,0,0,0,0,0,0,0,3,0,3,2,1,0,0,0,0,0,0,8,4,4,1,2,1,0,0,0,0,0,15,20,2,0,1,1,0,0,0,0,0,7,11,2,1,1,0,0,0,0,0,0,8,9,4,1,2,1,0,0,0,0,0,15,20,4,1,2,1,0,0,0,0,0,15,20,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,0,0,0,0,0,15,20,1,0,1,0,0,0,0,0,0,4,7,2,0,2,0,0,0,0,0,0,7,13
76,2018-10-15,Los Angeles Kings,1,Toronto Maple Leafs,4,,GameState.LOSS,GameState.WIN,1,0,5,2,2,1,0,0,0,0,0,11,12,2,1,0,1,0,0,0,0,0,6,5,3,1,2,0,0,0,0,0,0,5,7,5,2,2,1,0,0,0,0,0,11,12,5,2,2,1,0,0,0,0,0,11,12,0,0,0,0,0,0,0,0,0,0,0,5,2,2,1,0,0,0,0,0,11,12,1,0,1,0,0,0,0,0,0,1,5,3,1,2,0,0,0,0,0,0,5,7,6,3,1,0,2,0,0,0,0,29,22,2,0,1,0,1,0,0,0,0,6,7,4,3,0,0,1,0,0,0,0,23,15,5,3,1,0,1,0,0,0,0,26,20,6,3,1,0,2,0,0,0,0,29,22,2,0,1,0,1,0,0,0,0,10,11,6,3,1,0,2,0,0,0,0,29,22,1,1,0,0,0,0,0,0,0,4,2,3,3,0,0,0,0,0,0,0,16,9
92,2018-10-18,New York Islanders,7,Los Angeles Kings,2,,GameState.WIN,GameState.LOSS,0,1,5,1,3,0,1,0,0,0,0,12,14,2,1,1,0,0,0,0,0,0,7,4,3,0,2,0,1,0,0,0,0,5,10,5,1,3,0,1,0,0,0,0,12,14,5,1,3,0,1,0,0,0,0,12,14,0,0,0,0,0,0,0,0,0,0,0,5,1,3,0,1,0,0,0,0,12,14,1,0,1,0,0,0,0,0,0,1,4,2,0,2,0,0,0,0,0,0,3,9,6,2,3,1,0,0,0,0,0,12,16,2,1,0,1,0,0,0,0,0,6,5,4,1,3,0,0,0,0,0,0,6,11,5,2,3,0,0,0,0,0,0,10,13,6,2,3,1,0,0,0,0,0,12,16,0,0,0,0,0,0,0,0,0,0,0,6,2,3,1,0,0,0,0,0,12,16,1,0,1,0,0,0,0,0,0,1,4,2,0,2,0,0,0,0,0,0,2,9
105,2018-10-20,Buffalo Sabres,5,Los Angeles Kings,1,,GameState.WIN,GameState.LOSS,0,1,7,3,4,0,0,0,0,0,0,13,22,4,2,2,0,0,0,0,0,0,8,13,3,1,2,0,0,0,0,0,0,5,9,5,2,3,0,0,0,0,0,0,10,17,7,3,4,0,0,0,0,0,0,13,22,0,0,0,0,0,0,0,0,0,0,0,7,3,4,0,0,0,0,0,0,13,22,1,0,1,0,0,0,0,0,0,1,5,2,0,2,0,0,0,0,0,0,2,9,7,2,4,1,0,0,0,0,0,14,23,3,1,1,1,0,0,0,0,0,8,12,4,1,3,0,0,0,0,0,0,6,11,5,1,4,0,0,0,0,0,0,8,18,7,2,4,1,0,0,0,0,0,14,23,0,0,0,0,0,0,0,0,0,0,0,7,2,4,1,0,0,0,0,0,14,23,1,0,1,0,0,0,0,0,0,2,7,2,0,2,0,0,0,0,0,0,3,11
123,2018-10-23,Los Angeles Kings,2,Dallas Stars,4,,GameState.LOSS,GameState.WIN,1,0,8,2,5,1,0,0,0,0,0,15,28,4,1,2,1,0,0,0,0,0,9,17,4,1,3,0,0,0,0,0,0,6,11,5,1,4,0,0,0,0,0,0,8,21,8,2,5,1,0,0,0,0,0,15,28,0,0,0,0,0,0,0,0,0,0,0,8,2,5,1,0,0,0,0,0,15,28,1,0,1,0,0,0,0,0,0,1,5,2,0,2,0,0,0,0,0,0,3,12,7,3,4,0,0,0,0,0,0,19,21,5,3,2,0,0,0,0,0,0,18,14,2,0,2,0,0,0,0,0,0,1,7,5,1,4,0,0,0,0,0,0,11,20,7,3,4,0,0,0,0,0,0,19,21,2,0,2,0,0,0,0,0,0,1,7,7,3,4,0,0,0,0,0,0,19,21,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,3
140,2018-10-25,Los Angeles Kings,1,Minnesota Wild,4,,GameState.LOSS,GameState.WIN,1,0,9,2,6,1,0,0,0,0,0,17,32,4,1,2,1,0,0,0,0,0,9,17,5,1,4,0,0,0,0,0,0,8,15,5,0,5,0,0,0,0,0,0,7,25,9,2,6,1,0,0,0,0,0,17,32,0,0,0,0,0,0,0,0,0,0,0,9,2,6,1,0,0,0,0,0,17,32,1,0,1,0,0,0,0,0,0,2,4,2,0,2,0,0,0,0,0,0,3,9,8,2,2,1,2,1,0,0,0,22,24,5,1,0,1,2,1,0,0,0,16,15,3,1,2,0,0,0,0,0,0,6,9,5,2,1,1,1,0,0,0,0,16,15,8,2,2,1,2,1,0,0,0,22,24,4,2,1,0,1,0,0,0,0,12,10,8,2,2,1,2,1,0,0,0,22,24,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,8,5
