,Date,Visitor,AG,Home,HG,OT,ARes,HRes,HWin,AWin,Away_BeforeDate_gp,Away_BeforeDate_win,Away_BeforeDate_loss,Away_BeforeDate_ot_loss,Away_BeforeDate_ot_win,Away_BeforeDate_so_loss,Away_BeforeDate_so_win,Away_BeforeDate_so,Away_BeforeDate_ot,Away_BeforeDate_goals,Away_BeforeDate_goals_against,Away_Home_gp,Away_Home_win,Away_Home_loss,Away_Home_ot_loss,Away_Home_ot_win,Away_Home_so_loss,Away_Home_so_win,Away_Home_so,Away_Home_ot,Away_Home_goals,Away_Home_goals_against,Away_Away_gp,Away_Away_win,Away_Away_loss,Away_Away_ot_loss,Away_Away_ot_win,Away_Away_so_loss,Away_Away_so_win,Away_Away_so,Away_Away_ot,Away_Away_goals,Away_Away_goals_against,Away_Last-5_gp,Away_Last-5_win,Away_Last-5_loss,Away_Last-5_ot_loss,Away_Last-5_ot_win,Away_Last-5_so_loss,Away_Last-5_so_win,Away_Last-5_so,Away_Last-5_ot,Away_Last-5_goals,Away_Last-5_goals_against,Away_Last-10_gp,Away_Last-10_win,Away_Last-10_loss,Away_Last-10_ot_loss,Away_Last-10_ot_win,Away_Last-10_so_loss,Away_Last-10_so_win,Away_Last-10_so,Away_Last-10_ot,Away_Last-10_goals,Away_Last-10_goals_against,Away_B2B_gp,Away_B2B_win,Away_B2B_loss,Away_B2B_ot_loss,Away_B2B_ot_win,Away_B2B_so_loss,Away_B2B_so_win,Away_B2B_so,Away_B2B_ot,Away_B2B_goals,Away_B2B_goals_against,Away_ThisMonth_gp,Away_ThisMonth_win,Away_ThisMonth_loss,Away_ThisMonth_ot_loss,Away_ThisMonth_ot_win,Away_ThisMonth_so_loss,Away_ThisMonth_so_win,Away_ThisMonth_so,Away_ThisMonth_ot,Away_ThisMonth_goals,Away_ThisMonth_goals_against,Away_Days-4_gp,Away_Days-4_win,Away_Days-4_loss,Away_Days-4_ot_loss,Away_Days-4_ot_win,Away_Days-4_so_loss,Away_Days-4_so_win,Away_Days-4_so,Away_Days-4_ot,Away_Days-4_goals,Away_Days-4_goals_against,Away_Days-7_gp,Away_Days-7_win,Away_Days-7_loss,Away_Days-7_ot_loss,Away_Days-7_ot_win,Away_Days-7_so_loss,Away_Days-7_so_win,Away_Days-7_so,Away_Days-7_ot,Away_Days-7_goals,Away_Days-7_goals_against,Home_BeforeDate_gp,Home_BeforeDate_win,Home_BeforeDate_loss,Home_BeforeDate_ot_loss,Home_BeforeDate_ot_win,Home_BeforeDate_so_loss,Home_BeforeDate_so_win,Home_BeforeDate_so,Home_BeforeDate_ot,Home_BeforeDate_goals,Home_BeforeDate_goals_against,Home_Home_gp,Home_Home_win,Home_Home_loss,Home_Home_ot_loss,Home_Home_ot_win,Home_Home_so_loss,Home_Home_so_win,Home_Home_so,Home_Home_ot,Home_Home_goals,Home_Home_goals_against,Home_Away_gp,Home_Away_win,Home_Away_loss,Home_Away_ot_loss,Home_Away_ot_win,Home_Away_so_loss,Home_Away_so_win,Home_Away_so,Home_Away_ot,Home_Away_goals,Home_Away_goals_against,Home_Last-5_gp,Home_Last-5_win,Home_Last-5_loss,Home_Last-5_ot_loss,Home_Last-5_ot_win,Home_Last-5_so_loss,Home_Last-5_so_win,Home_Last-5_so,Home_Last-5_ot,Home_Last-5_goals,Home_Last-5_goals_against,Home_Last-10_gp,Home_Last-10_win,Home_Last-10_loss,Home_Last-10_ot_loss,Home_Last-10_ot_win,Home_Last-10_so_loss,Home_Last-10_so_win,Home_Last-10_so,Home_Last-10_ot,Home_Last-10_goals,Home_Last-10_goals_against,Home_B2B_gp,Home_B2B_win,Home_B2B_loss,Home_B2B_ot_loss,Home_B2B_ot_win,Home_B2B_so_loss,Home_B2B_so_win,Home_B2B_so,Home_B2B_ot,Home_B2B_goals,Home_B2B_goals_against,Home_ThisMonth_gp,Home_ThisMonth_win,Home_ThisMonth_loss,Home_ThisMonth_ot_loss,Home_ThisMonth_ot_win,Home_ThisMonth_so_loss,Home_ThisMonth_so_win,Home_ThisMonth_so,Home_ThisMonth_ot,Home_ThisMonth_goals,Home_ThisMonth_goals_against,Home_Days-4_gp,Home_Days-4_win,Home_Days-4_loss,Home_Days-4_ot_loss,Home_Days-4_ot_win,Home_Days-4_so_loss,Home_Days-4_so_win,Home_Days-4_so,Home_Days-4_ot,Home_Days-4_goals,Home_Days-4_goals_against,Home_Days-7_gp,Home_Days-7_win,Home_Days-7_loss,Home_Days-7_ot_loss,Home_Days-7_ot_win,Home_Days-7_so_loss,Home_Days-7_so_win,Home_Days-7_so,Home_Days-7_ot,Home_Days-7_goals,Home_Days-7_goals_against
6,2018-10-04,Minnesota Wild,1,Colorado Avalanche,4,,GameState.LOSS,GameState.WIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2018-10-06,Vegas Golden Knights,2,Minnesota Wild,1,SO,GameState.SO_WIN,GameState.SO_LOSS,0,1,1,0,1,0,0,0,0,0,0,2,5,1,0,1,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,5,1,0,1,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,5,1,0,1,0,0,0,0,0,0,2,5,1,0,1,0,0,0,0,0,0,2,5,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,4,1,0,1,0,0,0,0,0,0,1,4,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,4,1,0,1,0,0,0,0,0,0,1,4,1,0,1,0,0,0,0,0,0,1,4
48,2018-10-11,Chicago Blackhawks,3,Minnesota Wild,4,OT,GameState.OT_LOSS,GameState.OT_WIN,1,0,3,0,0,1,2,0,0,0,0,15,14,1,0,0,1,0,0,0,0,0,6,7,2,0,0,0,2,0,0,0,0,9,7,3,0,0,1,2,0,0,0,0,15,14,3,0,0,1,2,0,0,0,0,15,14,2,0,0,1,1,0,0,0,0,11,11,3,0,0,1,2,0,0,0,0,15,14,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,11,11,2,0,1,0,0,1,0,0,0,2,6,1,0,0,0,0,1,0,0,0,1,2,1,0,1,0,0,0,0,0,0,1,4,2,0,1,0,0,1,0,0,0,2,6,2,0,1,0,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2
62,2018-10-13,Carolina Hurricanes,5,Minnesota Wild,4,OT,GameState.OT_WIN,GameState.OT_LOSS,0,1,4,3,0,1,0,0,0,0,0,17,11,3,2,0,1,0,0,0,0,0,14,10,1,1,0,0,0,0,0,0,0,3,1,4,3,0,1,0,0,0,0,0,17,11,4,3,0,1,0,0,0,0,0,17,11,2,1,0,1,0,0,0,0,0,4,3,4,3,0,1,0,0,0,0,0,17,11,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,13,8,3,0,1,0,1,1,0,0,0,6,9,2,0,0,0,1,1,0,0,0,5,5,1,0,1,0,0,0,0,0,0,1,4,3,0,1,0,1,1,0,0,0,6,9,3,0,1,0,1,1,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,0,0,0,6,9,1,0,0,0,1,0,0,0,0,4,3,1,0,0,0,1,0,0,0,0,4,3
74,2018-10-15,Minnesota Wild,2,Nashville Predators,4,,GameState.LOSS,GameState.WIN,1,0,4,0,1,1,1,1,0,0,0,10,14,3,0,0,1,1,1,0,0,0,9,10,1,0,1,0,0,0,0,0,0,1,4,4,0,1,1,1,1,0,0,0,10,14,4,0,1,1,1,1,0,0,0,10,14,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,1,1,0,0,0,10,14,1,0,0,1,0,0,0,0,0,4,5,2,0,0,1,1,0,0,0,0,8,8,5,4,1,0,0,0,0,0,0,15,10,3,2,1,0,0,0,0,0,0,8,5,2,2,0,0,0,0,0,0,0,7,5,5,4,1,0,0,0,0,0,0,15,10,5,4,1,0,0,0,0,0,0,15,10,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,15,10,1,1,0,0,0,0,0,0,0,5,2,3,2,1,0,0,0,0,0,0,8,5
77,2018-10-16,Arizona Coyotes,1,Minnesota Wild,2,,GameState.LOSS,GameState.WIN,1,0,4,0,3,0,0,0,1,0,0,3,9,2,0,2,0,0,0,0,0,0,0,4,2,0,1,0,0,0,1,0,0,3,5,4,0,3,0,0,0,1,0,0,3,9,4,0,3,0,0,0,1,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,1,0,0,3,9,1,0,1,0,0,0,0,0,0,0,3,2,0,1,0,0,0,1,0,0,3,5,5,0,2,1,1,1,0,0,0,12,18,3,0,0,1,1,1,0,0,0,9,10,2,0,2,0,0,0,0,0,0,3,8,5,0,2,1,1,1,0,0,0,12,18,5,0,2,1,1,1,0,0,0,12,18,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,1,1,0,0,0,12,18,2,0,1,1,0,0,0,0,0,6,9,3,0,1,1,1,0,0,0,0,10,12
99,2018-10-19,Minnesota Wild,3,Dallas Stars,1,,GameState.WIN,GameState.LOSS,0,1,6,1,2,1,1,1,0,0,0,14,19,4,1,0,1,1,1,0,0,0,11,11,2,0,2,0,0,0,0,0,0,3,8,5,1,1,1,1,1,0,0,0,13,15,6,1,2,1,1,1,0,0,0,14,19,2,1,1,0,0,0,0,0,0,4,5,6,1,2,1,1,1,0,0,0,14,19,1,1,0,0,0,0,0,0,0,2,1,3,1,1,1,0,0,0,0,0,8,10,6,3,3,0,0,0,0,0,0,18,18,4,3,1,0,0,0,0,0,0,17,11,2,0,2,0,0,0,0,0,0,1,7,5,2,3,0,0,0,0,0,0,15,18,6,3,3,0,0,0,0,0,0,18,18,2,0,2,0,0,0,0,0,0,1,7,6,3,3,0,0,0,0,0,0,18,18,1,0,1,0,0,0,0,0,0,0,3,3,1,2,0,0,0,0,0,0,6,10
106,2018-10-20,Tampa Bay Lightning,4,Minnesota Wild,5,OT,GameState.OT_LOSS,GameState.OT_WIN,1,0,5,3,1,0,0,0,1,0,0,18,10,5,3,1,0,0,0,1,0,0,18,10,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,0,0,1,0,0,18,10,5,3,1,0,0,0,1,0,0,18,10,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,0,0,1,0,0,18,10,1,1,0,0,0,0,0,0,0,3,1,2,2,0,0,0,0,0,0,0,7,3,7,2,2,1,1,1,0,0,0,17,20,4,1,0,1,1,1,0,0,0,11,11,3,1,2,0,0,0,0,0,0,6,9,5,2,1,1,1,0,0,0,0,15,14,7,2,2,1,1,1,0,0,0,17,20,2,1,1,0,0,0,0,0,0,4,5,7,2,2,1,1,1,0,0,0,17,20,1,1,0,0,0,0,0,0,0,3,1,3,2,1,0,0,0,0,0,0,7,6
140,2018-10-25,Los Angeles Kings,1,Minnesota Wild,4,,GameState.LOSS,GameState.WIN,1,0,9,2,6,1,0,0,0,0,0,17,32,4,1,2,1,0,0,0,0,0,9,17,5,1,4,0,0,0,0,0,0,8,15,5,0,5,0,0,0,0,0,0,7,25,9,2,6,1,0,0,0,0,0,17,32,0,0,0,0,0,0,0,0,0,0,0,9,2,6,1,0,0,0,0,0,17,32,1,0,1,0,0,0,0,0,0,2,4,2,0,2,0,0,0,0,0,0,3,9,8,2,2,1,2,1,0,0,0,22,24,5,1,0,1,2,1,0,0,0,16,15,3,1,2,0,0,0,0,0,0,6,9,5,2,1,1,1,0,0,0,0,16,15,8,2,2,1,2,1,0,0,0,22,24,4,2,1,0,1,0,0,0,0,12,10,8,2,2,1,2,1,0,0,0,22,24,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,8,5
151,2018-10-27,Colorado Avalanche,2,Minnesota Wild,3,,GameState.LOSS,GameState.WIN,1,0,11,7,2,1,0,1,0,0,0,39,24,5,3,1,1,0,0,0,0,0,17,10,6,4,1,0,0,1,0,0,0,22,14,5,4,1,0,0,0,0,0,0,18,9,10,6,2,1,0,1,0,0,0,35,23,0,0,0,0,0,0,0,0,0,0,0,11,7,2,1,0,1,0,0,0,39,24,2,1,1,0,0,0,0,0,0,6,4,3,2,1,0,0,0,0,0,0,10,5,9,3,2,1,2,1,0,0,0,26,25,6,2,0,1,2,1,0,0,0,20,16,3,1,2,0,0,0,0,0,0,6,9,5,3,1,0,1,0,0,0,0,16,11,9,3,2,1,2,1,0,0,0,26,25,4,2,1,0,1,0,0,0,0,12,10,9,3,2,1,2,1,0,0,0,26,25,1,1,0,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,4,1
