,Date,Visitor,AG,Home,HG,OT,ARes,HRes,HWin,AWin,Away_BeforeDate_gp,Away_BeforeDate_win,Away_BeforeDate_loss,Away_BeforeDate_ot_loss,Away_BeforeDate_ot_win,Away_BeforeDate_so_loss,Away_BeforeDate_so_win,Away_BeforeDate_so,Away_BeforeDate_ot,Away_BeforeDate_goals,Away_BeforeDate_goals_against,Away_Home_gp,Away_Home_win,Away_Home_loss,Away_Home_ot_loss,Away_Home_ot_win,Away_Home_so_loss,Away_Home_so_win,Away_Home_so,Away_Home_ot,Away_Home_goals,Away_Home_goals_against,Away_Away_gp,Away_Away_win,Away_Away_loss,Away_Away_ot_loss,Away_Away_ot_win,Away_Away_so_loss,Away_Away_so_win,Away_Away_so,Away_Away_ot,Away_Away_goals,Away_Away_goals_against,Away_Last-5_gp,Away_Last-5_win,Away_Last-5_loss,Away_Last-5_ot_loss,Away_Last-5_ot_win,Away_Last-5_so_loss,Away_Last-5_so_win,Away_Last-5_so,Away_Last-5_ot,Away_Last-5_goals,Away_Last-5_goals_against,Away_Last-10_gp,Away_Last-10_win,Away_Last-10_loss,Away_Last-10_ot_loss,Away_Last-10_ot_win,Away_Last-10_so_loss,Away_Last-10_so_win,Away_Last-10_so,Away_Last-10_ot,Away_Last-10_goals,Away_Last-10_goals_against,Away_B2B_gp,Away_B2B_win,Away_B2B_loss,Away_B2B_ot_loss,Away_B2B_ot_win,Away_B2B_so_loss,Away_B2B_so_win,Away_B2B_so,Away_B2B_ot,Away_B2B_goals,Away_B2B_goals_against,Away_ThisMonth_gp,Away_ThisMonth_win,Away_ThisMonth_loss,Away_ThisMonth_ot_loss,Away_ThisMonth_ot_win,Away_ThisMonth_so_loss,Away_ThisMonth_so_win,Away_ThisMonth_so,Away_ThisMonth_ot,Away_ThisMonth_goals,Away_ThisMonth_goals_against,Away_Days-4_gp,Away_Days-4_win,Away_Days-4_loss,Away_Days-4_ot_loss,Away_Days-4_ot_win,Away_Days-4_so_loss,Away_Days-4_so_win,Away_Days-4_so,Away_Days-4_ot,Away_Days-4_goals,Away_Days-4_goals_against,Away_Days-7_gp,Away_Days-7_win,Away_Days-7_loss,Away_Days-7_ot_loss,Away_Days-7_ot_win,Away_Days-7_so_loss,Away_Days-7_so_win,Away_Days-7_so,Away_Days-7_ot,Away_Days-7_goals,Away_Days-7_goals_against,Home_BeforeDate_gp,Home_BeforeDate_win,Home_BeforeDate_loss,Home_BeforeDate_ot_loss,Home_BeforeDate_ot_win,Home_BeforeDate_so_loss,Home_BeforeDate_so_win,Home_BeforeDate_so,Home_BeforeDate_ot,Home_BeforeDate_goals,Home_BeforeDate_goals_against,Home_Home_gp,Home_Home_win,Home_Home_loss,Home_Home_ot_loss,Home_Home_ot_win,Home_Home_so_loss,Home_Home_so_win,Home_Home_so,Home_Home_ot,Home_Home_goals,Home_Home_goals_against,Home_Away_gp,Home_Away_win,Home_Away_loss,Home_Away_ot_loss,Home_Away_ot_win,Home_Away_so_loss,Home_Away_so_win,Home_Away_so,Home_Away_ot,Home_Away_goals,Home_Away_goals_against,Home_Last-5_gp,Home_Last-5_win,Home_Last-5_loss,Home_Last-5_ot_loss,Home_Last-5_ot_win,Home_Last-5_so_loss,Home_Last-5_so_win,Home_Last-5_so,Home_Last-5_ot,Home_Last-5_goals,Home_Last-5_goals_against,Home_Last-10_gp,Home_Last-10_win,Home_Last-10_loss,Home_Last-10_ot_loss,Home_Last-10_ot_win,Home_Last-10_so_loss,Home_Last-10_so_win,Home_Last-10_so,Home_Last-10_ot,Home_Last-10_goals,Home_Last-10_goals_against,Home_B2B_gp,Home_B2B_win,Home_B2B_loss,Home_B2B_ot_loss,Home_B2B_ot_win,Home_B2B_so_loss,Home_B2B_so_win,Home_B2B_so,Home_B2B_ot,Home_B2B_goals,Home_B2B_goals_against,Home_ThisMonth_gp,Home_ThisMonth_win,Home_ThisMonth_loss,Home_ThisMonth_ot_loss,Home_ThisMonth_ot_win,Home_ThisMonth_so_loss,Home_ThisMonth_so_win,Home_ThisMonth_so,Home_ThisMonth_ot,Home_ThisMonth_goals,Home_ThisMonth_goals_against,Home_Days-4_gp,Home_Days-4_win,Home_Days-4_loss,Home_Days-4_ot_loss,Home_Days-4_ot_win,Home_Days-4_so_loss,Home_Days-4_so_win,Home_Days-4_so,Home_Days-4_ot,Home_Days-4_goals,Home_Days-4_goals_against,Home_Days-7_gp,Home_Days-7_win,Home_Days-7_loss,Home_Days-7_ot_loss,Home_Days-7_ot_win,Home_Days-7_so_loss,Home_Days-7_so_win,Home_Days-7_so,Home_Days-7_ot,Home_Days-7_goals,Home_Days-7_goals_against
0,2018-10-03,Anaheim Ducks,5,San Jose Sharks,2,,GameState.WIN,GameState.LOSS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2018-10-05,San Jose Sharks,3,Los Angeles Kings,2,OT,GameState.OT_WIN,GameState.OT_LOSS,0,1,1,0,1,0,0,0,0,0,0,2,5,1,0,1,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,5,1,0,1,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,5,1,0,1,0,0,0,0,0,0,2,5,1,0,1,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2018-10-08,San Jose Sharks,0,New York Islanders,4,,GameState.LOSS,GameState.WIN,1,0,2,0,1,0,1,0,0,0,0,5,7,1,0,1,0,0,0,0,0,0,2,5,1,0,0,0,1,0,0,0,0,3,2,2,0,1,0,1,0,0,0,0,5,7,2,0,1,0,1,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,5,7,1,0,0,0,1,0,0,0,0,3,2,2,0,1,0,1,0,0,0,0,5,7,2,0,1,0,1,0,0,0,0,5,5,1,0,1,0,0,0,0,0,0,3,4,1,0,0,0,1,0,0,0,0,2,1,2,0,1,0,1,0,0,0,0,5,5,2,0,1,0,1,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,5,5,1,0,1,0,0,0,0,0,0,3,4,2,0,1,0,1,0,0,0,0,5,5
39,2018-10-09,San Jose Sharks,8,Philadelphia Flyers,2,,GameState.WIN,GameState.LOSS,0,1,3,0,2,0,1,0,0,0,0,5,11,1,0,1,0,0,0,0,0,0,2,5,2,0,1,0,1,0,0,0,0,3,6,3,0,2,0,1,0,0,0,0,5,11,3,0,2,0,1,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,5,11,1,0,1,0,0,0,0,0,0,0,4,3,0,2,0,1,0,0,0,0,5,11,2,1,1,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,7,7,2,1,1,0,0,0,0,0,0,7,7,2,1,1,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,7,7,1,0,1,0,0,0,0,0,0,2,5,2,1,1,0,0,0,0,0,0,7,7
52,2018-10-11,San Jose Sharks,2,New York Rangers,3,OT,GameState.OT_LOSS,GameState.OT_WIN,1,0,4,1,2,0,1,0,0,0,0,13,13,1,0,1,0,0,0,0,0,0,2,5,3,1,1,0,1,0,0,0,0,11,8,4,1,2,0,1,0,0,0,0,13,13,4,1,2,0,1,0,0,0,0,13,13,2,1,1,0,0,0,0,0,0,8,6,4,1,2,0,1,0,0,0,0,13,13,2,1,1,0,0,0,0,0,0,8,6,3,1,1,0,1,0,0,0,0,11,8,3,0,3,0,0,0,0,0,0,8,14,1,0,1,0,0,0,0,0,0,2,3,2,0,2,0,0,0,0,0,0,6,11,3,0,3,0,0,0,0,0,0,8,14,3,0,3,0,0,0,0,0,0,8,14,2,0,2,0,0,0,0,0,0,6,11,3,0,3,0,0,0,0,0,0,8,14,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,6,11
70,2018-10-14,San Jose Sharks,2,New Jersey Devils,3,,GameState.LOSS,GameState.WIN,1,0,5,1,2,1,1,0,0,0,0,15,16,1,0,1,0,0,0,0,0,0,2,5,4,1,1,1,1,0,0,0,0,13,11,5,1,2,1,1,0,0,0,0,15,16,5,1,2,1,1,0,0,0,0,15,16,2,1,1,0,0,0,0,0,0,8,6,5,1,2,1,1,0,0,0,0,15,16,1,0,0,1,0,0,0,0,0,2,3,3,1,1,1,0,0,0,0,0,10,9,2,2,0,0,0,0,0,0,0,11,2,2,2,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,11,2,2,2,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,11,2,1,1,0,0,0,0,0,0,0,6,0,1,1,0,0,0,0,0,0,0,6,0
94,2018-10-18,Buffalo Sabres,1,San Jose Sharks,5,,GameState.LOSS,GameState.WIN,1,0,6,3,3,0,0,0,0,0,0,12,17,4,2,2,0,0,0,0,0,0,8,13,2,1,1,0,0,0,0,0,0,4,4,5,3,2,0,0,0,0,0,0,12,13,6,3,3,0,0,0,0,0,0,12,17,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,0,0,0,12,17,1,0,1,0,0,0,0,0,0,1,4,2,1,1,0,0,0,0,0,0,4,4,6,1,3,1,1,0,0,0,0,17,19,1,0,1,0,0,0,0,0,0,2,5,5,1,2,1,1,0,0,0,0,15,14,5,1,2,1,1,0,0,0,0,15,14,6,1,3,1,1,0,0,0,0,17,19,2,1,1,0,0,0,0,0,0,8,6,6,1,3,1,1,0,0,0,0,17,19,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,3
109,2018-10-20,New York Islanders,1,San Jose Sharks,4,,GameState.LOSS,GameState.WIN,1,0,6,2,3,0,1,0,0,0,0,19,16,2,1,1,0,0,0,0,0,0,7,4,4,1,2,0,1,0,0,0,0,12,12,5,2,3,0,0,0,0,0,0,17,15,6,2,3,0,1,0,0,0,0,19,16,2,1,1,0,0,0,0,0,0,8,6,6,2,3,0,1,0,0,0,0,19,16,2,1,1,0,0,0,0,0,0,8,6,2,1,1,0,0,0,0,0,0,8,6,7,2,3,1,1,0,0,0,0,22,20,2,1,1,0,0,0,0,0,0,7,6,5,1,2,1,1,0,0,0,0,15,14,5,2,2,1,0,0,0,0,0,17,13,7,2,3,1,1,0,0,0,0,22,20,2,1,1,0,0,0,0,0,0,8,6,7,2,3,1,1,0,0,0,0,22,20,1,1,0,0,0,0,0,0,0,5,1,2,1,1,0,0,0,0,0,0,7,4
126,2018-10-23,San Jose Sharks,5,Nashville Predators,4,,GameState.WIN,GameState.LOSS,0,1,8,3,3,1,1,0,0,0,0,26,21,3,2,1,0,0,0,0,0,0,11,7,5,1,2,1,1,0,0,0,0,15,14,5,3,1,1,0,0,0,0,0,21,10,8,3,3,1,1,0,0,0,0,26,21,2,1,1,0,0,0,0,0,0,8,6,8,3,3,1,1,0,0,0,0,26,21,1,1,0,0,0,0,0,0,0,4,1,2,2,0,0,0,0,0,0,0,9,2,8,7,1,0,0,0,0,0,0,27,15,4,3,1,0,0,0,0,0,0,12,7,4,4,0,0,0,0,0,0,0,15,8,5,5,0,0,0,0,0,0,0,20,7,8,7,1,0,0,0,0,0,0,27,15,2,2,0,0,0,0,0,0,0,8,3,8,7,1,0,0,0,0,0,0,27,15,1,1,0,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,0,8,3
143,2018-10-26,San Jose Sharks,3,Carolina Hurricanes,4,SO,GameState.SO_LOSS,GameState.SO_WIN,1,0,9,4,3,1,1,0,0,0,0,31,25,3,2,1,0,0,0,0,0,0,11,7,6,2,2,1,1,0,0,0,0,20,18,5,3,1,1,0,0,0,0,0,18,12,9,4,3,1,1,0,0,0,0,31,25,2,1,1,0,0,0,0,0,0,8,6,9,4,3,1,1,0,0,0,0,31,25,1,1,0,0,0,0,0,0,0,5,4,2,2,0,0,0,0,0,0,0,9,5,9,4,3,1,1,0,0,0,0,29,26,4,2,1,1,0,0,0,0,0,15,13,5,2,2,0,1,0,0,0,0,14,13,5,1,3,0,1,0,0,0,0,12,15,9,4,3,1,1,0,0,0,0,29,26,4,1,1,1,1,0,0,0,0,10,10,9,4,3,1,1,0,0,0,0,29,26,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,4,4
