,Date,Visitor,AG,Home,HG,OT,ARes,HRes,HWin,AWin,Away_BeforeDate_gp,Away_BeforeDate_win,Away_BeforeDate_loss,Away_BeforeDate_ot_loss,Away_BeforeDate_ot_win,Away_BeforeDate_so_loss,Away_BeforeDate_so_win,Away_BeforeDate_so,Away_BeforeDate_ot,Away_BeforeDate_goals,Away_BeforeDate_goals_against,Away_Home_gp,Away_Home_win,Away_Home_loss,Away_Home_ot_loss,Away_Home_ot_win,Away_Home_so_loss,Away_Home_so_win,Away_Home_so,Away_Home_ot,Away_Home_goals,Away_Home_goals_against,Away_Away_gp,Away_Away_win,Away_Away_loss,Away_Away_ot_loss,Away_Away_ot_win,Away_Away_so_loss,Away_Away_so_win,Away_Away_so,Away_Away_ot,Away_Away_goals,Away_Away_goals_against,Away_Last-5_gp,Away_Last-5_win,Away_Last-5_loss,Away_Last-5_ot_loss,Away_Last-5_ot_win,Away_Last-5_so_loss,Away_Last-5_so_win,Away_Last-5_so,Away_Last-5_ot,Away_Last-5_goals,Away_Last-5_goals_against,Away_Last-10_gp,Away_Last-10_win,Away_Last-10_loss,Away_Last-10_ot_loss,Away_Last-10_ot_win,Away_Last-10_so_loss,Away_Last-10_so_win,Away_Last-10_so,Away_Last-10_ot,Away_Last-10_goals,Away_Last-10_goals_against,Away_B2B_gp,Away_B2B_win,Away_B2B_loss,Away_B2B_ot_loss,Away_B2B_ot_win,Away_B2B_so_loss,Away_B2B_so_win,Away_B2B_so,Away_B2B_ot,Away_B2B_goals,Away_B2B_goals_against,Away_ThisMonth_gp,Away_ThisMonth_win,Away_ThisMonth_loss,Away_ThisMonth_ot_loss,Away_ThisMonth_ot_win,Away_ThisMonth_so_loss,Away_ThisMonth_so_win,Away_ThisMonth_so,Away_ThisMonth_ot,Away_ThisMonth_goals,Away_ThisMonth_goals_against,Away_Days-4_gp,Away_Days-4_win,Away_Days-4_loss,Away_Days-4_ot_loss,Away_Days-4_ot_win,Away_Days-4_so_loss,Away_Days-4_so_win,Away_Days-4_so,Away_Days-4_ot,Away_Days-4_goals,Away_Days-4_goals_against,Away_Days-7_gp,Away_Days-7_win,Away_Days-7_loss,Away_Days-7_ot_loss,Away_Days-7_ot_win,Away_Days-7_so_loss,Away_Days-7_so_win,Away_Days-7_so,Away_Days-7_ot,Away_Days-7_goals,Away_Days-7_goals_against,Home_BeforeDate_gp,Home_BeforeDate_win,Home_BeforeDate_loss,Home_BeforeDate_ot_loss,Home_BeforeDate_ot_win,Home_BeforeDate_so_loss,Home_BeforeDate_so_win,Home_BeforeDate_so,Home_BeforeDate_ot,Home_BeforeDate_goals,Home_BeforeDate_goals_against,Home_Home_gp,Home_Home_win,Home_Home_loss,Home_Home_ot_loss,Home_Home_ot_win,Home_Home_so_loss,Home_Home_so_win,Home_Home_so,Home_Home_ot,Home_Home_goals,Home_Home_goals_against,Home_Away_gp,Home_Away_win,Home_Away_loss,Home_Away_ot_loss,Home_Away_ot_win,Home_Away_so_loss,Home_Away_so_win,Home_Away_so,Home_Away_ot,Home_Away_goals,Home_Away_goals_against,Home_Last-5_gp,Home_Last-5_win,Home_Last-5_loss,Home_Last-5_ot_loss,Home_Last-5_ot_win,Home_Last-5_so_loss,Home_Last-5_so_win,Home_Last-5_so,Home_Last-5_ot,Home_Last-5_goals,Home_Last-5_goals_against,Home_Last-10_gp,Home_Last-10_win,Home_Last-10_loss,Home_Last-10_ot_loss,Home_Last-10_ot_win,Home_Last-10_so_loss,Home_Last-10_so_win,Home_Last-10_so,Home_Last-10_ot,Home_Last-10_goals,Home_Last-10_goals_against,Home_B2B_gp,Home_B2B_win,Home_B2B_loss,Home_B2B_ot_loss,Home_B2B_ot_win,Home_B2B_so_loss,Home_B2B_so_win,Home_B2B_so,Home_B2B_ot,Home_B2B_goals,Home_B2B_goals_against,Home_ThisMonth_gp,Home_ThisMonth_win,Home_ThisMonth_loss,Home_ThisMonth_ot_loss,Home_ThisMonth_ot_win,Home_ThisMonth_so_loss,Home_ThisMonth_so_win,Home_ThisMonth_so,Home_ThisMonth_ot,Home_ThisMonth_goals,Home_ThisMonth_goals_against,Home_Days-4_gp,Home_Days-4_win,Home_Days-4_loss,Home_Days-4_ot_loss,Home_Days-4_ot_win,Home_Days-4_so_loss,Home_Days-4_so_win,Home_Days-4_so,Home_Days-4_ot,Home_Days-4_goals,Home_Days-4_goals_against,Home_Days-7_gp,Home_Days-7_win,Home_Days-7_loss,Home_Days-7_ot_loss,Home_Days-7_ot_win,Home_Days-7_so_loss,Home_Days-7_so_win,Home_Days-7_so,Home_Days-7_ot,Home_Days-7_goals,Home_Days-7_goals_against
13,2018-10-04,Philadelphia Flyers,5,Vegas Golden Knights,2,,GameState.WIN,GameState.LOSS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2018-10-06,Vegas Golden Knights,2,Minnesota Wild,1,SO,GameState.SO_WIN,GameState.SO_LOSS,0,1,1,0,1,0,0,0,0,0,0,2,5,1,0,1,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,5,1,0,1,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,5,1,0,1,0,0,0,0,0,0,2,5,1,0,1,0,0,0,0,0,0,2,5,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,4,1,0,1,0,0,0,0,0,0,1,4,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,4,1,0,1,0,0,0,0,0,0,1,4,1,0,1,0,0,0,0,0,0,1,4
33,2018-10-08,Vegas Golden Knights,2,Buffalo Sabres,4,,GameState.LOSS,GameState.WIN,1,0,2,0,1,0,0,0,1,0,0,4,6,1,0,1,0,0,0,0,0,0,2,5,1,0,0,0,0,0,1,0,0,2,1,2,0,1,0,0,0,1,0,0,4,6,2,0,1,0,0,0,1,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,4,6,1,0,0,0,0,0,1,0,0,2,1,2,0,1,0,0,0,1,0,0,4,6,2,1,1,0,0,0,0,0,0,3,5,2,1,1,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,3,5,2,1,1,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,3,5,1,1,0,0,0,0,0,0,0,3,1,2,1,1,0,0,0,0,0,0,3,5
43,2018-10-10,Vegas Golden Knights,2,Washington Capitals,5,,GameState.LOSS,GameState.WIN,1,0,3,0,2,0,0,0,1,0,0,6,10,1,0,1,0,0,0,0,0,0,2,5,2,0,1,0,0,0,1,0,0,4,5,3,0,2,0,0,0,1,0,0,6,10,3,0,2,0,0,0,1,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,0,0,6,10,1,0,1,0,0,0,0,0,0,2,4,3,0,2,0,0,0,1,0,0,6,10,2,1,0,1,0,0,0,0,0,13,7,1,1,0,0,0,0,0,0,0,7,0,1,0,0,1,0,0,0,0,0,6,7,2,1,0,1,0,0,0,0,0,13,7,2,1,0,1,0,0,0,0,0,13,7,2,1,0,1,0,0,0,0,0,13,7,2,1,0,1,0,0,0,0,0,13,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,7
53,2018-10-11,Vegas Golden Knights,2,Pittsburgh Penguins,4,,GameState.LOSS,GameState.WIN,1,0,4,0,3,0,0,0,1,0,0,8,15,1,0,1,0,0,0,0,0,0,2,5,3,0,2,0,0,0,1,0,0,6,10,4,0,3,0,0,0,1,0,0,8,15,4,0,3,0,0,0,1,0,0,8,15,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,1,0,0,8,15,2,0,2,0,0,0,0,0,0,4,9,3,0,2,0,0,0,1,0,0,6,10,2,0,1,0,1,0,0,0,0,8,11,2,0,1,0,1,0,0,0,0,8,11,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,8,11,2,0,1,0,1,0,0,0,0,8,11,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,8,11,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,5
67,2018-10-13,Vegas Golden Knights,1,Philadelphia Flyers,0,,GameState.WIN,GameState.LOSS,0,1,5,0,4,0,0,0,1,0,0,10,19,1,0,1,0,0,0,0,0,0,2,5,4,0,3,0,0,0,1,0,0,8,14,5,0,4,0,0,0,1,0,0,10,19,5,0,4,0,0,0,1,0,0,10,19,2,0,2,0,0,0,0,0,0,4,9,5,0,4,0,0,0,1,0,0,10,19,2,0,2,0,0,0,0,0,0,4,9,3,0,3,0,0,0,0,0,0,6,13,4,2,2,0,0,0,0,0,0,16,19,1,0,1,0,0,0,0,0,0,2,8,3,2,1,0,0,0,0,0,0,14,11,4,2,2,0,0,0,0,0,0,16,19,4,2,2,0,0,0,0,0,0,16,19,2,1,1,0,0,0,0,0,0,9,12,4,2,2,0,0,0,0,0,0,16,19,1,1,0,0,0,0,0,0,0,7,4,2,1,1,0,0,0,0,0,0,9,12
83,2018-10-16,Buffalo Sabres,1,Vegas Golden Knights,4,,GameState.LOSS,GameState.WIN,1,0,5,3,2,0,0,0,0,0,0,11,13,4,2,2,0,0,0,0,0,0,8,13,1,1,0,0,0,0,0,0,0,3,0,5,3,2,0,0,0,0,0,0,11,13,5,3,2,0,0,0,0,0,0,11,13,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,11,13,1,1,0,0,0,0,0,0,0,3,0,2,1,1,0,0,0,0,0,0,4,6,6,1,4,0,0,0,1,0,0,11,19,1,0,1,0,0,0,0,0,0,2,5,5,1,3,0,0,0,1,0,0,9,14,5,1,3,0,0,0,1,0,0,9,14,6,1,4,0,0,0,1,0,0,11,19,2,0,2,0,0,0,0,0,0,4,9,6,1,4,0,0,0,1,0,0,11,19,1,1,0,0,0,0,0,0,0,1,0,3,1,2,0,0,0,0,0,0,5,9
112,2018-10-20,Anaheim Ducks,1,Vegas Golden Knights,3,,GameState.LOSS,GameState.WIN,1,0,7,4,1,0,0,1,1,0,0,21,15,3,1,0,0,0,1,1,0,0,9,6,4,3,1,0,0,0,0,0,0,12,9,5,2,1,0,0,1,1,0,0,15,13,7,4,1,0,0,1,1,0,0,21,15,2,1,1,0,0,0,0,0,0,6,7,7,4,1,0,0,1,1,0,0,21,15,1,1,0,0,0,0,0,0,0,4,1,2,2,0,0,0,0,0,0,0,7,3,7,2,4,0,0,0,1,0,0,15,20,2,1,1,0,0,0,0,0,0,6,6,5,1,3,0,0,0,1,0,0,9,14,5,2,3,0,0,0,0,0,0,11,14,7,2,4,0,0,0,1,0,0,15,20,2,0,2,0,0,0,0,0,0,4,9,7,2,4,0,0,0,1,0,0,15,20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,1
131,2018-10-24,Vancouver Canucks,3,Vegas Golden Knights,2,SO,GameState.SO_WIN,GameState.SO_LOSS,0,1,9,3,4,0,2,0,0,0,0,27,29,3,1,1,0,1,0,0,0,0,9,8,6,2,3,0,1,0,0,0,0,18,21,5,1,2,0,2,0,0,0,0,11,14,9,3,4,0,2,0,0,0,0,27,29,0,0,0,0,0,0,0,0,0,0,0,9,3,4,0,2,0,0,0,0,27,29,1,0,1,0,0,0,0,0,0,2,5,3,0,2,0,1,0,0,0,0,5,10,8,3,4,0,0,0,1,0,0,18,21,3,2,1,0,0,0,0,0,0,9,7,5,1,3,0,0,0,1,0,0,9,14,5,3,2,0,0,0,0,0,0,12,11,8,3,4,0,0,0,1,0,0,18,21,2,0,2,0,0,0,0,0,0,4,9,8,3,4,0,0,0,1,0,0,18,21,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,1
146,2018-10-26,Tampa Bay Lightning,3,Vegas Golden Knights,2,,GameState.WIN,GameState.LOSS,0,1,8,5,1,1,0,0,1,0,0,29,18,5,3,1,0,0,0,1,0,0,18,10,3,2,0,1,0,0,0,0,0,11,8,5,4,0,1,0,0,0,0,0,18,11,8,5,1,1,0,0,1,0,0,29,18,2,1,0,1,0,0,0,0,0,10,8,8,5,1,1,0,0,1,0,0,29,18,1,1,0,0,0,0,0,0,0,1,0,3,2,0,1,0,0,0,0,0,11,8,9,3,4,0,0,1,1,0,0,20,24,4,2,1,0,0,1,0,0,0,11,10,5,1,3,0,0,0,1,0,0,9,14,5,3,1,0,0,1,0,0,0,12,9,9,3,4,0,0,1,1,0,0,20,24,2,0,2,0,0,0,0,0,0,4,9,9,3,4,0,0,1,1,0,0,20,24,1,0,0,0,0,1,0,0,0,2,3,2,1,0,0,0,1,0,0,0,5,4
