,Date,Visitor,AG,Home,HG,OT,ARes,HRes,HWin,AWin,Away_BeforeDate_gp,Away_BeforeDate_win,Away_BeforeDate_loss,Away_BeforeDate_ot_loss,Away_BeforeDate_ot_win,Away_BeforeDate_so_loss,Away_BeforeDate_so_win,Away_BeforeDate_so,Away_BeforeDate_ot,Away_BeforeDate_goals,Away_BeforeDate_goals_against,Away_Home_gp,Away_Home_win,Away_Home_loss,Away_Home_ot_loss,Away_Home_ot_win,Away_Home_so_loss,Away_Home_so_win,Away_Home_so,Away_Home_ot,Away_Home_goals,Away_Home_goals_against,Away_Away_gp,Away_Away_win,Away_Away_loss,Away_Away_ot_loss,Away_Away_ot_win,Away_Away_so_loss,Away_Away_so_win,Away_Away_so,Away_Away_ot,Away_Away_goals,Away_Away_goals_against,Away_Last-5_gp,Away_Last-5_win,Away_Last-5_loss,Away_Last-5_ot_loss,Away_Last-5_ot_win,Away_Last-5_so_loss,Away_Last-5_so_win,Away_Last-5_so,Away_Last-5_ot,Away_Last-5_goals,Away_Last-5_goals_against,Away_Last-10_gp,Away_Last-10_win,Away_Last-10_loss,Away_Last-10_ot_loss,Away_Last-10_ot_win,Away_Last-10_so_loss,Away_Last-10_so_win,Away_Last-10_so,Away_Last-10_ot,Away_Last-10_goals,Away_Last-10_goals_against,Away_B2B_gp,Away_B2B_win,Away_B2B_loss,Away_B2B_ot_loss,Away_B2B_ot_win,Away_B2B_so_loss,Away_B2B_so_win,Away_B2B_so,Away_B2B_ot,Away_B2B_goals,Away_B2B_goals_against,Away_ThisMonth_gp,Away_ThisMonth_win,Away_ThisMonth_loss,Away_ThisMonth_ot_loss,Away_ThisMonth_ot_win,Away_ThisMonth_so_loss,Away_ThisMonth_so_win,Away_ThisMonth_so,Away_ThisMonth_ot,Away_ThisMonth_goals,Away_ThisMonth_goals_against,Away_Days-4_gp,Away_Days-4_win,Away_Days-4_loss,Away_Days-4_ot_loss,Away_Days-4_ot_win,Away_Days-4_so_loss,Away_Days-4_so_win,Away_Days-4_so,Away_Days-4_ot,Away_Days-4_goals,Away_Days-4_goals_against,Away_Days-7_gp,Away_Days-7_win,Away_Days-7_loss,Away_Days-7_ot_loss,Away_Days-7_ot_win,Away_Days-7_so_loss,Away_Days-7_so_win,Away_Days-7_so,Away_Days-7_ot,Away_Days-7_goals,Away_Days-7_goals_against,Home_BeforeDate_gp,Home_BeforeDate_win,Home_BeforeDate_loss,Home_BeforeDate_ot_loss,Home_BeforeDate_ot_win,Home_BeforeDate_so_loss,Home_BeforeDate_so_win,Home_BeforeDate_so,Home_BeforeDate_ot,Home_BeforeDate_goals,Home_BeforeDate_goals_against,Home_Home_gp,Home_Home_win,Home_Home_loss,Home_Home_ot_loss,Home_Home_ot_win,Home_Home_so_loss,Home_Home_so_win,Home_Home_so,Home_Home_ot,Home_Home_goals,Home_Home_goals_against,Home_Away_gp,Home_Away_win,Home_Away_loss,Home_Away_ot_loss,Home_Away_ot_win,Home_Away_so_loss,Home_Away_so_win,Home_Away_so,Home_Away_ot,Home_Away_goals,Home_Away_goals_against,Home_Last-5_gp,Home_Last-5_win,Home_Last-5_loss,Home_Last-5_ot_loss,Home_Last-5_ot_win,Home_Last-5_so_loss,Home_Last-5_so_win,Home_Last-5_so,Home_Last-5_ot,Home_Last-5_goals,Home_Last-5_goals_against,Home_Last-10_gp,Home_Last-10_win,Home_Last-10_loss,Home_Last-10_ot_loss,Home_Last-10_ot_win,Home_Last-10_so_loss,Home_Last-10_so_win,Home_Last-10_so,Home_Last-10_ot,Home_Last-10_goals,Home_Last-10_goals_against,Home_B2B_gp,Home_B2B_win,Home_B2B_loss,Home_B2B_ot_loss,Home_B2B_ot_win,Home_B2B_so_loss,Home_B2B_so_win,Home_B2B_so,Home_B2B_ot,Home_B2B_goals,Home_B2B_goals_against,Home_ThisMonth_gp,Home_ThisMonth_win,Home_ThisMonth_loss,Home_ThisMonth_ot_loss,Home_ThisMonth_ot_win,Home_ThisMonth_so_loss,Home_ThisMonth_so_win,Home_ThisMonth_so,Home_ThisMonth_ot,Home_ThisMonth_goals,Home_ThisMonth_goals_against,Home_Days-4_gp,Home_Days-4_win,Home_Days-4_loss,Home_Days-4_ot_loss,Home_Days-4_ot_win,Home_Days-4_so_loss,Home_Days-4_so_win,Home_Days-4_so,Home_Days-4_ot,Home_Days-4_goals,Home_Days-4_goals_against,Home_Days-7_gp,Home_Days-7_win,Home_Days-7_loss,Home_Days-7_ot_loss,Home_Days-7_ot_win,Home_Days-7_so_loss,Home_Days-7_so_win,Home_Days-7_so,Home_Days-7_ot,Home_Days-7_goals,Home_Days-7_goals_against
3,2018-10-03,Boston Bruins,0,Washington Capitals,7,,GameState.LOSS,GameState.WIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2018-10-04,Washington Capitals,6,Pittsburgh Penguins,7,OT,GameState.OT_LOSS,GameState.OT_WIN,1,0,1,1,0,0,0,0,0,0,0,7,0,1,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,0,1,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,0,1,1,0,0,0,0,0,0,0,7,0,1,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2018-10-10,Vegas Golden Knights,2,Washington Capitals,5,,GameState.LOSS,GameState.WIN,1,0,3,0,2,0,0,0,1,0,0,6,10,1,0,1,0,0,0,0,0,0,2,5,2,0,1,0,0,0,1,0,0,4,5,3,0,2,0,0,0,1,0,0,6,10,3,0,2,0,0,0,1,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,0,0,6,10,1,0,1,0,0,0,0,0,0,2,4,3,0,2,0,0,0,1,0,0,6,10,2,1,0,1,0,0,0,0,0,13,7,1,1,0,0,0,0,0,0,0,7,0,1,0,0,1,0,0,0,0,0,6,7,2,1,0,1,0,0,0,0,0,13,7,2,1,0,1,0,0,0,0,0,13,7,2,1,0,1,0,0,0,0,0,13,7,2,1,0,1,0,0,0,0,0,13,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,7
50,2018-10-11,Washington Capitals,0,New Jersey Devils,6,,GameState.LOSS,GameState.WIN,1,0,3,2,0,1,0,0,0,0,0,18,9,2,2,0,0,0,0,0,0,0,12,2,1,0,0,1,0,0,0,0,0,6,7,3,2,0,1,0,0,0,0,0,18,9,3,2,0,1,0,0,0,0,0,18,9,2,1,0,1,0,0,0,0,0,13,7,3,2,0,1,0,0,0,0,0,18,9,1,1,0,0,0,0,0,0,0,5,2,1,1,0,0,0,0,0,0,0,5,2,1,1,0,0,0,0,0,0,0,5,2,1,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,2,1,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,2
69,2018-10-13,Toronto Maple Leafs,4,Washington Capitals,2,,GameState.WIN,GameState.LOSS,0,1,5,2,1,0,2,0,0,0,0,25,20,2,0,1,0,1,0,0,0,0,6,7,3,2,0,0,1,0,0,0,0,19,13,5,2,1,0,2,0,0,0,0,25,20,5,2,1,0,2,0,0,0,0,25,20,2,0,1,0,1,0,0,0,0,10,11,5,2,1,0,2,0,0,0,0,25,20,1,1,0,0,0,0,0,0,0,5,3,3,2,0,0,1,0,0,0,0,19,13,4,2,1,1,0,0,0,0,0,18,15,2,2,0,0,0,0,0,0,0,12,2,2,0,1,1,0,0,0,0,0,6,13,4,2,1,1,0,0,0,0,0,18,15,4,2,1,1,0,0,0,0,0,18,15,4,2,1,1,0,0,0,0,0,18,15,4,2,1,1,0,0,0,0,0,18,15,2,1,1,0,0,0,0,0,0,5,8,2,1,1,0,0,0,0,0,0,5,8
88,2018-10-17,New York Rangers,3,Washington Capitals,4,OT,GameState.OT_LOSS,GameState.OT_WIN,1,0,6,0,4,0,1,0,1,0,0,15,20,4,0,2,0,1,0,1,0,0,9,9,2,0,2,0,0,0,0,0,0,6,11,5,0,3,0,1,0,1,0,0,13,17,6,0,4,0,1,0,1,0,0,15,20,2,0,2,0,0,0,0,0,0,6,11,6,0,4,0,1,0,1,0,0,15,20,1,0,0,0,0,0,1,0,0,3,2,3,0,1,0,1,0,1,0,0,7,6,5,2,2,1,0,0,0,0,0,20,19,3,2,1,0,0,0,0,0,0,14,6,2,0,1,1,0,0,0,0,0,6,13,5,2,2,1,0,0,0,0,0,20,19,5,2,2,1,0,0,0,0,0,20,19,4,2,1,1,0,0,0,0,0,18,15,5,2,2,1,0,0,0,0,0,20,19,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,10
100,2018-10-19,Florida Panthers,6,Washington Capitals,5,SO,GameState.SO_WIN,GameState.SO_LOSS,0,1,4,0,2,0,0,2,0,0,0,12,16,2,0,2,0,0,0,0,0,0,6,8,2,0,0,0,0,2,0,0,0,6,8,4,0,2,0,0,2,0,0,0,12,16,4,0,2,0,0,2,0,0,0,12,16,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,2,0,0,0,12,16,1,0,0,0,0,1,0,0,0,5,6,2,0,1,0,0,1,0,0,0,7,9,6,2,2,1,1,0,0,0,0,24,22,4,2,1,0,1,0,0,0,0,18,9,2,0,1,1,0,0,0,0,0,6,13,5,1,2,1,1,0,0,0,0,17,22,6,2,2,1,1,0,0,0,0,24,22,4,2,1,1,0,0,0,0,0,18,15,6,2,2,1,1,0,0,0,0,24,22,1,0,0,0,1,0,0,0,0,4,3,2,0,1,0,1,0,0,0,0,6,7
119,2018-10-22,Washington Capitals,5,Vancouver Canucks,2,,GameState.WIN,GameState.LOSS,0,1,7,2,2,1,1,1,0,0,0,29,28,5,2,1,0,1,1,0,0,0,23,15,2,0,1,1,0,0,0,0,0,6,13,5,1,2,0,1,1,0,0,0,16,21,7,2,2,1,1,1,0,0,0,29,28,4,2,1,1,0,0,0,0,0,18,15,7,2,2,1,1,1,0,0,0,29,28,1,0,0,0,0,1,0,0,0,5,6,2,0,0,0,1,1,0,0,0,9,9,8,3,3,0,2,0,0,0,0,25,24,2,1,0,0,1,0,0,0,0,7,3,6,2,3,0,1,0,0,0,0,18,21,5,2,1,0,2,0,0,0,0,13,10,8,3,3,0,2,0,0,0,0,25,24,0,0,0,0,0,0,0,0,0,0,0,8,3,3,0,2,0,0,0,0,25,24,1,0,0,0,1,0,0,0,0,2,1,3,0,1,0,2,0,0,0,0,6,7
139,2018-10-25,Washington Capitals,1,Edmonton Oilers,4,,GameState.LOSS,GameState.WIN,1,0,8,3,2,1,1,1,0,0,0,34,30,5,2,1,0,1,1,0,0,0,23,15,3,1,1,1,0,0,0,0,0,11,15,5,1,2,0,1,1,0,0,0,16,21,8,3,2,1,1,1,0,0,0,34,30,4,2,1,1,0,0,0,0,0,18,15,8,3,2,1,1,1,0,0,0,34,30,1,1,0,0,0,0,0,0,0,5,2,2,1,0,0,0,1,0,0,0,10,8,7,1,3,1,2,0,0,0,0,18,25,3,0,1,1,1,0,0,0,0,8,11,4,1,2,0,1,0,0,0,0,10,14,5,1,1,1,2,0,0,0,0,15,16,7,1,3,1,2,0,0,0,0,18,25,0,0,0,0,0,0,0,0,0,0,0,7,1,3,1,2,0,0,0,0,18,25,1,0,0,1,0,0,0,0,0,5,6,2,0,1,1,0,0,0,0,0,5,9
150,2018-10-27,Washington Capitals,4,Calgary Flames,3,SO,GameState.SO_WIN,GameState.SO_LOSS,0,1,9,3,3,1,1,1,0,0,0,35,34,5,2,1,0,1,1,0,0,0,23,15,4,1,2,1,0,0,0,0,0,12,19,5,1,2,0,1,1,0,0,0,17,19,9,3,3,1,1,1,0,0,0,35,34,4,2,1,1,0,0,0,0,0,18,15,9,3,3,1,1,1,0,0,0,35,34,1,0,1,0,0,0,0,0,0,1,4,2,1,1,0,0,0,0,0,0,6,6,10,4,5,0,1,0,0,0,0,33,36,4,2,2,0,0,0,0,0,0,16,20,6,2,3,0,1,0,0,0,0,17,16,5,2,3,0,0,0,0,0,0,15,20,10,4,5,0,1,0,0,0,0,33,36,0,0,0,0,0,0,0,0,0,0,0,10,4,5,0,1,0,0,0,0,33,36,1,0,1,0,0,0,0,0,0,1,9,3,1,2,0,0,0,0,0,0,7,13
